 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
3649,295.310,326.599,311.653,318.510,316.939,306.710,308.932,328.773,327.061,323.032,326.659,326.891
3650,296.146,325.642,311.757,318.895,316.311,306.111,309.373,329.072,326.790,323.389,327.096,326.783
3651,296.778,324.534,312.252,318.901,315.794,305.564,310.129,329.482,326.332,323.578,327.592,326.341
3652,297.052,323.607,312.739,318.840,315.396,305.309,310.688,329.835,325.925,323.743,327.710,325.869
3653,297.325,323.087,312.689,319.316,315.005,305.191,310.922,329.874,325.763,324.001,327.454,325.888
3654,297.766,323.154,312.128,320.514,314.888,304.958,311.049,329.636,325.676,324.252,326.958,326.768
3655,298.149,323.962,311.574,321.418,315.189,304.646,311.066,329.409,325.427,324.345,326.440,327.936
3656,298.027,324.927,311.461,321.401,315.750,304.540,310.788,329.449,325.192,324.056,326.120,328.532
3657,297.419,325.412,311.601,320.599,316.212,304.785,310.466,329.533,325.095,323.501,326.137,328.457
3658,296.638,325.314,311.821,319.660,316.508,305.231,310.688,329.402,325.137,323.075,326.355,328.277
3659,296.122,324.919,312.005,318.912,316.715,305.635,311.205,329.147,325.046,322.865,326.592,328.273
3660,295.687,324.526,312.048,318.371,316.753,305.733,311.473,328.968,324.839,322.969,326.815,328.184
3661,295.185,324.201,312.000,317.847,316.597,305.502,311.283,329.014,324.719,323.332,326.944,327.831
3662,294.802,324.225,312.053,317.537,316.327,305.387,310.793,329.107,324.940,323.666,326.791,327.243
