 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
1,798.512,750.785,745.662,720.527,733.223,716.320,721.832,717.009,726.010
2,798.274,749.334,744.393,720.812,732.514,716.040,721.287,719.747,727.998
3,796.697,748.076,743.053,720.875,732.222,715.427,720.389,720.914,728.487
4,795.149,747.337,742.370,719.885,731.617,714.701,719.210,719.018,728.066
5,794.235,746.472,741.603,718.631,731.102,714.015,717.668,716.775,726.823
6,792.736,744.902,740.155,717.629,731.083,712.716,717.410,715.491,725.897
7,790.174,743.357,738.399,717.157,731.221,711.689,718.395,716.972,725.686
8,788.004,742.666,737.306,717.203,731.111,711.375,719.290,718.778,725.288
9,786.132,742.437,737.455,717.525,730.510,711.584,719.742,718.630,724.266
10,784.185,742.761,738.041,718.265,729.865,712.813,719.594,719.463,723.288
11,783.258,743.314,737.533,718.651,729.774,713.550,718.393,719.836,723.954
12,783.286,743.652,736.374,718.037,729.619,712.923,717.910,719.037,724.002
13,784.136,743.120,735.476,717.663,729.273,712.717,718.851,719.386,722.757
14,784.768,742.451,735.830,717.535,728.978,713.073,719.567,719.056,722.412
15,784.346,742.277,737.418,717.405,728.363,713.084,718.586,717.185,722.412
16,783.445,742.017,738.393,717.247,727.329,712.250,717.240,716.268,722.093
17,781.780,741.674,738.005,717.148,726.894,712.572,717.441,717.161,722.141
18,779.655,741.338,737.079,717.295,727.897,713.034,717.555,717.756,722.342
19,778.703,741.156,736.452,718.111,729.088,712.798,716.158,715.491,723.139
20,778.948,742.082,736.487,719.408,728.488,712.668,715.102,712.037,723.688
21,779.275,744.055,736.175,719.975,726.057,712.296,715.052,710.565,723.290
22,779.676,746.325,735.756,719.504,724.087,712.428,715.971,710.395,723.348
23,780.316,747.945,736.041,718.801,723.715,713.492,717.342,711.296,722.447
24,782.120,748.971,736.533,717.969,723.904,714.254,718.858,713.173,721.276
25,784.154,750.594,736.966,717.024,724.192,715.248,720.119,715.179,721.797
26,784.900,752.257,737.156,717.141,724.428,715.886,720.525,718.312,723.091
27,784.730,753.266,737.205,717.261,724.385,715.355,720.907,718.858,723.968
28,785.047,753.579,737.547,717.199,724.282,714.565,721.414,717.623,723.493
29,786.457,753.901,737.626,717.597,724.438,714.615,721.526,716.198,722.690
30,787.532,753.775,736.744,718.812,725.145,715.536,721.731,714.012,723.805
31,787.115,753.449,735.226,719.880,725.815,715.402,722.239,712.056,725.342
32,786.325,753.664,733.840,720.793,726.411,713.752,721.794,711.327,724.722
33,786.296,754.003,732.599,721.575,726.807,712.252,721.261,711.716,723.249
34,785.832,754.237,731.350,722.205,727.097,712.128,721.025,712.623,722.728
35,783.501,754.561,730.127,722.645,727.603,713.897,720.549,713.046,722.404
36,781.414,755.205,729.605,722.737,727.895,715.077,720.523,713.034,721.113
37,780.945,756.137,729.925,722.289,727.670,714.480,721.582,713.528,720.469
38,780.711,757.134,729.779,721.916,727.345,714.878,723.348,714.232,721.298
39,780.945,758.082,728.450,721.171,727.308,716.174,724.317,714.682,722.243
40,781.426,758.795,728.000,720.387,726.818,716.324,724.317,714.972,722.829
41,781.222,760.030,727.773,720.805,726.288,715.410,723.074,715.907,722.177
42,780.364,761.981,726.435,721.503,726.476,714.776,721.725,716.870,720.917
43,779.468,763.314,725.492,721.272,726.880,714.604,721.663,715.867,720.183
44,778.697,763.416,724.740,721.228,727.383,714.184,722.826,714.676,720.791
45,777.773,762.734,723.743,722.357,727.074,713.615,723.560,715.478,721.966
46,777.386,762.799,723.440,723.249,726.132,713.510,723.063,715.920,722.736
47,777.857,764.112,724.234,723.545,726.234,714.040,722.736,715.182,722.698
48,778.609,765.496,725.310,723.896,726.719,714.340,723.612,713.957,722.384
49,779.530,766.240,726.114,723.639,725.944,714.244,724.429,713.059,722.569
50,780.268,767.090,726.417,723.049,724.677,713.860,724.426,713.463,722.897
51,780.623,768.636,726.010,723.217,724.600,713.678,724.161,714.025,723.113
52,780.310,770.166,725.807,724.417,724.949,713.742,723.473,713.179,722.700
53,779.824,770.871,726.574,725.229,724.805,713.674,721.624,713.515,721.924
54,779.285,771.195,726.838,724.989,724.539,713.506,719.866,715.559,721.746
55,778.185,771.314,725.765,723.804,724.822,713.901,719.984,716.395,722.881
56,776.784,771.594,724.508,722.443,725.132,715.513,720.840,716.185,724.445
57,776.612,772.510,724.089,721.788,725.296,716.951,721.198,715.991,725.068
58,777.794,773.593,723.879,722.289,725.361,717.136,721.604,715.994,724.668
59,778.713,774.445,723.743,724.259,725.048,716.547,721.877,715.515,724.256
60,778.293,775.746,723.023,725.856,724.965,715.999,722.455,715.806,723.867
61,777.582,777.276,721.996,726.323,725.204,715.838,722.596,716.500,724.036
62,778.591,778.112,721.590,726.360,725.251,716.069,721.728,714.589,724.449
63,780.462,778.363,721.587,725.832,725.348,716.706,721.410,713.089,724.787
64,780.859,778.378,721.470,725.441,726.170,717.117,722.089,713.552,724.839
65,779.636,777.948,721.265,725.387,727.150,716.531,723.045,713.336,723.785
66,778.112,777.263,720.594,725.553,726.860,716.589,723.478,713.938,722.837
67,778.230,776.513,719.833,725.413,725.390,716.945,722.902,716.636,722.445
68,779.460,775.481,719.083,725.085,724.486,716.864,722.120,718.651,721.747
69,779.397,774.132,718.153,724.619,724.842,715.933,721.881,719.049,722.304
70,778.600,772.766,718.314,724.887,725.536,715.080,722.033,718.182,723.074
71,778.005,771.445,719.939,725.735,726.123,715.619,721.455,716.568,723.986
72,777.033,770.328,721.603,726.259,726.257,716.732,721.204,715.577,725.594
73,776.979,769.321,722.971,726.588,726.132,716.938,721.060,715.907,726.215
74,778.242,767.919,723.552,726.391,726.573,716.874,720.391,717.364,725.662
75,778.907,766.432,723.058,725.536,727.468,717.706,720.324,718.377,723.487
76,779.013,766.037,721.979,725.404,727.125,718.589,720.034,717.589,721.610
77,778.035,766.363,720.918,725.773,725.964,718.713,719.281,716.432,721.340
78,776.399,767.063,720.601,724.949,725.769,718.100,719.198,715.753,721.330
79,775.659,767.284,721.428,723.740,725.975,717.219,720.067,715.500,722.763
80,775.077,767.326,722.129,724.440,725.977,716.247,721.094,715.833,724.191
81,774.860,768.309,721.749,725.472,726.049,715.464,720.907,715.802,725.010
82,776.410,769.332,721.089,725.459,725.683,715.462,720.387,715.657,725.384
83,777.968,769.514,721.359,724.895,724.665,716.502,720.944,716.040,723.891
84,777.732,769.632,722.244,724.455,723.721,718.387,720.786,717.108,722.845
85,776.624,769.914,723.647,724.739,724.116,720.627,720.403,719.009,724.501
86,776.138,769.790,725.586,724.557,724.887,722.742,719.884,719.654,727.241
87,776.709,769.520,727.325,724.393,725.106,723.483,719.229,717.744,728.433
88,778.154,768.912,728.584,725.445,724.910,722.392,717.652,716.537,728.147
89,778.634,768.418,729.919,726.277,724.779,721.444,716.559,717.698,726.586
90,777.738,769.084,731.436,727.101,724.846,720.922,716.657,718.954,724.421
91,777.187,770.894,732.951,728.029,724.936,719.737,717.055,717.691,723.628
92,778.135,772.177,733.672,728.116,725.249,718.605,718.161,715.306,724.320
93,778.819,772.122,733.190,727.261,726.241,718.074,718.963,714.833,725.551
94,777.855,771.669,732.738,726.589,727.241,718.037,718.451,716.380,726.722
95,776.620,771.653,732.660,727.588,727.250,717.702,717.329,717.827,726.801
96,776.443,771.997,732.337,729.891,727.036,717.421,716.329,717.133,726.280
97,777.041,771.757,731.828,731.179,727.265,717.539,716.231,716.525,726.028
98,777.057,771.034,731.510,729.955,727.477,717.686,715.690,717.142,726.097
99,776.233,770.421,732.263,728.384,727.754,718.417,714.979,717.022,725.883
100,775.934,769.987,733.733,728.603,727.832,718.712,716.012,716.204,725.583
101,776.575,769.775,734.554,730.056,727.770,717.970,717.372,716.460,725.730
102,777.815,769.754,734.245,730.661,728.591,717.460,717.012,717.685,725.984
103,779.345,769.878,733.301,730.259,728.948,717.582,716.750,718.139,726.058
104,779.764,769.838,732.888,729.143,728.121,718.246,715.990,717.858,725.133
105,778.412,769.035,733.709,727.924,727.528,719.041,714.740,717.219,724.577
106,776.492,767.518,734.958,726.987,727.482,720.790,714.574,716.870,725.517
107,775.837,766.490,736.219,726.252,727.552,721.451,716.324,717.080,727.131
108,775.976,765.873,736.908,725.960,727.277,720.597,717.840,717.753,727.869
109,775.486,764.937,737.635,725.504,727.068,720.167,717.407,719.309,727.264
110,775.882,763.792,739.098,725.363,727.229,721.158,716.150,719.982,725.388
111,777.314,763.365,740.654,725.525,727.485,721.469,715.572,719.077,724.670
112,779.126,763.766,741.843,724.832,727.487,719.495,715.690,717.833,725.835
113,780.502,764.085,742.354,723.663,727.198,718.425,716.183,716.824,727.392
