 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
1,798.584,774.998,781.929,757.580,740.367,740.920,725.420,746.639,685.320
2,798.591,774.138,782.118,757.613,740.373,741.088,724.079,746.402,685.349
3,798.675,773.162,782.691,757.320,740.443,741.466,723.195,746.719,685.627
4,798.659,772.348,783.476,756.668,740.578,742.135,722.972,747.682,686.006
5,798.479,771.475,784.360,755.915,740.385,742.854,722.660,748.434,686.294
6,798.639,770.533,785.530,755.258,739.646,742.856,721.776,748.443,686.334
7,799.299,769.809,786.909,754.703,739.170,741.923,720.713,748.303,686.284
8,799.944,769.816,787.966,754.420,739.333,741.124,720.016,748.652,686.262
9,799.999,770.571,788.481,754.759,739.633,741.397,719.851,749.488,686.071
10,799.605,771.427,788.527,755.455,739.722,742.375,720.287,749.949,685.619
11,799.106,771.720,788.242,756.091,739.987,743.088,721.141,749.348,685.397
12,798.638,771.470,787.761,756.657,740.491,743.077,722.075,748.082,685.596
13,798.410,771.119,786.884,757.088,741.181,743.019,722.611,746.934,685.869
14,798.485,770.913,785.605,756.742,741.911,743.904,722.640,746.418,685.638
15,798.435,770.782,784.447,755.659,742.428,745.279,722.572,746.521,685.030
16,797.908,770.390,783.800,754.666,742.488,746.031,722.479,746.865,684.877
17,796.994,769.677,783.229,754.209,742.572,745.779,722.477,747.160,685.593
18,796.037,768.740,782.092,754.039,743.357,745.339,722.548,747.525,686.562
19,795.600,767.665,780.473,754.018,744.851,745.463,722.385,747.732,686.940
20,795.800,766.547,778.939,754.027,746.228,746.228,721.900,747.215,686.704
21,796.347,765.577,777.639,753.671,746.927,747.137,721.452,746.027,686.172
22,797.132,764.870,776.356,752.958,747.591,747.666,721.615,745.322,685.651
23,797.955,764.237,774.918,752.370,748.649,747.681,722.558,745.555,685.174
24,798.405,763.590,773.495,752.264,749.798,747.575,723.332,745.885,684.865
25,798.494,763.095,772.160,752.590,750.735,747.994,723.511,745.891,684.954
26,798.661,762.719,770.851,752.953,751.031,748.992,723.281,746.211,685.332
27,798.934,762.550,769.620,753.093,750.533,749.885,723.147,746.832,685.625
28,798.860,762.968,768.646,753.423,749.913,750.173,723.206,746.906,685.946
29,798.333,764.313,768.154,754.382,749.876,750.273,723.222,746.383,686.544
30,797.963,766.585,767.933,755.631,750.239,750.512,722.976,745.744,687.276
31,798.333,769.217,767.591,756.514,750.628,750.865,722.768,745.150,687.717
32,799.095,771.473,767.244,756.689,751.223,751.235,722.562,744.465,687.493
33,799.250,773.172,767.259,756.527,752.189,751.695,722.232,743.889,686.702
34,798.246,774.697,767.859,756.252,753.055,752.068,721.853,743.543,685.983
35,796.406,776.325,768.731,756.138,753.333,752.173,721.800,743.164,686.005
36,794.416,777.840,769.693,756.279,753.157,752.327,722.049,742.613,686.558
37,792.704,778.675,770.824,756.700,752.690,752.658,722.399,742.301,686.941
38,791.463,778.917,772.000,757.176,752.155,753.251,722.642,742.383,686.890
39,790.608,779.176,772.873,757.757,751.714,753.923,723.059,742.414,686.628
40,790.268,779.937,773.289,758.616,751.241,754.303,723.183,742.152,686.431
41,790.620,781.077,773.337,759.584,750.677,753.970,722.483,741.799,686.225
42,791.584,782.502,773.167,760.212,750.451,753.063,721.322,741.697,685.735
43,792.835,784.299,773.016,760.155,750.654,751.898,720.672,742.189,685.064
44,794.148,786.284,772.970,759.979,750.892,750.782,720.805,743.059,684.674
45,795.385,787.981,772.931,760.105,750.737,750.217,721.043,743.643,684.804
46,796.322,789.320,772.895,760.082,750.333,750.176,720.859,743.871,685.038
47,796.760,790.724,772.827,759.413,750.005,750.188,720.454,744.283,685.143
48,796.822,792.396,772.584,758.235,749.717,749.807,720.193,744.896,685.334
49,796.594,794.269,772.065,757.443,749.289,749.008,720.316,745.059,685.567
50,796.082,796.033,771.500,757.387,748.493,748.495,720.859,744.555,685.655
51,795.665,797.329,771.398,757.741,747.530,748.595,721.397,743.727,685.804
52,795.828,797.906,771.968,757.786,746.868,748.906,721.513,742.826,686.187
53,796.521,797.885,772.985,757.448,746.708,749.038,721.289,742.574,686.665
54,797.151,797.628,773.972,756.920,746.808,748.874,720.768,743.584,687.057
55,797.423,797.163,774.744,756.395,747.019,748.796,720.106,745.262,687.092
56,797.549,796.466,775.473,756.361,747.565,749.316,719.933,746.359,686.487
57,797.939,795.859,776.427,756.516,748.087,750.504,720.479,746.451,685.622
58,798.420,795.841,777.560,756.112,747.990,751.540,721.212,745.969,685.262
59,798.362,796.414,778.639,755.212,747.540,751.859,721.530,745.576,685.537
60,797.856,797.174,779.442,754.514,747.260,751.611,721.809,745.387,686.112
61,797.597,797.673,779.850,754.208,747.202,751.568,722.733,745.406,686.482
62,797.959,797.751,779.618,754.235,746.827,751.777,723.912,745.326,686.528
63,798.636,797.963,778.882,754.615,745.981,751.791,724.230,745.037,686.191
64,799.412,798.841,778.173,755.191,745.037,751.457,723.399,744.443,685.743
65,800.217,800.023,777.838,755.469,744.522,751.118,722.519,743.492,685.615
66,800.783,800.782,777.888,755.106,744.824,750.797,722.363,742.545,685.662
67,801.120,801.061,778.198,754.463,745.488,750.163,722.739,741.891,685.699
68,801.554,801.157,778.780,754.118,746.099,749.024,723.183,741.900,685.880
69,802.229,801.279,779.774,754.206,746.805,747.871,723.625,742.740,686.169
70,802.746,801.406,781.264,754.422,748.037,747.469,724.132,743.787,686.331
71,802.909,801.143,782.920,754.499,749.181,748.096,724.385,744.295,686.370
72,803.001,800.385,784.232,754.542,749.541,748.895,724.332,744.002,686.356
