 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
1,872.019,889.129,862.479,793.066,809.760,800.432,811.646
2,872.447,889.289,861.185,794.240,811.553,802.151,809.471
3,873.855,887.922,861.892,794.967,810.639,802.854,804.332
4,873.280,886.082,862.054,794.676,811.018,800.966,808.624
5,873.723,885.797,862.829,795.760,809.704,802.011,810.443
6,872.700,885.372,866.285,796.656,810.030,800.342,807.794
7,871.585,884.596,866.490,797.438,812.019,800.465,809.254
8,872.083,883.686,866.690,798.762,813.665,799.245,809.947
9,871.426,883.318,867.118,797.838,814.816,800.870,809.330
10,868.782,883.003,869.004,797.260,812.884,800.936,809.135
11,868.940,882.773,869.683,795.899,812.565,801.486,807.898
12,870.978,883.001,870.709,798.212,810.711,799.932,805.661
13,870.145,883.266,870.592,798.738,810.437,799.004,804.051
14,870.052,882.538,871.837,800.324,813.221,800.831,804.677
15,870.756,884.295,870.003,799.282,811.668,801.764,806.728
16,871.204,884.335,870.571,798.071,812.065,801.817,807.182
17,870.674,883.704,872.575,797.229,813.188,800.441,803.843
18,870.402,883.229,873.364,800.463,811.676,800.702,803.964
19,871.178,884.191,872.911,802.458,809.704,801.100,806.285
20,872.117,885.867,873.841,801.445,810.950,801.009,807.547
21,871.464,888.198,871.955,800.350,812.529,802.450,806.436
22,870.491,890.899,869.025,798.304,810.504,802.456,803.615
23,871.803,892.181,869.065,799.806,811.180,802.856,804.555
24,870.945,893.227,869.560,800.544,812.609,804.116,805.403
25,869.526,893.239,868.234,800.360,811.105,804.669,803.894
26,869.297,892.675,867.391,801.368,811.688,802.817,803.407
27,869.653,891.921,866.965,800.285,812.534,802.777,803.849
28,867.517,893.529,865.721,799.387,815.465,803.173,804.712
29,867.865,891.699,863.121,799.069,816.559,802.245,806.438
30,866.325,890.134,867.029,799.620,815.038,800.931,803.642
31,865.441,891.158,867.313,801.381,813.628,801.134,802.347
32,863.551,891.871,864.188,802.325,812.655,801.471,803.779
33,865.758,894.449,864.896,802.239,812.294,800.539,806.069
34,866.228,895.263,863.846,801.523,811.548,800.368,805.299
35,865.374,894.264,863.448,801.920,811.879,801.136,804.465
36,866.112,896.155,863.641,798.849,810.131,800.191,803.451
37,866.423,896.245,866.342,800.672,808.839,800.209,798.901
38,864.129,897.657,868.261,800.329,809.674,800.470,801.361
39,865.965,903.146,868.671,802.747,810.052,801.157,803.190
40,866.452,902.286,867.108,802.658,807.693,801.529,804.960
41,864.344,900.198,869.320,800.886,807.395,800.735,804.502
42,863.639,902.052,868.812,800.513,807.305,799.718,803.498
43,863.018,902.503,868.829,803.164,806.804,800.092,805.401
44,860.023,900.464,865.827,801.517,810.200,798.149,803.060
45,859.891,897.586,862.742,800.292,811.293,797.342,802.841
46,857.467,897.265,861.803,801.258,812.778,796.611,801.349
47,858.780,894.428,862.541,801.406,811.625,799.220,801.245
48,858.813,892.561,860.902,799.690,808.813,800.692,801.695
49,857.220,890.712,857.666,797.704,806.737,800.215,800.807
50,857.990,889.485,856.769,800.167,804.661,799.590,803.469
51,856.942,891.367,856.783,799.988,807.252,798.354,802.920
52,857.367,889.922,860.181,800.361,807.556,797.492,804.325
53,859.533,890.758,860.847,798.185,808.007,799.123,802.644
54,858.848,891.815,858.600,798.228,810.614,801.909,802.925
55,856.079,894.096,857.752,799.299,809.665,803.552,802.151
56,854.697,890.991,857.833,800.537,807.990,802.604,803.823
57,853.392,890.594,857.739,800.960,807.736,801.951,803.611
58,853.147,891.531,859.177,799.855,808.801,802.370,804.821
59,856.379,892.263,858.145,799.219,808.785,803.630,805.502
60,860.288,892.658,857.599,800.546,807.715,799.923,802.075
61,860.230,891.585,856.337,802.401,808.131,800.785,803.712
62,860.259,892.012,857.838,804.343,806.933,802.302,802.953
63,860.899,890.885,858.866,804.779,805.426,802.310,801.825
64,860.235,889.570,860.801,804.339,806.717,800.663,802.706
65,859.703,888.397,861.007,804.706,808.052,802.428,804.604
66,861.222,889.365,861.563,804.178,809.410,802.954,804.412
67,861.151,888.530,861.104,804.434,809.324,802.660,805.637
68,860.287,890.014,857.982,803.198,806.196,803.483,807.177
69,859.804,889.848,858.480,802.571,807.892,805.700,802.805
70,859.801,888.075,861.043,803.562,808.402,805.388,803.080
71,860.598,889.281,863.209,802.419,809.931,804.811,802.201
72,859.069,890.934,864.318,803.291,813.896,803.668,802.484
73,859.213,892.286,867.764,801.445,812.723,804.848,803.172
74,859.306,890.736,870.688,802.491,812.777,806.466,804.998
75,857.321,889.267,871.871,804.079,812.309,807.507,804.031
76,858.073,888.220,873.363,803.065,811.734,807.294,804.243
77,859.440,888.967,874.075,803.664,812.898,806.453,803.863
78,861.509,892.359,877.585,800.631,815.369,806.128,806.219
79,861.106,894.729,878.628,800.613,814.838,803.925,805.682
80,861.216,893.737,877.990,799.453,815.218,803.652,804.119
81,862.164,894.479,876.422,798.584,814.441,803.960,803.173
82,860.610,895.862,875.190,801.169,814.159,801.937,801.898
83,860.159,896.482,872.897,800.640,814.091,802.814,805.451
84,862.290,894.562,873.242,800.302,813.166,801.843,805.157
85,863.544,893.455,871.289,800.039,811.822,802.745,803.602
86,863.206,894.415,871.202,798.192,810.729,802.173,806.407
87,861.716,893.213,868.430,799.914,813.894,802.202,806.774
88,860.676,890.888,866.635,800.521,814.406,802.787,805.398
89,859.875,888.966,865.713,801.449,812.244,803.945,809.164
90,859.950,888.103,864.324,799.537,813.416,802.950,810.148
91,861.729,887.227,860.878,795.999,813.309,806.031,809.108
92,863.410,884.583,858.819,797.500,812.020,806.594,804.451
93,863.870,883.758,858.234,799.555,811.435,806.440,806.354
94,862.963,881.043,854.580,799.054,813.315,807.879,807.458
95,863.381,878.366,853.096,799.154,814.696,808.596,806.692
96,863.581,877.734,853.191,797.225,810.974,807.748,804.412
97,863.605,877.863,851.169,796.275,809.313,807.700,807.051
98,862.680,876.438,850.360,797.835,809.000,806.654,807.146
99,863.140,873.954,848.138,799.622,807.319,806.647,807.891
100,862.166,874.033,847.751,799.945,807.069,807.122,808.790
101,862.868,875.600,847.561,797.489,806.770,805.489,808.754
102,865.708,875.603,848.917,797.655,806.729,805.246,807.763
103,864.692,876.144,846.832,800.416,809.271,805.377,808.695
104,864.480,872.138,848.716,800.404,810.104,804.959,808.151
105,862.164,871.650,848.874,800.479,810.869,805.159,808.768
106,862.618,871.063,849.590,800.152,811.249,805.930,807.223
107,862.507,870.791,851.719,800.237,812.831,805.602,807.932
108,863.351,867.814,850.035,800.416,811.555,806.619,811.301
109,863.122,866.966,846.703,800.274,807.973,807.610,810.038
110,860.144,866.328,846.930,800.578,808.105,808.906,808.520
111,858.764,868.405,847.175,799.764,807.102,810.040,808.376
112,860.107,869.812,848.187,799.904,807.548,809.832,807.139
113,859.632,868.613,848.903,801.292,806.138,811.410,807.328
114,861.445,866.454,847.085,803.357,807.294,810.410,806.710
115,862.259,865.734,846.424,802.995,805.832,809.357,807.898
116,863.008,865.406,847.232,802.190,802.008,807.953,806.772
117,866.058,864.273,845.529,801.640,805.332,807.416,804.668
118,869.737,862.967,845.495,805.371,807.392,807.151,806.728
119,870.367,860.783,846.644,802.801,806.768,807.762,805.962
120,870.195,859.248,844.564,801.887,803.456,808.345,805.082
121,871.376,857.968,844.411,804.342,805.418,809.197,805.168
122,871.154,857.727,843.545,805.236,805.992,809.099,805.286
123,870.216,858.547,843.389,801.159,807.185,806.929,806.250
124,870.129,856.720,843.340,799.910,808.074,806.492,805.969
125,870.244,853.133,843.980,801.126,807.089,808.110,803.573
126,869.375,853.204,846.346,801.707,807.836,807.980,804.987
127,868.596,854.952,846.341,803.052,804.627,805.398,804.241
128,865.810,858.444,847.449,801.482,805.146,805.835,804.268
129,864.699,859.219,846.454,803.428,806.439,806.716,805.943
130,865.298,860.254,845.226,803.512,805.331,805.536,805.916
131,867.448,861.080,845.518,803.866,805.379,804.666,805.438
132,867.633,864.406,844.643,801.902,803.926,806.098,805.978
133,866.839,865.136,843.775,801.849,804.136,806.715,806.916
134,866.001,863.922,841.611,800.804,802.756,805.062,807.918
135,864.609,863.811,842.998,802.046,802.379,806.337,809.069
136,863.334,865.109,843.082,804.495,803.529,807.019,805.677
137,859.395,865.316,842.923,804.244,805.673,806.984,802.022
138,859.749,867.169,845.627,802.310,804.094,805.843,804.380
139,860.460,868.543,847.589,803.561,806.282,804.696,803.620
140,863.793,871.564,846.844,804.177,803.824,803.677,801.790
141,864.385,869.974,851.548,803.275,802.147,802.790,801.374
142,864.345,869.895,855.070,803.073,805.879,804.059,805.369
143,863.659,871.419,854.167,803.626,807.661,804.827,805.759
144,861.490,872.967,853.868,804.482,806.928,804.661,805.777
145,860.599,873.486,855.168,803.644,807.218,805.208,804.314
146,860.789,872.050,854.294,801.855,807.569,805.442,799.524
147,859.609,871.209,854.128,802.395,807.969,807.245,803.936
148,860.039,872.020,854.514,802.856,806.391,804.386,804.168
149,858.030,870.308,854.993,802.158,802.925,803.915,802.969
150,857.918,868.647,855.806,802.124,803.452,804.564,803.932
151,859.270,866.949,857.131,801.604,805.071,806.555,803.909
152,860.696,866.103,858.111,799.531,806.616,805.311,803.637
153,862.529,863.729,857.324,798.545,805.443,804.732,804.931
154,861.329,862.110,853.883,797.986,805.583,803.363,804.686
155,860.291,862.195,854.531,797.045,806.733,805.760,802.391
156,860.719,860.586,856.629,797.375,806.935,807.128,801.279
157,859.233,859.245,858.059,798.331,805.636,804.266,803.288
158,859.678,859.345,856.402,797.804,805.621,803.555,804.060
159,858.260,859.637,858.117,797.664,805.308,801.817,803.141
160,858.728,862.166,857.299,796.800,804.966,801.925,804.285
161,861.055,860.550,853.073,796.138,808.676,802.752,802.057
162,861.212,862.943,851.536,797.005,806.948,804.648,805.803
163,863.841,864.007,850.070,797.359,807.699,805.640,806.600
164,864.002,867.001,848.710,798.416,808.003,803.788,804.035
165,863.627,868.027,849.062,797.117,807.974,802.405,801.232
166,863.149,868.523,847.968,796.133,808.108,803.761,802.476
167,866.803,869.484,847.874,797.651,808.794,805.570,801.954
168,868.136,871.625,851.734,799.241,806.970,802.586,801.932
169,868.905,871.823,852.016,798.073,807.020,800.685,803.027
170,866.040,871.256,851.540,799.785,805.512,801.332,803.133
171,867.061,868.785,851.613,799.626,807.619,800.704,804.135
172,868.799,867.694,854.458,797.145,807.693,799.541,802.564
173,870.197,869.800,851.739,798.763,808.298,800.052,802.325
174,868.746,870.536,853.236,801.596,808.222,798.852,801.761
175,868.294,871.219,854.273,802.126,808.192,797.382,802.422
176,868.143,873.133,853.787,803.062,809.796,797.829,801.768
177,871.086,873.879,853.943,804.341,810.046,798.047,802.248
178,870.966,874.212,854.852,805.206,808.193,797.250,803.372
179,871.935,872.445,855.693,804.499,807.820,796.911,805.005
180,871.417,872.074,857.021,803.329,807.868,796.074,803.732
181,872.775,871.193,854.871,803.993,806.322,797.300,802.613
182,874.290,871.441,855.656,806.071,803.200,797.303,801.604
183,874.840,871.879,854.990,805.676,803.082,796.730,799.409
184,872.797,873.738,855.273,805.318,804.373,796.671,799.878
185,872.748,876.096,854.053,805.307,805.572,798.309,802.635
186,872.469,878.256,856.013,806.440,806.692,797.785,803.489
187,873.817,880.255,857.040,806.971,807.969,797.159,802.978
188,872.551,881.157,856.531,807.119,806.511,796.898,803.648
189,874.071,883.543,857.440,807.254,806.162,796.215,802.265
190,875.953,884.350,855.663,805.556,806.917,796.435,801.752
191,872.543,884.140,854.653,804.624,809.545,797.882,801.878
192,873.742,882.218,851.696,804.650,810.595,798.827,800.693
193,874.758,881.105,852.122,804.773,810.546,800.183,800.682
194,874.088,881.335,852.778,805.739,809.169,800.520,802.788
195,874.129,882.282,853.164,802.913,809.068,798.785,801.226
196,874.756,884.327,854.270,804.033,812.604,798.179,801.190
197,876.614,882.694,855.432,801.604,809.571,796.780,800.474
198,877.391,880.942,855.125,800.122,806.759,798.004,802.993
199,877.461,880.995,854.852,800.152,807.993,800.824,802.345
200,877.330,882.546,854.277,799.603,809.262,798.670,798.507
201,875.660,882.600,852.772,800.503,807.733,798.980,799.097
202,875.010,881.937,852.579,800.072,808.952,798.077,798.161
203,875.196,882.459,854.001,800.394,811.116,799.993,798.845
204,873.443,884.841,853.603,799.775,810.219,801.168,799.442
205,872.599,886.700,852.858,801.167,807.865,801.845,801.259
206,872.846,888.932,852.720,800.694,807.958,801.756,800.757
207,872.914,888.251,853.754,798.914,806.842,801.597,804.288
208,874.124,887.236,856.430,798.455,806.068,800.336,803.978
209,873.332,888.931,855.625,798.977,804.866,802.259,803.695
210,873.480,889.751,856.500,800.495,806.037,803.641,805.086
211,873.855,890.194,856.150,800.413,806.943,803.404,804.509
212,873.165,890.471,858.004,798.077,806.550,804.416,803.015
213,872.186,888.038,858.717,796.388,804.535,802.503,802.474
214,869.648,884.291,858.552,798.414,805.244,801.883,805.925
215,869.767,884.890,860.435,796.491,806.084,801.093,805.327
216,866.482,886.092,859.258,796.037,804.751,802.933,801.766
217,866.727,886.951,856.066,797.251,803.741,801.387,803.100
218,866.964,886.539,853.266,796.813,804.943,801.050,803.321
219,866.756,885.605,855.517,795.666,804.309,801.164,802.022
220,866.827,885.666,856.622,795.478,801.898,799.427,803.703
221,864.548,887.670,854.581,797.732,800.999,799.275,802.476
222,865.151,886.611,856.954,798.079,799.892,798.854,803.283
223,866.255,887.633,856.927,797.406,801.700,798.321,802.150
224,864.070,890.256,855.635,797.025,804.644,799.300,801.405
225,861.149,890.041,854.689,796.090,805.856,799.202,802.398
226,859.554,890.625,852.107,796.603,802.560,799.772,801.378
227,859.553,891.958,850.423,797.385,804.347,800.499,802.715
228,861.671,892.091,849.672,795.208,805.124,801.762,802.146
229,859.555,892.714,851.641,794.106,805.020,799.966,800.739
230,859.311,890.340,852.932,794.854,804.646,799.759,800.796
231,858.653,889.714,854.419,795.160,806.752,798.324,802.438
232,859.756,888.986,853.354,793.584,806.760,798.549,800.405
233,860.905,888.514,853.417,792.983,807.484,798.755,800.916
234,862.410,887.499,853.763,795.429,808.027,802.225,801.082
235,864.130,886.352,855.572,797.172,804.861,803.814,800.714
236,863.656,886.794,856.458,797.375,805.778,802.203,800.292
237,862.903,886.822,858.756,796.136,806.294,803.848,803.148
238,862.368,883.239,860.822,797.348,806.505,803.741,801.690
239,862.889,882.733,864.506,796.839,809.178,803.551,800.818
240,860.851,881.377,867.634,795.862,805.616,804.619,803.818
241,863.912,881.239,870.218,795.304,805.995,805.358,804.228
242,864.291,881.090,871.758,796.527,806.136,802.322,802.281
243,863.533,881.117,869.106,798.932,806.703,803.901,801.474
244,862.939,880.954,871.644,798.242,806.638,803.272,800.914
245,866.539,881.108,872.234,797.685,808.527,801.728,801.476
