 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
59,672.043,698.243,706.980,702.650,688.260,698.838,693.239,687.012,705.159,660.471,684.655,692.607,742.304
60,672.638,699.021,705.618,702.901,688.552,698.091,693.602,686.749,704.622,661.128,685.176,692.099,741.668
61,672.970,699.933,704.319,703.536,688.995,697.172,693.526,686.378,703.764,661.180,685.826,692.410,741.017
62,672.836,700.583,703.354,703.940,689.317,696.279,693.224,686.155,702.560,660.692,685.848,692.881,740.955
63,672.441,700.714,702.653,703.548,689.525,695.754,692.928,686.665,701.614,659.837,685.037,692.735,741.274
64,672.286,700.098,702.017,702.763,689.810,695.572,692.883,687.709,701.301,659.063,684.476,691.993,741.539
65,672.520,699.186,701.554,702.283,689.837,695.266,693.311,688.231,701.103,658.918,685.102,691.274,741.550
66,672.454,698.814,701.456,702.162,689.285,694.505,693.864,687.486,700.322,659.434,686.473,691.306,741.109
67,671.901,699.081,701.544,702.217,688.647,693.337,694.053,686.028,699.112,660.200,687.620,692.002,740.101
68,671.602,699.933,701.476,702.773,688.609,691.980,693.849,685.088,698.148,660.779,688.356,692.714,738.642
69,672.059,701.033,700.915,703.679,688.783,690.744,693.678,685.307,697.746,661.004,688.754,693.180,737.221
70,672.645,701.857,700.122,704.254,688.600,689.865,693.648,686.191,697.575,661.080,688.938,693.507,736.148
71,672.789,702.055,699.449,704.396,687.991,689.835,693.553,687.231,697.301,661.158,689.139,693.833,735.503
72,672.648,701.902,699.008,704.534,687.934,690.902,693.076,688.295,697.159,661.204,689.219,694.061,735.254
73,672.566,701.752,698.621,704.913,688.862,692.721,692.716,689.124,697.434,661.174,688.976,694.391,735.318
74,672.362,701.633,698.282,705.215,690.204,694.704,693.045,689.120,698.454,661.341,689.094,694.949,735.265
75,671.964,701.576,698.075,705.529,691.109,696.518,694.049,688.307,699.876,661.451,689.952,695.609,735.168
76,671.424,701.914,697.950,705.920,691.299,698.330,695.220,687.171,700.640,661.124,690.976,696.041,735.497
77,671.260,702.343,697.983,706.353,690.995,699.737,696.004,686.287,700.460,660.666,691.334,696.262,736.746
78,671.664,702.112,698.342,706.618,690.443,700.125,695.966,685.896,699.864,660.679,691.016,696.442,738.587
79,672.007,701.064,698.741,706.370,689.591,699.475,695.545,686.116,699.304,661.098,690.361,696.760,740.218
80,671.566,699.950,698.591,705.425,688.681,698.370,695.258,686.944,698.670,661.562,689.447,697.340,741.369
81,670.303,699.421,697.741,704.643,687.962,697.943,694.886,687.813,697.499,661.764,688.388,698.090,742.511
82,668.934,699.195,696.481,704.686,687.595,698.397,694.049,688.171,695.466,661.711,687.305,698.255,743.827
83,668.309,698.924,695.155,705.017,687.459,699.370,693.106,688.618,693.260,661.759,686.647,697.495,744.919
84,668.954,699.007,693.791,704.611,687.425,700.115,692.455,689.841,691.965,662.033,686.385,696.609,745.634
85,670.803,699.645,692.810,703.423,687.466,700.633,692.602,691.474,691.673,662.015,686.521,696.374,746.447
86,672.586,700.414,692.466,702.196,687.726,700.741,693.364,692.251,691.652,661.510,686.615,696.767,747.609
87,673.056,700.362,692.648,701.606,688.362,700.290,694.091,691.454,691.174,660.976,686.489,697.665,748.332
88,672.155,699.512,692.638,701.969,688.862,699.074,694.651,689.892,690.260,661.033,686.425,698.811,748.508
89,670.938,698.374,692.197,702.843,688.561,697.562,694.875,688.319,689.661,661.779,687.102,699.430,748.891
90,670.168,697.102,691.539,703.420,687.735,696.303,694.617,686.861,689.823,662.809,688.083,698.896,749.411
91,670.059,695.540,691.192,702.983,687.229,695.566,694.064,685.944,690.410,663.653,688.385,697.891,749.640
92,670.178,694.419,691.150,702.162,687.387,695.229,693.758,685.884,691.221,664.080,687.636,697.466,749.416
93,670.533,694.312,691.274,702.034,687.672,695.003,693.780,686.315,692.068,664.221,686.390,698.044,748.902
94,670.987,695.124,691.339,702.867,687.516,694.586,694.011,686.813,692.914,664.325,685.318,699.153,748.109
95,671.207,696.198,691.377,703.961,686.794,693.923,694.583,687.363,693.678,664.508,684.578,700.056,747.165
96,671.089,696.812,691.546,704.285,686.047,693.751,695.133,688.108,694.413,664.406,684.163,700.381,746.514
97,670.928,696.586,691.945,703.925,685.896,694.710,695.095,688.570,695.327,663.594,684.206,700.061,746.609
98,670.901,695.688,692.708,703.722,686.362,696.626,694.636,688.406,696.670,662.271,684.762,699.779,747.145
99,670.865,694.405,693.267,704.246,686.964,698.279,694.534,688.036,698.130,661.232,685.364,700.012,747.413
100,670.546,693.381,692.955,705.106,687.606,698.714,694.807,687.625,699.183,661.011,685.551,700.617,746.958
101,670.234,693.245,692.065,705.659,688.493,698.246,694.803,687.056,699.481,661.028,685.714,700.990,746.081
102,670.411,694.095,691.382,705.758,689.591,697.478,694.326,686.315,699.139,660.683,686.393,701.056,745.193
103,670.839,695.352,691.491,705.669,690.471,696.630,694.034,685.809,698.823,660.115,687.874,701.073,744.561
104,671.237,696.150,691.965,705.778,690.495,696.283,694.530,685.884,698.820,659.638,689.864,701.204,744.419
105,671.398,695.990,692.157,706.060,689.597,696.660,695.595,686.203,698.852,659.397,691.668,701.386,745.078
106,671.184,695.124,691.955,705.954,688.357,697.192,696.678,686.681,698.575,659.406,692.749,701.765,746.187
107,671.089,694.117,691.646,705.147,687.532,697.064,697.614,687.112,697.891,659.900,693.508,702.175,747.112
108,671.276,693.391,691.387,704.017,687.400,696.081,697.905,686.996,697.283,660.924,694.500,702.473,747.514
109,671.734,693.217,690.686,703.225,687.620,694.909,697.091,686.243,697.035,662.449,695.604,702.697,747.416
110,672.220,693.626,689.823,702.872,687.928,694.333,695.413,685.606,696.994,664.011,696.158,702.995,747.028
111,672.507,694.271,689.289,702.536,688.292,694.273,693.795,685.701,696.805,664.781,695.979,703.583,746.419
112,672.513,694.786,689.200,702.002,688.747,693.933,693.386,686.020,696.266,664.594,695.545,704.697,745.626
113,672.451,695.129,689.409,701.517,688.939,692.946,694.182,686.367,695.531,664.091,694.767,706.379,744.788
114,672.365,695.207,689.953,701.430,688.570,692.024,695.477,686.582,695.068,663.698,693.380,708.024,744.131
115,672.454,694.831,690.828,702.007,688.136,691.539,696.034,686.183,694.805,663.438,691.989,709.141,743.846
116,672.421,694.129,691.439,703.280,688.380,691.155,695.375,685.303,694.451,663.017,691.246,709.704,743.821
117,671.875,693.843,691.479,705.307,689.412,690.798,694.076,684.490,693.900,662.265,691.278,710.000,743.500
118,671.211,694.081,691.576,707.812,690.844,690.859,692.924,683.900,693.260,661.323,691.668,710.291,742.559
119,670.842,694.567,692.277,710.191,692.016,691.401,692.436,683.207,692.926,660.427,692.249,710.774,741.765
120,670.562,695.086,693.461,711.957,692.389,691.929,692.436,682.845,693.162,659.772,692.746,711.010,741.447
121,670.349,695.298,694.262,713.263,691.995,691.795,692.405,683.223,693.457,659.475,692.639,710.806,741.212
122,670.461,695.250,693.920,714.150,691.484,690.950,692.489,684.458,693.053,659.397,691.853,710.408,740.332
123,670.938,695.052,692.753,714.720,691.317,689.859,693.091,685.996,691.994,659.306,691.019,709.888,739.240
124,671.174,694.605,691.738,714.790,691.351,689.017,694.193,687.199,691.322,659.098,690.604,709.248,738.712
125,671.023,693.988,691.584,714.150,690.871,688.317,694.758,687.558,691.684,659.269,690.348,708.223,739.092
126,670.947,693.579,691.895,712.459,689.783,687.535,694.424,687.506,692.667,660.230,690.070,706.959,740.288
127,671.484,693.567,692.095,709.882,688.484,686.919,693.648,687.781,693.254,661.490,689.797,705.684,742.257
128,672.332,693.898,692.267,707.611,687.167,686.892,693.068,688.327,693.289,662.597,689.321,704.939,744.673
129,672.868,694.076,692.788,706.877,685.808,687.784,693.095,688.386,693.245,663.332,688.599,705.131,746.631
130,672.760,693.950,693.539,707.461,685.054,689.401,693.409,687.685,693.316,663.772,687.952,706.126,747.411
131,672.388,693.643,694.314,708.587,685.328,691.525,693.686,686.458,693.599,663.974,687.612,706.947,747.355
132,672.125,693.345,694.910,709.568,686.215,693.741,693.530,685.080,694.068,663.957,687.495,707.049,747.277
133,671.868,693.145,695.047,709.688,686.810,695.626,693.492,684.036,694.549,663.690,687.217,706.289,747.721
134,671.312,693.007,694.933,708.449,686.425,696.852,694.083,684.283,694.820,663.434,686.906,704.886,749.154
135,670.523,693.031,694.633,706.249,685.308,697.222,695.125,685.586,694.811,663.601,686.917,703.245,751.587
136,670.000,693.088,694.372,704.396,684.337,697.239,695.996,686.450,694.720,664.161,687.107,701.563,754.148
137,670.234,693.090,694.254,703.725,684.145,697.108,696.129,686.422,694.773,664.644,687.067,700.175,755.930
138,670.898,693.131,694.147,703.899,684.462,696.620,695.526,686.112,694.619,664.579,686.963,699.235,756.601
139,671.003,693.410,693.997,704.263,684.934,695.950,694.932,685.805,694.295,663.731,687.310,698.898,756.260
140,670.105,693.905,693.970,704.384,685.471,695.721,694.901,685.438,693.814,662.471,688.294,698.927,755.156
141,668.961,694.381,694.027,704.287,685.907,696.461,695.159,685.442,693.083,661.503,689.596,699.347,753.304
142,668.470,694.945,693.978,704.094,686.032,697.653,695.121,686.068,692.829,661.169,690.505,699.985,750.936
143,668.931,695.395,693.875,704.237,685.701,698.414,694.758,686.944,693.015,661.401,690.521,700.544,748.749
144,670.086,695.488,693.875,704.696,685.274,698.293,694.178,687.120,693.050,662.484,689.791,700.789,747.514
145,671.375,695.567,693.992,704.896,684.921,697.482,693.258,686.542,692.516,664.612,689.120,700.779,747.388
146,672.079,696.133,694.294,704.498,684.887,696.192,692.701,685.861,692.000,667.338,689.310,700.801,747.782
147,672.309,697.029,694.484,703.713,685.247,694.822,693.205,685.649,691.796,669.627,690.396,700.922,747.785
148,672.470,697.707,694.110,702.896,685.787,693.579,694.311,685.633,691.622,671.009,691.337,700.765,747.209
149,672.283,698.081,693.062,702.343,686.321,692.731,694.826,685.498,691.504,671.779,691.340,699.947,746.304
150,671.546,697.821,691.853,702.092,686.799,692.219,694.545,684.944,691.702,672.453,690.829,699.099,745.397
151,670.730,697.093,690.973,702.418,687.324,691.872,694.011,684.155,692.068,673.052,690.751,699.131,744.369
152,670.503,696.324,690.269,703.761,687.568,691.620,693.818,683.223,692.047,673.430,690.992,699.879,743.064
153,670.878,695.607,689.658,706.396,687.534,691.229,694.068,682.351,691.499,673.649,690.789,700.500,741.693
154,671.421,695.176,688.943,709.768,687.656,690.246,694.151,681.956,690.599,673.961,689.955,700.527,740.757
155,671.727,695.314,687.796,713.041,688.152,688.549,693.379,682.371,689.681,674.072,689.032,700.267,740.260
156,671.595,695.614,686.434,715.674,688.697,687.064,691.830,683.064,689.021,673.605,688.620,700.032,739.958
157,670.997,695.836,685.671,717.242,688.663,686.710,690.390,683.191,688.976,672.881,688.995,700.027,739.726
158,670.059,696.193,685.776,717.882,688.138,687.532,689.947,682.371,689.245,672.382,689.655,700.027,739.335
159,669.368,696.819,686.377,718.232,687.869,688.885,690.640,681.128,689.274,671.996,689.644,699.939,738.665
160,669.273,697.293,687.456,718.587,688.312,689.677,691.955,680.645,688.909,671.423,688.797,699.636,737.830
161,669.720,697.431,689.135,718.536,688.652,689.670,693.216,681.135,688.233,670.640,688.123,699.226,737.145
162,670.599,697.036,691.010,717.727,688.000,689.593,694.114,681.996,687.322,669.918,688.291,699.316,736.709
163,671.664,696.431,692.858,716.601,686.676,689.791,694.792,682.602,686.266,669.460,688.818,700.066,736.405
164,672.592,696.481,694.788,715.698,685.801,690.054,695.458,682.869,685.614,669.390,689.019,700.937,735.818
165,673.211,697.248,696.347,715.123,685.905,690.118,695.928,683.327,685.516,669.527,688.869,700.949,734.637
166,673.480,697.850,697.050,714.746,686.796,689.620,695.867,683.861,685.938,669.527,688.663,700.347,733.288
167,673.352,697.814,696.838,714.517,687.876,688.694,695.610,683.964,686.354,669.124,688.495,699.799,732.534
168,672.888,697.469,696.187,714.297,688.921,687.721,695.761,683.410,686.298,668.091,688.182,699.529,732.936
169,672.253,697.157,695.531,713.534,689.416,686.939,696.583,682.813,685.740,666.913,687.848,699.318,734.550
170,671.569,696.652,695.426,712.145,688.830,686.121,697.341,682.614,685.056,666.421,687.762,698.976,736.598
171,671.039,695.707,696.017,710.918,687.563,685.165,697.659,682.709,684.513,666.703,688.380,698.468,738.154
172,670.747,694.838,697.067,710.201,686.421,684.596,697.890,682.789,684.103,666.991,689.356,697.845,739.000
173,670.684,694.550,697.975,709.650,685.928,684.596,698.049,682.992,684.206,666.577,689.866,697.417,739.570
174,670.618,694.829,697.920,708.976,685.787,685.054,697.542,683.371,684.799,665.935,689.666,697.590,739.986
175,670.408,695.290,696.623,708.444,685.835,685.384,696.008,683.968,685.761,665.573,689.479,697.968,740.338
176,670.339,695.902,694.800,708.128,686.131,685.407,694.064,684.781,686.322,665.592,689.909,697.791,740.380
177,670.661,696.648,693.102,708.007,686.505,685.583,692.386,685.295,686.277,665.499,690.676,696.833,740.073
178,670.888,697.095,691.244,707.855,686.624,686.263,691.212,685.139,685.823,665.462,691.011,695.905,739.419
179,670.842,696.838,689.606,707.488,686.670,686.835,690.682,684.422,685.499,665.675,690.492,695.648,738.771
180,670.944,696.002,688.885,707.266,686.855,686.687,690.917,683.789,685.091,665.931,689.436,696.211,738.595
181,671.618,695.212,688.960,707.884,686.941,686.253,692.205,683.765,684.410,666.206,688.324,696.752,739.050
182,672.484,694.440,689.182,708.696,686.572,686.017,694.261,684.390,683.546,666.449,687.647,696.308,740.539
183,673.026,693.588,689.297,708.483,685.686,686.327,696.314,685.259,683.041,666.440,687.805,695.201,743.123
184,672.990,692.633,689.564,707.242,684.579,686.680,697.686,685.665,683.012,665.620,688.356,694.209,746.715
185,672.523,692.131,690.050,706.024,683.290,686.552,698.735,685.080,683.401,664.000,688.369,693.507,751.142
186,672.036,692.210,690.434,705.225,682.208,685.943,699.724,684.327,684.062,662.542,687.693,692.922,755.939
187,671.724,692.560,689.945,704.536,682.233,685.263,700.333,684.227,684.693,662.354,687.134,692.651,760.008
188,671.454,692.641,688.696,704.077,683.407,684.795,700.246,684.956,685.319,663.187,687.315,692.983,762.184
189,671.059,692.383,687.272,703.824,684.690,684.505,699.708,685.996,685.858,664.128,687.730,693.818,762.466
190,670.615,691.793,686.254,703.601,684.959,684.414,699.095,686.837,685.947,664.898,687.872,694.629,761.997
191,670.359,691.569,685.768,703.056,684.287,684.465,698.595,687.239,684.950,665.705,687.850,695.308,761.508
192,670.523,691.983,685.633,702.012,683.312,684.370,698.178,687.143,683.165,666.189,688.037,695.871,761.296
193,671.138,692.731,685.736,700.761,682.661,683.869,697.651,686.821,681.788,666.106,688.447,696.427,761.131
194,671.888,693.236,685.985,699.894,682.518,683.731,697.224,686.916,681.611,665.659,688.663,696.626,761.430
195,672.128,693.410,686.277,699.657,682.839,684.805,697.284,687.243,682.360,665.221,688.393,696.333,762.506
196,671.645,693.300,686.514,699.976,683.566,686.569,697.735,687.398,683.218,664.909,687.898,695.762,763.966
197,671.178,693.067,686.514,700.565,684.127,687.657,698.189,687.371,683.914,664.952,687.706,695.347,764.832
198,670.980,692.705,686.524,700.923,684.351,687.758,698.409,687.319,685.044,665.304,687.861,695.316,764.676
199,671.253,692.331,686.783,700.787,684.217,687.724,698.208,686.980,686.870,665.692,687.719,695.286,763.913
200,671.944,692.145,686.845,700.367,683.733,688.111,697.553,686.478,689.142,665.813,687.206,695.053,763.034
201,672.757,692.138,686.748,700.007,683.161,688.650,696.898,686.514,691.174,665.475,686.650,694.490,761.913
202,673.118,692.260,687.107,699.696,683.081,688.916,696.474,687.251,692.478,664.722,686.251,693.784,761.053
203,672.562,692.495,688.439,699.242,683.486,688.788,696.193,688.092,692.950,663.874,685.818,692.765,760.793
204,671.382,692.857,690.185,698.925,684.344,688.576,696.015,688.223,692.959,663.384,685.457,691.755,761.042
205,670.490,693.743,691.392,698.961,685.529,688.482,696.337,687.315,693.038,663.371,685.123,691.233,761.550
206,670.526,695.086,692.085,699.432,686.339,688.428,697.182,686.016,693.454,663.711,684.540,691.194,761.827
207,671.398,696.260,693.085,700.423,686.093,688.444,698.224,684.964,693.767,664.117,683.687,691.430,761.427
