 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
1,365.401,361.240,365.853,344.838,356.843,361.243,346.168
2,365.773,360.528,366.086,346.338,356.731,361.980,346.300
3,366.035,359.968,366.269,347.314,356.352,362.372,346.239
4,366.015,360.210,366.277,347.536,355.716,362.543,346.195
5,365.635,361.044,366.412,347.132,355.212,362.545,346.155
6,365.203,361.663,366.944,346.630,354.975,362.358,345.966
7,365.192,361.531,367.548,346.549,354.955,362.028,345.653
8,365.659,360.878,367.771,347.004,354.935,362.010,345.673
9,366.194,360.201,367.468,347.491,354.855,362.390,346.279
10,366.422,359.777,367.102,347.615,354.733,363.030,346.953
11,366.497,359.738,366.980,347.254,354.953,363.497,347.212
12,366.656,360.022,366.998,346.643,355.616,363.674,347.077
13,366.743,360.665,366.815,346.211,356.289,363.581,347.067
14,366.427,361.447,366.402,346.273,356.284,363.191,347.475
15,365.899,361.875,366.060,346.600,355.791,362.934,348.003
16,365.625,361.844,366.143,346.714,355.272,363.000,348.532
17,365.817,361.359,366.598,346.472,354.925,363.135,348.859
18,366.200,360.990,367.161,346.026,354.738,363.127,348.579
19,366.571,360.870,367.564,345.485,354.703,363.078,347.444
20,366.911,360.844,367.753,345.132,354.603,362.974,345.970
21,367.014,360.880,367.665,345.133,354.389,362.656,345.199
22,366.885,360.944,367.325,345.378,354.426,362.338,345.539
23,366.605,360.963,366.867,345.889,354.980,362.332,346.013
24,366.347,360.905,366.554,346.398,355.761,362.575,345.704
25,366.279,360.682,366.486,346.583,356.214,362.724,345.071
26,366.358,360.416,366.616,346.425,356.199,362.652,344.704
27,366.635,360.024,366.869,346.395,355.796,362.350,344.646
28,367.096,359.655,367.050,346.647,355.137,362.070,344.912
29,367.684,359.660,367.191,346.786,354.556,361.843,345.384
30,368.336,359.917,367.355,346.684,354.354,361.557,345.801
31,368.716,360.205,367.444,346.502,354.653,361.320,346.010
32,368.642,360.369,367.498,346.306,355.224,361.264,345.744
33,368.207,360.692,367.635,346.079,355.683,361.406,345.259
34,367.582,360.780,367.709,346.062,355.808,361.668,344.906
35,366.908,360.396,367.343,346.382,355.676,361.863,345.037
36,366.323,359.873,366.456,346.981,355.364,361.911,345.751
37,365.899,359.665,365.807,347.671,354.885,361.920,346.606
38,365.636,359.866,366.058,348.167,354.628,361.948,346.704
39,365.587,360.022,366.865,348.286,355.112,361.833,345.492
40,365.633,359.866,367.466,347.991,356.382,361.807,343.714
41,365.772,359.587,367.500,347.434,357.531,361.918,342.818
42,366.023,359.523,367.444,346.684,357.701,362.072,343.519
43,366.447,359.516,367.470,345.944,357.055,362.101,345.303
44,366.830,359.413,367.319,345.609,355.978,361.950,346.640
45,367.033,359.166,366.624,345.874,354.753,361.521,346.687
46,367.003,358.733,365.450,346.408,353.514,361.004,345.572
47,366.770,358.337,364.404,346.731,352.873,360.746,343.865
48,366.592,358.225,364.323,346.808,353.195,360.964,342.448
49,366.470,358.438,365.279,346.617,354.010,361.441,341.929
50,366.459,358.785,366.488,346.248,354.633,361.875,342.279
51,366.548,358.870,367.339,345.917,354.953,362.040,343.074
52,366.786,358.660,367.920,345.902,355.307,361.829,343.785
53,367.065,358.550,368.179,346.064,355.743,361.378,344.232
54,367.050,358.773,367.984,346.164,355.988,360.982,344.424
55,366.617,358.998,367.386,345.991,355.833,360.680,344.492
56,366.001,359.046,366.679,345.658,355.406,360.392,344.141
57,365.558,358.804,366.084,345.419,354.903,360.282,343.236
58,365.449,358.408,365.659,345.547,354.566,360.304,342.212
59,365.640,358.037,365.494,345.992,354.354,360.376,341.559
60,365.850,357.985,365.610,346.457,354.117,360.668,341.535
61,365.799,358.086,366.106,346.641,353.818,361.308,341.963
62,365.712,358.164,366.801,346.857,353.671,362.181,342.290
63,365.738,357.949,367.476,347.239,354.120,363.149,342.138
64,365.856,357.731,367.639,347.699,355.067,363.980,341.872
65,365.873,358.022,367.299,348.056,356.003,364.388,341.771
66,365.849,358.978,366.886,348.321,356.721,364.209,341.815
67,365.868,359.988,366.875,348.867,356.988,363.736,341.933
68,366.029,360.597,367.376,349.543,356.791,363.557,342.111
69,366.210,360.836,368.235,349.835,356.274,363.755,342.195
70,366.463,361.012,368.916,349.635,355.983,363.750,342.034
71,366.987,361.159,368.683,349.150,356.317,363.197,341.455
72,367.630,360.912,367.681,348.989,357.047,362.565,340.926
73,368.037,360.440,366.847,349.111,357.584,362.483,340.997
74,367.932,360.176,366.783,349.158,357.673,362.857,341.407
75,367.703,360.237,367.271,349.211,357.436,363.016,341.515
76,367.602,360.208,367.522,349.498,357.185,362.704,341.071
77,367.570,359.831,367.062,350.024,357.224,362.129,340.620
78,367.472,359.411,366.197,350.447,357.429,361.865,340.643
79,367.242,359.318,365.444,350.722,357.491,362.165,341.242
80,366.917,359.323,364.855,350.752,357.686,362.841,341.609
81,366.609,359.176,364.456,350.389,358.252,363.247,341.478
82,366.588,359.171,364.363,349.868,358.945,363.008,341.276
83,366.942,359.413,364.695,349.744,359.132,362.123,341.825
84,367.471,359.589,365.321,350.169,358.459,361.082,342.603
85,367.908,359.435,366.163,350.632,357.444,360.151,342.973
86,367.973,359.086,367.012,350.641,356.763,359.698,342.636
87,367.596,358.873,367.606,350.209,356.653,359.996,342.114
88,367.067,358.802,367.731,349.635,356.990,360.924,342.067
89,366.774,358.888,367.432,349.195,357.439,362.117,342.525
90,366.886,359.000,367.004,349.051,357.586,363.227,343.101
91,367.300,359.130,366.948,349.274,357.142,363.809,343.273
92,367.954,359.203,367.179,349.726,356.307,363.590,342.828
93,368.566,359.081,367.353,350.154,355.546,362.982,341.970
94,369.054,358.853,367.291,350.419,355.090,362.507,340.956
95,369.800,359.095,367.189,350.594,355.314,362.738,340.226
96,371.344,360.890,367.635,350.904,356.838,363.873,340.098
97,373.610,364.298,369.213,351.645,359.594,365.928,340.690
98,375.803,368.188,371.727,353.075,362.830,368.636,341.963
99,377.421,371.296,373.984,354.970,365.559,371.382,343.455
100,378.679,373.315,374.962,356.692,367.511,373.612,344.572
101,379.886,374.428,374.924,357.675,368.838,374.934,345.067
102,380.997,375.083,374.960,357.831,369.613,375.374,345.340
103,381.867,375.601,375.797,357.695,369.813,375.390,345.741
104,382.550,376.281,377.088,357.688,369.805,375.565,346.135
105,383.357,377.213,378.177,357.549,369.778,376.427,346.199
106,384.343,378.103,378.705,357.088,369.693,378.064,346.226
107,385.229,378.577,378.783,356.714,369.274,380.235,346.768
108,385.727,378.193,378.458,356.925,368.808,382.103,347.983
109,385.678,377.230,377.914,357.524,368.519,382.877,349.586
110,385.407,376.616,377.223,358.056,368.332,382.360,351.232
111,385.362,376.912,376.488,358.404,367.830,381.036,352.492
112,385.720,377.716,375.725,358.506,367.070,379.563,353.360
113,386.442,378.176,375.056,358.094,366.354,378.632,354.337
114,387.281,377.875,374.853,357.346,365.983,378.352,355.684
115,388.074,377.034,375.175,356.765,365.943,378.744,357.024
116,388.530,375.870,375.896,356.359,365.855,379.509,357.505
117,388.279,374.831,376.476,355.810,365.339,380.060,357.340
118,387.283,374.076,376.215,355.165,364.349,379.823,357.380
119,386.146,373.594,374.960,354.758,363.426,378.930,357.889
120,385.283,372.900,373.482,354.852,363.155,378.000,358.909
121,384.546,372.002,372.803,355.305,363.541,377.282,360.131
122,383.650,371.379,373.249,355.626,364.259,376.811,361.364
123,382.558,371.276,374.295,355.534,364.970,376.829,362.020
124,381.624,371.352,375.472,355.169,365.382,377.531,362.081
125,381.152,371.340,376.458,354.784,365.279,378.493,361.529
126,381.120,371.068,376.948,354.517,364.895,379.080,360.589
127,381.240,370.743,376.751,354.278,364.464,379.183,359.872
128,381.230,370.523,376.024,354.055,363.761,379.038,359.505
129,381.152,370.156,375.460,354.017,362.808,378.885,359.114
130,381.139,369.550,375.532,354.355,362.040,378.501,358.710
131,381.225,368.922,375.886,354.872,361.810,377.851,358.936
132,381.445,368.479,375.908,355.154,361.815,377.213,359.771
133,381.707,368.166,375.418,355.105,361.761,376.899,360.286
134,381.914,367.663,374.908,354.737,361.544,376.396,359.980
135,381.863,366.963,374.880,354.113,361.167,375.364,359.256
136,381.631,366.083,375.106,353.656,360.501,374.491,358.724
137,381.091,365.501,375.074,353.534,359.668,374.245,358.286
138,380.367,365.489,374.432,353.440,359.067,374.400,357.481
139,379.738,365.966,373.378,352.949,358.890,374.414,356.380
140,379.204,366.538,372.618,352.013,358.943,374.026,355.343
141,378.592,366.604,372.484,351.047,359.025,373.356,354.616
142,377.890,366.208,372.584,350.705,358.997,372.740,354.424
143,377.277,365.521,372.757,350.915,358.935,372.533,354.737
144,377.151,364.626,372.872,351.241,358.898,372.652,355.215
145,377.666,363.963,372.737,351.417,358.701,372.819,355.539
146,378.426,363.927,372.382,351.383,358.185,372.855,355.471
147,378.574,364.597,372.139,351.248,357.741,372.688,354.990
148,377.855,365.066,371.968,351.109,357.880,372.555,354.131
149,376.778,364.822,371.741,350.919,358.414,372.527,353.108
150,375.961,364.078,371.588,350.972,358.801,372.624,352.269
151,375.737,363.178,371.843,351.267,358.893,372.195,351.832
152,376.050,362.296,372.392,351.496,358.613,371.129,351.805
153,376.504,361.538,372.681,351.338,357.938,369.849,351.852
154,376.656,361.054,372.343,351.064,357.030,368.787,351.579
155,376.536,360.844,371.388,350.872,356.337,368.147,351.209
156,376.196,360.958,370.141,350.521,356.130,368.010,351.020
157,375.566,361.469,369.237,349.758,356.319,368.266,351.276
158,374.793,362.284,369.088,348.910,356.658,368.608,351.609
159,374.269,363.237,369.325,348.718,357.017,368.966,351.266
160,374.391,364.218,369.574,349.143,357.434,369.250,349.983
161,375.356,365.347,370.088,349.476,357.721,369.427,348.226
162,377.478,366.491,371.096,349.350,357.925,369.475,346.865
163,380.560,367.511,372.416,349.055,358.282,369.592,346.189
164,383.797,368.193,373.372,349.011,358.758,369.668,346.138
165,386.385,368.689,373.705,349.192,359.190,369.744,346.276
166,388.188,369.271,373.614,349.329,359.479,369.742,346.545
167,389.287,369.851,373.859,349.331,359.651,369.596,346.700
168,389.974,370.230,374.542,349.342,359.848,369.127,346.646
169,390.508,370.267,374.914,349.284,360.202,368.656,346.145
170,391.133,370.110,374.287,349.165,360.489,368.620,345.320
171,391.752,370.076,372.998,349.068,360.170,369.300,344.660
172,392.144,370.122,371.823,349.237,359.334,370.360,344.535
173,392.132,370.230,371.131,349.720,358.307,371.221,344.710
174,391.902,370.093,371.207,350.237,357.484,371.588,345.118
175,391.720,369.543,371.825,350.419,357.045,371.300,345.488
176,391.694,368.484,372.299,349.934,356.883,370.634,345.700
