 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
1,680.264,659.465,637.638,664.655,650.296,634.739,650.179
2,679.500,659.218,638.210,662.995,650.964,632.879,649.416
3,678.782,659.751,638.323,661.256,651.678,631.473,649.267
4,678.370,661.059,638.506,660.032,652.113,630.818,649.637
5,678.422,662.805,639.156,659.392,651.888,630.498,649.970
6,678.826,664.143,639.720,659.285,651.102,630.456,650.078
7,678.968,664.703,639.642,659.539,650.454,630.475,650.232
8,678.404,664.782,639.397,659.706,650.252,630.165,650.680
9,677.446,664.871,639.416,659.326,650.408,629.224,650.952
10,676.798,664.998,639.447,658.618,650.775,628.020,650.975
11,676.426,664.973,638.984,657.883,650.988,627.374,650.904
12,676.180,665.052,638.055,657.408,650.576,627.766,650.531
13,676.260,665.442,637.296,657.082,649.808,629.138,649.768
14,676.854,665.869,637.393,656.867,649.439,630.823,648.887
15,677.486,666.054,638.304,656.461,649.719,631.943,648.637
16,677.594,665.823,639.444,655.791,650.224,632.135,648.980
17,677.420,665.340,639.879,655.274,650.423,631.581,649.469
18,677.406,664.674,639.712,655.386,650.038,630.926,649.509
19,677.872,664.023,639.693,656.012,649.441,630.493,649.373
20,678.496,663.560,639.848,656.647,649.271,630.387,649.453
21,678.648,663.649,639.739,656.936,649.582,630.680,649.889
22,678.044,664.168,639.311,657.533,649.944,631.660,650.312
23,677.302,664.435,638.735,659.339,649.938,633.236,650.642
24,677.212,663.885,637.973,662.017,649.643,634.667,650.730
25,677.576,662.408,637.027,664.083,649.347,635.266,650.773
26,677.932,660.583,636.630,663.997,649.127,634.990,650.957
27,678.058,659.047,637.160,661.962,648.686,634.522,651.280
28,678.062,658.068,637.821,659.647,647.877,634.305,651.438
29,678.124,657.556,638.093,658.356,646.791,634.283,651.270
30,678.256,657.386,638.385,658.194,646.110,634.177,650.987
31,678.328,657.492,638.957,658.433,646.232,633.948,650.715
32,678.328,657.762,639.685,658.417,646.969,633.569,650.373
33,678.042,658.175,640.214,658.062,647.755,633.320,649.673
34,677.718,658.496,640.638,657.683,648.442,633.404,649.083
35,677.714,658.651,641.323,657.445,648.964,633.993,649.023
36,678.250,658.977,642.167,657.388,649.247,634.783,649.305
37,679.194,659.397,643.058,657.265,649.311,635.027,649.602
38,680.332,659.766,643.405,656.948,649.405,634.608,650.116
39,681.442,660.039,642.568,656.476,649.567,634.241,650.839
40,682.290,660.492,641.156,656.208,649.490,634.554,651.267
41,682.886,660.776,640.599,656.359,649.143,635.470,651.043
42,683.230,660.365,641.268,656.897,648.855,636.286,650.761
43,683.242,659.079,642.101,657.427,648.740,636.621,650.955
44,682.876,657.508,642.370,657.694,648.686,636.530,651.239
45,682.486,656.372,642.385,657.571,648.525,636.101,651.113
46,682.610,655.961,642.401,657.126,648.273,635.325,650.335
47,683.208,655.968,642.101,657.085,647.961,634.628,649.370
48,683.974,655.590,641.078,658.349,647.671,634.567,648.564
49,684.644,654.578,639.432,660.982,647.350,635.111,648.003
50,685.270,653.479,638.377,663.453,647.067,635.485,647.635
51,685.724,652.961,638.875,663.794,647.135,635.190,647.436
52,685.528,653.342,640.514,661.776,648.002,634.377,647.184
53,684.738,654.428,641.778,659.197,649.562,633.539,647.028
54,683.732,655.819,641.833,657.541,651.122,632.493,647.234
55,682.860,656.919,641.004,657.017,652.003,631.190,647.776
56,681.928,657.374,640.191,657.297,652.092,629.899,648.312
