 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
1,636.550,594.187,667.202,890.879,659.665,718.381,794.373,773.107,613.764,683.592,571.841,602.766,542.430,625.808,674.766,589.534,640.352
2,635.912,594.284,665.281,889.828,659.252,717.214,794.081,772.520,612.846,683.134,571.272,602.125,543.371,625.967,674.617,590.151,639.585
3,634.882,594.226,663.146,885.100,656.997,714.901,793.665,772.136,611.803,682.068,570.841,602.034,544.344,626.393,672.741,589.806,637.984
4,633.855,593.684,661.704,878.515,653.813,712.453,793.236,771.949,610.764,680.581,570.820,602.392,545.038,626.869,670.221,588.866,636.349
5,633.675,592.948,661.858,874.339,652.118,711.270,793.015,771.837,609.992,679.395,571.092,602.747,545.231,627.121,669.142,588.674,635.549
6,634.704,592.419,663.266,874.543,652.562,711.835,792.995,771.700,609.618,679.052,571.195,602.728,544.898,627.254,669.906,589.634,635.533
7,636.102,592.087,664.798,876.304,653.407,713.028,793.033,771.786,609.622,679.225,570.913,602.562,544.274,627.302,670.855,590.751,635.748
8,636.645,591.813,665.045,875.334,652.756,713.084,792.840,772.114,609.452,679.016,570.272,602.521,543.565,627.092,670.266,590.726,635.843
9,636.355,592.016,663.693,870.762,650.694,711.604,792.308,772.147,608.780,677.881,569.662,602.698,543.054,626.512,668.029,589.716,635.856
10,636.126,592.710,662.105,866.548,649.046,709.952,791.795,771.273,608.143,676.426,569.349,602.777,542.806,625.826,665.932,588.861,635.871
11,636.296,593.461,662.195,866.491,649.229,709.503,791.730,769.881,608.398,675.855,569.508,602.483,542.688,625.354,665.815,589.281,636.084
12,636.597,593.935,663.685,869.288,650.634,710.028,791.871,768.714,609.259,676.289,569.979,601.909,542.280,625.329,667.312,590.428,636.399
13,636.438,594.371,664.730,870.526,651.020,710.230,791.761,768.128,609.714,676.617,570.605,601.449,541.995,625.510,668.315,591.047,636.580
14,635.374,594.600,663.925,867.900,649.173,709.357,791.267,767.979,609.031,675.992,571.318,601.419,542.661,625.690,667.575,590.531,636.205
15,634.078,594.423,662.127,863.930,646.768,708.182,790.717,768.068,608.100,674.792,571.544,601.562,544.183,625.815,666.392,589.674,635.236
16,633.462,594.190,660.959,862.612,646.358,708.062,790.279,768.071,608.293,674.149,570.979,601.479,545.258,625.796,666.617,589.405,634.509
17,633.853,594.390,660.936,864.725,648.280,709.140,790.029,767.592,609.656,674.492,570.221,600.660,545.306,625.507,668.250,590.108,634.562
18,634.254,594.577,660.963,866.923,650.354,710.271,789.949,766.969,610.826,675.341,569.810,599.306,544.548,625.132,669.743,590.952,634.892
19,634.026,594.052,660.112,865.740,650.349,710.165,789.767,766.870,610.483,675.827,569.446,598.468,543.860,624.900,669.634,591.226,635.087
20,633.474,593.077,658.914,861.805,648.698,709.070,789.518,767.374,608.985,675.585,569.477,598.675,543.769,624.802,668.381,590.978,635.247
21,633.422,592.542,658.708,859.230,647.966,708.455,789.523,767.738,607.714,675.161,570.436,600.015,544.043,624.712,667.666,591.030,636.024
22,634.166,592.368,659.895,860.528,649.526,709.210,789.953,767.852,607.919,675.460,571.831,601.551,544.489,624.535,668.269,591.697,637.449
23,635.055,591.816,661.318,863.650,651.884,710.312,790.689,767.849,609.533,676.393,572.508,602.558,544.952,624.315,669.165,592.241,638.921
24,635.178,590.852,661.786,864.410,652.555,710.309,791.420,767.742,610.880,677.105,572.354,602.947,545.306,624.147,668.876,591.830,639.383
25,634.360,590.274,661.330,861.477,650.949,708.902,791.897,767.464,610.614,676.993,571.697,603.306,545.048,624.280,667.100,590.585,638.703
26,633.398,590.729,661.082,858.148,648.674,707.168,792.273,767.198,609.471,676.516,571.041,603.585,544.220,624.771,665.298,589.576,637.877
27,633.216,591.623,661.558,858.352,647.715,706.468,792.968,767.224,609.143,676.556,570.831,603.238,543.570,625.424,665.177,589.550,637.591
28,633.964,592.258,662.247,862.379,648.572,707.033,794.090,767.852,610.305,677.183,571.051,602.347,543.710,625.897,667.041,590.630,637.711
29,634.986,592.677,662.869,867.241,650.169,708.267,795.256,769.147,612.158,677.855,571.523,601.766,545.038,626.175,669.694,592.188,637.722
30,635.602,593.148,663.322,870.473,651.406,709.789,795.952,770.762,613.595,677.890,572.062,601.951,547.048,626.382,671.522,593.337,637.556
31,635.905,593.765,663.734,872.834,652.639,711.527,796.104,772.020,614.336,677.381,572.564,602.196,548.667,626.458,672.546,593.776,637.743
32,636.308,594.519,664.622,876.255,655.145,713.200,796.006,772.223,615.266,677.151,573.154,601.615,549.414,626.273,673.846,594.059,638.795
33,637.171,594.942,666.109,880.640,658.779,714.398,795.653,771.379,617.031,677.605,573.579,600.359,549.731,625.928,675.617,594.564,640.118
34,638.199,594.971,667.584,883.464,661.347,714.986,794.776,770.150,618.483,678.207,573.215,599.457,549.414,625.727,676.537,594.794,640.423
35,638.855,594.771,668.124,882.285,660.605,714.577,793.572,769.158,617.996,678.131,571.703,599.475,548.538,625.817,675.610,594.027,639.333
36,638.519,594.542,668.015,877.643,656.915,713.049,792.603,768.544,615.892,677.263,569.467,600.253,547.774,626.141,673.416,592.397,637.780
37,637.258,594.442,668.157,873.195,653.463,711.397,792.179,768.189,614.104,676.361,567.795,601.132,547.715,626.444,671.573,591.100,636.974
38,636.142,594.271,669.045,872.300,652.694,710.746,792.167,767.919,613.606,676.247,567.610,601.875,548.317,626.828,671.306,591.077,637.349
39,636.313,593.594,669.693,873.983,654.120,710.928,792.262,767.702,613.795,676.861,568.795,602.389,548.962,627.323,672.461,591.952,638.302
40,637.528,592.623,668.779,874.059,655.029,710.739,792.230,767.647,613.417,677.289,570.021,602.638,549.032,627.794,673.201,592.619,638.701
41,638.543,592.142,666.375,869.984,653.694,709.566,792.051,767.690,611.811,676.718,570.574,602.675,548.500,628.208,672.290,592.643,638.155
42,638.773,592.413,664.588,864.474,651.350,708.096,791.927,767.646,609.510,675.567,570.287,602.577,547.559,628.341,670.587,592.330,637.375
43,638.739,593.068,664.584,862.276,650.539,707.658,792.047,767.492,607.896,674.977,569.395,602.377,546.521,628.099,669.817,592.215,637.331
44,638.673,593.461,665.494,864.293,651.779,708.546,792.362,767.442,607.942,675.259,568.692,601.921,545.554,627.589,670.408,592.484,637.869
45,638.481,593.681,665.996,866.556,653.287,709.476,792.569,767.518,608.710,675.594,568.400,601.675,544.651,627.061,671.174,592.740,637.898
46,637.758,594.145,665.210,864.962,652.940,709.123,792.356,767.692,609.004,675.149,568.569,602.132,544.355,627.042,670.769,592.418,636.895
47,636.666,594.723,663.768,860.126,650.894,707.772,791.789,767.772,608.764,674.058,569.021,603.106,545.091,627.550,669.265,591.599,635.362
48,636.009,594.745,663.022,856.674,649.365,706.956,791.463,767.832,609.127,673.292,569.133,603.611,546.290,628.008,668.310,590.991,634.564
49,635.962,594.245,663.285,857.624,650.099,707.327,791.763,767.819,610.513,673.405,568.256,603.226,547.167,627.799,669.000,591.180,634.735
50,636.069,593.474,663.764,860.864,652.085,708.053,792.377,767.898,612.390,673.920,566.815,602.196,547.215,627.027,670.557,591.833,634.969
51,635.761,592.816,663.491,861.567,652.801,707.947,792.478,768.137,613.251,673.926,566.015,601.377,547.027,626.314,671.165,592.180,634.612
52,635.104,592.655,662.618,857.992,651.246,706.895,791.682,768.507,612.525,673.272,566.149,601.140,547.177,626.125,670.121,591.739,634.100
53,634.633,593.239,661.502,853.773,649.129,705.971,790.627,768.881,611.741,672.841,566.287,601.238,547.919,626.371,669.027,591.067,634.360
54,634.536,594.497,661.026,853.365,648.854,706.003,790.189,769.276,612.513,673.403,566.277,601.140,548.500,626.648,669.427,590.746,635.396
55,634.882,595.558,661.318,856.516,650.604,706.698,790.615,769.471,614.440,674.461,566.579,600.725,548.435,626.716,671.044,590.757,636.073
56,635.363,595.761,661.416,858.808,652.106,706.922,791.156,769.304,615.707,674.876,567.472,600.306,547.839,626.646,672.008,590.706,635.402
57,635.519,594.942,660.262,856.968,651.372,706.123,791.242,769.107,615.263,674.294,568.549,600.362,547.118,626.458,671.280,590.433,633.572
58,635.021,593.890,658.337,852.627,649.207,704.991,791.003,769.248,613.672,673.282,569.374,600.551,546.591,626.233,669.576,590.288,631.661
59,634.329,593.542,656.873,850.306,648.329,704.762,790.891,769.578,612.096,672.578,570.154,600.608,546.188,625.957,668.699,590.655,631.042
60,634.225,594.023,656.652,852.050,649.623,705.644,791.109,769.626,611.417,672.680,570.862,600.626,546.091,625.667,669.306,591.332,631.601
61,634.993,594.787,657.401,855.219,651.489,706.721,791.461,769.233,611.857,673.093,570.749,600.800,545.952,625.526,670.457,591.714,632.223
62,635.969,595.164,658.659,855.833,651.899,706.861,791.664,768.746,612.622,673.067,570.041,601.355,545.495,625.820,670.607,591.617,632.016
63,636.325,594.897,659.783,853.331,650.550,705.979,791.790,768.564,612.680,672.453,569.462,602.026,544.887,626.434,669.522,591.339,631.428
64,636.092,594.142,660.431,851.314,649.130,705.337,792.185,768.692,612.120,671.974,569.118,602.445,544.941,626.952,668.418,591.323,631.270
65,635.827,593.506,660.805,852.617,649.127,705.862,792.929,768.884,612.081,672.061,568.600,602.389,546.032,626.951,668.632,591.809,631.738
66,635.882,593.381,660.292,856.123,650.245,707.111,793.677,769.189,613.274,672.656,567.964,602.385,547.645,626.480,670.097,592.541,632.252
67,635.865,593.803,658.700,858.666,651.022,707.952,793.986,769.770,614.788,673.185,567.913,603.094,548.780,626.135,671.616,592.970,632.654
68,635.204,594.284,657.067,859.072,650.988,708.078,793.737,770.514,615.170,673.193,568.287,604.521,549.188,626.226,672.460,593.123,633.060
69,634.261,594.797,656.944,859.593,651.647,708.219,793.206,770.891,615.004,673.066,568.867,605.521,549.194,626.649,673.035,593.464,633.491
70,634.071,595.465,658.824,863.055,654.657,709.240,792.703,770.397,615.749,673.676,569.754,604.996,549.285,626.856,674.194,594.547,633.934
71,634.820,596.552,661.352,869.047,659.097,710.976,792.364,769.247,617.108,675.197,571.108,603.026,549.565,626.833,676.041,596.083,634.496
72,635.502,597.916,662.798,873.769,661.831,712.059,792.071,768.202,617.035,676.766,572.595,600.660,549.833,626.770,677.331,596.941,634.987
73,635.090,598.700,662.689,873.499,660.846,711.715,791.701,767.882,614.764,677.347,573.354,599.060,549.892,626.685,676.796,596.248,635.000
74,633.829,598.110,661.566,869.085,657.356,710.502,791.307,768.171,611.834,676.908,572.441,598.777,549.597,626.377,674.752,594.729,634.801
75,633.005,596.587,660.097,865.341,654.775,709.747,791.099,768.543,610.475,676.335,570.754,599.581,549.177,625.789,673.023,594.033,634.932
76,633.164,595.758,659.281,865.581,655.023,709.948,791.192,768.530,610.622,676.198,569.656,600.570,548.828,625.254,672.871,594.733,635.394
77,633.822,596.352,659.614,867.994,656.816,710.329,791.261,768.138,611.618,676.140,569.605,600.838,548.758,625.002,673.322,595.815,635.798
78,634.244,597.648,660.644,868.103,657.343,709.712,790.881,767.470,612.571,675.639,570.031,600.555,548.495,625.061,672.425,595.915,635.459
79,634.000,598.555,661.266,864.477,655.538,707.916,790.132,766.762,612.992,674.691,570.415,600.506,548.011,625.271,669.740,594.863,634.577
80,633.315,598.558,661.101,860.367,653.024,706.059,789.616,766.384,612.892,673.952,570.672,601.091,548.220,625.487,667.242,593.584,634.339
81,632.784,597.948,660.704,859.788,652.283,705.497,789.656,766.263,613.031,674.086,571.082,601.762,549.188,625.623,666.755,593.062,635.226
82,632.559,596.958,660.356,862.590,653.581,706.146,789.898,766.032,613.969,674.978,571.354,601.864,549.876,625.498,667.823,593.202,635.835
83,632.382,595.635,660.131,864.440,655.041,706.675,789.917,765.471,614.884,675.774,571.164,601.302,549.715,625.214,668.554,593.366,634.937
84,631.950,594.155,659.682,861.821,654.404,706.026,789.572,764.861,614.463,676.025,570.549,600.751,548.817,625.000,667.920,593.013,632.976
85,631.396,592.916,658.846,856.364,651.784,704.852,789.146,764.489,612.610,675.906,570.231,600.860,547.887,625.143,666.825,592.121,631.740
86,630.860,592.097,657.562,853.060,649.697,704.611,789.013,764.222,610.950,676.055,570.487,601.494,547.484,625.402,666.542,591.290,632.147
87,630.491,591.703,656.363,854.242,649.923,705.497,789.312,764.106,610.815,676.815,570.662,601.785,547.285,625.512,667.290,591.246,633.913
88,630.436,591.700,655.390,857.117,651.357,706.319,789.738,764.336,611.440,677.774,569.692,601.728,546.661,625.483,668.056,591.622,635.759
89,630.713,592.116,654.700,857.286,651.577,705.906,789.779,764.881,611.290,678.028,567.872,602.030,545.742,625.532,667.661,591.306,636.530
90,631.090,592.765,654.614,853.771,649.942,704.532,789.349,765.384,610.363,677.357,566.380,602.815,545.349,625.624,666.455,590.159,635.785
91,631.716,593.477,655.431,850.228,648.515,703.405,788.856,765.754,609.656,676.749,565.867,603.196,545.790,625.737,665.835,589.213,634.304
92,632.756,594.287,657.142,850.330,649.472,703.552,788.840,766.077,609.861,677.131,565.862,602.887,546.521,625.771,666.770,589.347,633.488
93,634.062,595.094,659.281,853.453,651.950,704.801,789.260,766.212,610.645,678.361,566.103,602.408,547.086,625.866,668.505,590.267,633.714
94,634.682,595.497,660.876,855.815,652.999,705.847,789.526,766.189,611.548,679.394,566.903,602.355,547.366,626.099,669.761,591.024,634.031
95,634.043,595.235,661.292,854.893,651.158,705.621,789.321,766.170,612.008,679.327,568.169,603.057,547.586,626.260,669.753,591.214,633.496
96,632.543,593.997,660.764,852.356,648.114,704.445,788.881,766.293,612.278,678.320,568.918,604.057,547.898,626.307,668.682,591.367,632.349
97,631.841,592.416,660.131,852.370,646.480,703.671,788.873,766.508,612.853,677.316,568.549,604.600,548.237,626.396,667.766,592.032,631.722
98,632.344,591.455,660.056,856.483,646.679,704.088,789.563,766.748,614.108,677.023,567.733,604.200,548.312,626.560,667.805,593.067,632.018
99,632.905,591.855,660.206,861.324,646.958,704.903,790.492,767.103,615.417,677.327,567.759,603.468,547.941,626.584,668.425,593.661,632.814
100,632.727,593.077,659.955,862.810,645.682,704.894,791.016,767.872,616.046,677.434,568.708,603.219,547.484,626.499,668.788,593.311,633.388
101,632.391,593.926,659.296,861.588,643.705,703.980,791.203,769.304,615.923,676.939,569.662,603.302,547.425,626.358,669.166,592.544,633.386
102,632.621,593.890,658.876,862.823,643.751,703.768,791.740,770.992,615.911,676.276,569.697,602.958,547.882,625.885,670.455,592.440,633.291
103,633.258,593.232,659.588,869.951,647.423,705.340,792.872,772.393,616.707,676.386,568.918,601.906,548.855,625.160,672.769,593.386,633.509
104,634.102,592.535,661.281,879.829,653.219,707.833,793.974,773.254,617.873,677.361,568.103,600.747,549.355,624.575,675.242,594.645,634.005
105,634.981,592.265,662.547,885.468,657.387,709.205,794.440,773.467,618.444,678.289,568.221,600.234,548.521,624.446,676.460,595.232,634.593
106,635.377,592.639,662.112,883.818,657.594,708.651,794.139,773.110,618.151,678.339,568.903,600.623,546.521,624.718,675.858,594.800,634.719
107,635.128,593.084,660.318,879.012,655.502,707.477,793.387,772.700,617.521,677.881,569.487,601.336,544.527,625.029,674.330,594.088,633.845
108,634.704,593.323,658.813,877.280,654.438,707.351,792.778,772.768,617.479,677.839,569.600,601.611,543.946,625.137,673.534,593.989,632.635
109,634.597,593.271,658.783,879.765,655.413,708.075,792.630,773.181,618.193,678.575,569.241,601.223,545.011,625.100,673.988,594.550,632.029
110,634.334,593.032,659.951,881.973,656.491,708.124,792.815,773.302,618.996,679.416,568.544,600.940,546.737,625.124,674.508,594.948,632.215
