 ,Mean1,Mean4,Mean6,Mean7
177,636.036,874.440,707.022,793.867
178,634.701,870.961,706.414,793.409
179,634.701,871.566,706.730,793.072
180,635.725,873.363,707.120,792.901
181,636.450,872.188,706.378,792.747
182,636.303,867.822,704.596,792.507
183,635.780,864.339,703.155,792.254
184,635.415,865.157,703.206,792.119
185,635.130,868.898,704.396,792.109
186,634.863,870.803,705.238,792.018
187,634.521,868.160,704.674,791.463
188,634.547,863.339,703.263,790.615
189,634.889,861.143,702.578,790.175
190,635.536,863.090,703.270,790.552
191,635.763,865.923,704.342,791.299
192,635.225,865.646,704.376,791.745
193,633.936,862.270,703.243,791.688
194,632.720,859.762,702.266,791.371
195,631.960,861.141,702.683,791.252
196,631.320,864.759,704.100,791.372
197,630.244,866.296,705.031,791.293
198,628.910,863.857,704.734,790.819
199,627.998,860.397,703.981,790.233
200,628.175,860.078,703.988,790.004
201,629.218,863.159,704.585,790.289
202,630.434,865.885,704.612,790.709
203,630.919,864.891,703.487,790.837
204,630.474,860.992,701.722,790.774
205,629.623,858.296,700.453,790.985
206,629.107,859.587,700.631,791.651
207,628.884,863.925,702.011,792.663
208,628.867,868.102,703.538,793.676
209,629.389,870.636,704.717,794.353
210,630.607,873.279,705.981,794.587
211,632.083,877.885,707.771,794.560
212,633.111,882.981,709.516,794.359
213,633.209,884.988,710.183,794.086
214,632.450,881.961,709.366,793.849
215,631.472,876.341,707.963,793.897
216,631.062,872.792,707.243,794.355
217,631.230,873.321,707.734,795.021
218,631.486,875.321,708.791,795.525
219,631.450,874.458,709.281,795.674
220,630.991,870.265,708.755,795.643
221,630.287,866.511,708.132,795.726
222,629.628,866.491,708.476,795.916
223,629.320,869.239,709.417,796.033
224,629.270,870.602,709.799,795.841
225,629.206,868.060,708.903,795.355
226,629.204,863.845,707.476,794.837
227,629.410,862.321,706.796,794.688
228,630.154,864.567,707.333,794.733
229,631.242,867.041,708.325,794.560
230,631.645,865.843,708.376,794.059
231,631.005,861.682,707.232,793.665
232,630.149,859.078,706.383,793.827
233,630.100,860.703,706.975,794.397
234,630.761,864.487,708.423,794.950
235,631.092,865.868,709.046,795.063
236,630.550,862.900,708.096,794.687
237,629.827,858.913,706.688,794.169
238,629.791,858.721,706.386,793.980
239,630.782,862.724,707.538,794.342
240,632.092,866.531,708.614,795.033
241,632.739,866.082,708.485,795.569
242,632.623,862.142,707.722,795.696
243,632.825,859.174,707.680,795.831
244,633.832,860.150,708.624,796.584
245,635.149,863.914,709.682,797.966
246,635.934,867.551,710.130,799.278
247,636.261,869.759,710.000,799.995
248,636.810,872.394,710.142,800.140
249,637.993,877.109,711.104,800.204
250,639.325,882.256,712.418,800.344
251,639.773,884.095,712.958,800.291
252,638.934,880.956,712.029,799.787
253,637.505,875.284,710.400,799.072
254,636.365,871.740,709.571,798.607
255,635.839,872.373,710.011,798.572
256,635.550,874.239,710.809,798.742
257,634.765,872.893,710.712,798.686
258,633.216,867.800,709.495,798.370
259,631.716,863.414,708.347,798.113
260,631.239,863.541,708.374,798.176
261,631.863,866.725,709.194,798.283
262,632.616,868.349,709.528,797.875
263,632.607,865.950,708.627,796.894
264,632.156,861.822,707.218,795.963
265,632.209,860.301,706.678,795.753
266,632.915,862.551,707.328,796.076
267,633.457,865.456,708.050,796.331
268,633.116,865.152,707.722,796.179
269,632.168,861.724,706.571,795.876
270,631.630,859.148,705.832,795.823
271,631.886,860.331,706.493,796.197
272,632.664,863.552,708.050,796.780
273,633.211,864.471,708.996,797.201
274,633.062,861.600,708.733,797.195
275,632.367,858.132,708.272,796.977
276,631.720,858.110,708.818,797.085
277,631.730,861.625,710.080,797.589
278,632.223,864.593,710.742,798.153
279,632.476,863.273,709.893,798.335
280,632.149,858.875,708.259,798.207
281,632.005,856.567,707.716,798.364
282,632.564,859.829,709.453,799.174
283,633.872,866.670,712.585,800.200
284,635.445,872.070,715.087,800.730
285,636.576,873.187,715.791,800.543
286,636.879,872.059,715.348,800.021
287,636.687,872.414,715.195,799.562
288,636.382,874.616,715.753,799.123
289,635.882,875.337,715.958,798.504
290,634.993,872.195,715.060,797.577
291,634.190,867.167,713.582,796.626
292,634.109,864.744,712.714,796.020
293,634.718,866.519,712.698,795.935
294,635.287,869.103,712.697,796.126
295,635.175,867.917,711.730,796.053
296,634.197,862.799,710.037,795.650
297,633.062,858.408,708.802,795.341
298,632.566,858.603,709.096,795.434
299,632.479,862.160,710.344,795.818
300,632.251,864.140,710.799,795.985
301,631.595,861.301,709.683,795.531
302,630.754,855.964,708.102,794.782
303,630.209,853.155,707.712,794.405
304,630.102,854.805,708.804,794.683
305,630.147,857.755,710.013,795.089
306,630.036,857.857,709.918,795.092
307,629.716,855.013,708.600,794.786
308,629.557,853.119,707.648,794.543
309,629.723,854.986,708.209,794.501
310,630.038,858.973,709.624,794.570
311,630.332,860.851,710.134,794.520
312,630.097,858.701,709.151,794.147
313,629.287,855.289,707.904,793.659
314,628.519,854.632,707.946,793.491
315,628.434,856.882,709.309,793.873
316,628.882,858.637,710.570,794.603
317,629.341,857.057,710.379,795.319
318,629.555,853.331,709.268,795.631
319,629.583,851.404,708.999,795.762
320,629.588,853.610,710.492,796.148
321,629.275,858.615,712.964,796.858
322,628.618,863.472,715.105,797.579
323,628.142,866.768,716.361,797.955
324,628.199,869.625,717.285,797.908
325,629.021,873.327,718.533,797.706
326,630.130,876.657,719.674,797.514
327,630.993,876.796,719.595,797.488
328,631.033,872.623,717.931,797.780
329,630.472,866.922,715.966,798.266
330,630.135,864.111,715.296,798.718
331,630.576,865.562,716.040,799.142
332,631.100,867.861,716.903,799.443
