 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
1,693.290,756.364,820.217,672.696,728.794,791.101,634.101,753.803,861.315,860.178,689.791,644.039,635.753,649.627,596.047,600.255
2,692.536,756.841,821.169,670.507,729.720,790.987,635.345,754.113,861.344,858.264,691.088,644.972,635.113,648.435,596.835,600.386
3,692.642,757.474,819.674,668.909,729.210,790.962,635.554,753.887,860.401,856.876,692.338,645.584,634.398,647.877,597.273,600.249
4,693.453,757.862,815.519,668.361,727.091,791.123,634.691,753.032,858.419,856.653,692.689,645.929,633.811,648.256,597.201,600.064
5,693.848,757.596,811.497,668.557,724.855,791.270,633.983,752.178,856.587,857.058,692.338,646.278,633.555,648.898,597.046,600.314
6,693.250,756.674,810.398,668.909,723.969,791.169,634.292,752.011,856.198,857.413,692.212,646.612,633.723,648.898,597.338,600.882
7,692.411,755.656,811.709,669.239,724.097,790.827,635.056,752.241,856.929,857.924,691.827,646.451,633.924,648.355,598.041,601.100
8,692.567,755.295,812.219,669.457,723.815,790.339,634.792,752.046,857.053,859.309,690.543,645.345,633.839,648.040,598.626,600.645
9,693.778,755.473,809.898,669.371,722.588,789.650,633.097,751.078,855.640,861.557,689.261,643.678,633.725,648.444,598.404,600.031
10,694.830,755.446,806.536,668.675,721.342,788.763,631.309,749.987,853.776,863.712,689.266,642.464,633.941,649.593,597.595,600.260
11,694.836,754.882,805.079,667.507,721.075,787.885,630.778,749.478,853.156,864.711,689.858,642.457,634.333,650.864,596.920,601.455
12,694.042,754.171,805.777,666.713,721.626,787.411,631.432,749.624,853.850,864.500,689.637,643.094,634.788,651.355,596.683,602.512
13,693.431,753.740,806.083,666.711,721.947,787.281,631.872,749.697,854.255,864.073,688.360,643.343,635.560,650.062,596.709,602.260
14,693.452,753.693,804.169,666.986,721.434,787.006,631.297,749.043,853.095,864.227,686.905,642.375,636.306,647.411,596.775,601.031
15,693.765,753.723,801.242,667.124,720.433,786.395,630.024,747.959,851.148,864.557,685.860,640.848,636.694,644.839,596.727,600.203
16,693.702,753.417,799.989,666.792,719.769,785.677,629.028,747.368,850.245,864.295,685.309,640.366,636.759,643.806,596.529,600.149
17,693.158,752.931,801.107,665.969,719.710,784.966,628.920,747.628,850.830,863.612,685.027,641.168,636.604,644.611,596.258,600.201
18,692.608,752.659,802.388,665.368,719.672,784.161,629.040,748.227,851.514,863.278,684.937,641.890,636.432,646.262,595.894,599.949
19,692.380,752.700,801.545,665.550,719.023,783.338,628.726,748.384,850.997,863.621,685.045,641.340,636.224,647.031,595.554,599.550
20,692.120,752.652,799.183,666.177,718.005,782.752,628.352,748.086,849.793,864.242,685.113,640.179,636.015,646.389,595.420,599.535
21,691.495,752.254,798.160,666.043,717.609,782.663,628.712,747.899,849.534,864.375,685.311,639.595,635.620,645.219,595.319,600.031
22,690.599,751.506,799.694,665.010,718.215,782.949,629.762,748.150,850.829,863.669,686.261,640.055,635.178,644.327,594.840,600.925
23,689.792,750.467,801.753,663.911,718.823,783.283,630.444,748.553,852.389,862.838,687.894,640.913,634.681,643.938,594.400,601.661
24,689.438,749.523,801.705,663.684,718.503,783.645,629.955,748.485,852.462,862.832,689.459,641.147,634.484,644.306,594.940,601.604
25,689.582,748.982,800.117,664.089,717.659,784.317,628.875,748.074,851.327,863.557,690.185,640.791,634.595,645.198,596.193,600.740
26,689.579,748.695,800.581,664.385,717.670,785.399,628.764,748.121,850.872,863.848,689.953,640.943,634.625,646.006,597.028,599.954
27,688.821,748.391,804.899,664.191,719.140,786.574,630.689,749.091,852.134,863.073,688.876,642.499,634.182,646.191,596.820,599.918
28,687.556,748.234,810.189,663.766,721.060,787.267,633.484,750.164,853.964,861.912,687.579,644.524,633.453,645.892,596.124,600.442
29,686.688,748.397,812.243,663.488,721.854,787.292,635.062,750.150,854.631,861.665,686.809,645.386,632.897,645.488,595.696,601.003
30,686.643,748.911,810.533,663.144,720.977,786.883,634.823,748.999,853.802,862.502,686.876,644.922,632.794,645.161,595.796,601.717
31,686.840,749.464,808.378,662.498,719.620,786.524,634.094,747.955,852.699,863.407,687.291,644.411,633.000,644.960,595.864,602.496
32,686.874,749.682,808.364,661.687,719.246,786.425,633.922,748.013,852.527,863.414,687.324,644.520,633.382,644.907,595.302,602.792
33,686.946,749.524,809.564,661.002,719.735,786.399,633.962,748.737,853.088,862.716,687.234,644.841,633.692,645.238,594.271,602.257
34,687.491,749.434,809.137,660.603,719.726,786.111,633.507,748.711,853.181,862.257,687.477,644.600,633.901,645.608,593.734,601.391
35,688.467,750.037,806.185,660.545,718.684,785.484,632.635,747.538,852.080,862.282,688.038,643.621,634.061,645.395,594.042,601.252
36,689.350,751.237,803.327,660.519,717.720,784.665,632.283,746.429,850.729,862.221,688.135,642.713,634.046,644.568,594.461,602.306
37,689.710,752.394,803.545,659.909,717.930,783.941,633.241,746.593,850.565,861.429,687.640,642.655,633.696,643.799,594.446,603.527
38,689.529,753.118,806.032,658.744,718.949,783.530,634.936,747.693,851.496,860.330,687.453,643.232,633.509,643.775,594.105,603.707
39,689.182,753.581,807.172,657.847,719.093,783.588,635.592,748.260,851.952,859.795,688.034,643.184,633.998,644.302,594.028,602.910
40,688.865,754.151,804.851,657.763,717.786,783.883,634.396,747.550,850.841,860.364,688.903,642.159,635.084,644.978,594.377,602.031
41,688.155,754.902,801.144,658.127,716.053,784.191,632.661,746.378,849.103,861.545,689.428,641.262,635.830,645.614,594.708,601.925
42,687.248,755.688,799.478,658.005,715.312,784.576,632.260,745.866,848.561,862.196,689.450,641.726,635.941,646.074,594.518,602.612
43,686.741,756.411,800.496,657.215,715.569,785.225,633.443,746.106,849.407,862.065,689.543,643.113,635.723,646.411,593.987,603.339
44,686.908,757.121,801.396,656.543,715.795,785.860,634.389,746.206,849.859,861.912,689.829,643.970,635.696,646.642,593.570,603.429
45,687.514,757.957,799.667,656.593,715.332,786.260,633.609,745.564,848.740,862.370,690.295,643.306,635.943,646.623,593.544,602.635
46,687.712,758.833,796.560,657.462,714.661,786.296,631.786,744.600,847.087,862.889,690.813,641.639,636.176,646.522,593.546,601.267
47,687.113,759.369,795.260,658.292,714.653,786.055,630.776,744.161,846.662,862.634,691.104,640.589,636.010,646.429,593.382,599.905
48,686.007,759.425,796.747,658.218,715.284,785.779,631.326,744.504,847.510,861.752,690.896,640.717,635.579,646.392,593.082,599.270
49,685.049,759.485,798.573,657.476,715.774,785.665,632.552,745.053,848.145,861.102,690.570,641.067,635.245,646.682,592.879,599.725
50,684.947,759.824,798.127,656.976,715.503,785.513,633.170,744.971,847.436,861.003,690.685,640.301,635.048,647.108,592.843,600.913
51,685.510,760.387,795.823,657.017,714.872,785.084,632.837,744.417,846.040,861.110,691.016,638.733,634.883,647.358,592.876,602.255
52,685.910,760.804,794.680,657.093,714.752,784.461,632.349,744.233,845.535,860.805,690.894,637.977,634.591,647.577,592.887,603.224
53,685.355,761.082,796.276,656.706,715.365,783.963,632.556,744.885,846.380,860.041,690.171,638.680,634.268,647.809,593.142,603.689
54,684.214,761.469,798.821,656.242,715.952,783.855,633.493,745.918,847.445,859.529,689.671,639.899,634.646,648.049,593.525,603.640
55,683.391,761.890,800.057,655.837,715.713,784.228,634.010,746.584,847.653,859.923,690.252,640.736,636.082,648.198,593.724,603.324
56,683.350,761.949,800.576,655.376,714.987,785.086,633.991,746.611,847.468,860.566,691.356,641.161,637.719,648.327,593.591,603.085
57,683.617,761.426,802.640,654.545,714.830,786.263,634.720,746.608,848.198,860.017,691.813,641.917,638.279,648.373,593.418,603.185
58,683.550,760.589,806.612,653.404,715.742,787.522,636.917,746.980,850.017,857.993,691.126,643.297,637.505,648.111,593.351,603.486
59,683.427,759.910,809.928,652.411,716.918,788.420,639.160,747.407,851.607,856.082,689.730,644.384,636.535,647.389,593.407,603.997
60,683.851,759.785,809.875,652.062,717.149,788.623,639.649,747.175,851.736,855.951,688.194,644.577,636.239,646.488,593.515,604.501
61,684.572,760.295,806.880,652.316,716.179,788.196,638.344,746.371,850.735,857.356,686.766,644.409,636.834,645.799,593.569,604.936
62,684.975,760.795,804.263,652.380,715.079,787.887,637.231,745.816,850.051,858.641,686.072,645.002,637.589,645.691,593.234,605.031
63,684.606,760.717,804.479,651.828,714.990,788.126,637.517,745.965,850.590,858.929,686.505,646.464,638.004,646.077,592.595,604.771
64,684.146,759.996,806.246,651.151,715.801,788.532,638.354,746.436,851.560,858.795,687.865,647.582,638.241,646.608,591.892,604.717
65,684.199,759.404,806.161,651.242,716.311,788.567,637.884,746.462,851.402,859.240,689.543,647.356,638.402,646.466,591.626,604.861
66,684.685,759.454,802.977,652.251,715.611,788.121,635.986,745.904,849.747,860.329,691.056,645.936,638.317,646.043,591.757,604.920
67,685.105,759.950,799.337,653.562,714.353,787.542,634.613,745.456,848.008,861.044,692.043,644.510,637.614,646.049,591.765,604.920
68,685.161,760.262,798.549,654.486,713.746,787.235,635.259,745.824,847.704,860.594,692.241,644.101,636.839,646.562,591.114,605.103
69,684.874,760.211,800.213,654.842,713.985,787.310,636.896,746.753,848.555,859.373,691.878,644.561,636.537,646.858,590.328,605.622
70,684.796,760.194,801.012,654.804,714.206,787.279,637.472,747.272,848.800,858.628,691.349,644.720,636.455,646.593,590.178,606.105
71,685.266,760.198,798.817,654.737,713.623,786.890,636.339,746.749,847.583,858.920,691.090,643.699,636.356,645.802,590.654,606.450
72,685.971,759.849,795.545,654.868,712.588,786.368,634.615,745.675,845.998,859.703,691.338,641.929,636.298,645.114,591.109,606.630
73,686.195,759.012,794.419,655.134,712.146,786.074,633.873,745.158,845.417,859.847,691.734,640.669,636.329,645.009,591.121,606.432
74,686.068,758.289,795.786,655.352,712.628,786.060,634.387,745.544,845.652,859.095,691.910,640.457,636.004,645.515,590.766,605.979
75,686.023,758.018,796.812,655.486,713.220,786.163,634.832,745.884,845.412,858.332,691.725,640.920,635.161,645.611,590.309,605.766
76,686.190,757.956,795.489,655.766,713.111,786.202,634.076,745.321,844.000,858.373,691.660,641.228,634.302,645.093,590.028,606.028
77,686.131,757.882,793.165,656.292,712.553,786.087,632.641,744.239,842.410,859.145,691.770,641.598,634.140,644.420,589.882,606.568
78,685.490,757.923,792.949,656.809,712.567,785.881,632.182,743.693,842.182,859.738,691.791,642.708,634.755,644.262,589.918,606.913
79,684.510,758.353,795.550,657.079,713.328,785.775,633.245,744.041,843.398,859.552,691.297,644.014,635.642,644.657,590.234,606.905
80,683.757,759.074,798.505,657.400,713.957,785.767,634.632,744.522,844.605,859.008,690.642,644.145,636.472,644.778,590.838,606.553
81,683.609,759.711,798.889,658.041,713.623,785.844,634.922,744.299,844.664,858.964,690.527,643.005,637.359,644.235,591.464,606.147
82,683.847,760.002,796.875,658.529,712.766,785.958,633.977,743.461,844.057,859.508,690.890,642.009,638.331,643.170,591.704,605.972
83,683.726,760.027,795.468,658.242,712.635,786.212,633.139,742.999,844.054,859.928,691.050,641.880,638.771,642.627,591.397,605.974
84,683.035,760.058,796.561,657.091,713.670,786.706,633.606,743.481,845.161,859.799,690.914,642.124,638.268,643.077,590.915,605.730
85,682.281,760.333,799.150,655.830,714.936,787.278,635.401,744.319,846.608,859.428,691.167,642.149,637.134,643.923,591.005,604.877
86,682.145,760.607,801.219,655.333,715.475,787.578,637.295,744.674,847.414,859.239,692.025,642.182,635.811,644.454,591.693,603.656
87,682.495,760.617,802.570,656.048,715.383,787.518,638.526,744.620,847.651,859.175,692.592,642.821,634.568,644.565,592.376,602.802
88,682.724,760.431,804.620,657.234,715.713,787.277,639.483,744.776,848.092,858.684,692.511,644.154,633.516,644.364,592.475,602.802
89,682.857,760.115,807.737,658.170,717.046,787.018,640.781,745.432,848.878,857.531,692.108,645.899,632.989,644.086,592.247,603.895
90,683.394,759.927,810.134,658.746,718.457,786.925,641.778,746.004,849.115,856.370,691.959,647.315,633.134,644.213,592.159,605.252
91,684.483,760.027,809.573,659.376,718.626,787.040,641.351,745.867,848.026,856.180,692.092,647.646,633.637,644.648,592.149,606.080
92,685.602,760.230,806.167,660.045,717.477,787.132,639.712,745.141,846.235,856.870,692.056,646.607,633.845,644.944,591.941,606.028
