 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
1,378.473,373.906,390.450,378.276,366.201,381.770,376.909,364.949,370.617,364.505,364.131,372.933,365.684,375.622,365.155
2,377.206,372.534,389.968,377.856,369.795,381.446,376.160,366.451,370.187,365.368,365.304,374.669,366.230,376.165,366.429
3,375.603,370.770,390.135,377.202,372.443,381.661,374.782,367.552,370.417,365.865,365.614,375.968,366.657,376.132,368.380
4,374.661,371.644,390.138,375.588,371.470,382.471,373.860,367.040,371.767,366.241,365.636,377.025,366.970,375.599,369.853
5,373.632,373.618,389.496,374.795,369.890,382.347,373.955,366.400,372.319,366.441,365.969,379.053,366.630,375.761,370.521
6,373.556,374.225,388.937,375.169,369.799,381.411,374.720,366.424,371.706,366.670,365.636,380.775,365.393,375.589,370.909
7,374.209,374.534,389.258,375.864,370.064,381.155,375.798,366.013,370.656,366.138,363.497,381.246,364.975,374.739,369.291
8,375.581,374.911,389.693,376.061,370.174,381.407,375.453,365.973,369.181,364.773,361.784,381.261,366.247,374.467,367.634
9,376.383,372.743,389.368,375.432,370.224,381.648,375.062,366.931,368.003,363.824,362.625,380.792,367.079,374.972,367.468
10,375.079,369.843,389.042,374.902,370.726,381.670,374.547,367.120,368.558,364.403,364.432,379.954,367.205,374.972,367.510
11,372.603,369.141,389.101,375.843,372.274,381.544,374.119,366.408,369.491,365.662,364.866,380.243,368.269,373.662,366.967
12,371.477,369.586,389.185,377.690,373.023,380.783,375.136,366.019,370.540,366.616,364.017,380.394,369.499,372.764,367.094
13,372.238,370.544,389.518,377.901,373.009,379.875,375.440,366.035,371.623,367.035,363.628,379.342,369.486,374.013,368.643
14,372.469,372.272,389.584,377.151,373.562,379.951,373.325,367.371,371.887,366.130,364.597,380.077,367.605,375.305,369.504
15,373.285,373.126,389.363,376.324,372.521,380.538,371.745,368.941,371.129,364.354,365.520,381.313,366.198,374.332,369.573
16,375.361,373.471,389.083,375.276,370.945,380.980,373.210,368.555,370.025,364.730,365.656,380.908,366.886,373.871,369.548
17,376.520,373.403,388.729,373.763,370.653,381.836,375.753,366.877,369.770,366.600,364.969,380.331,367.909,375.365,369.269
18,376.412,372.120,388.537,373.386,371.429,383.337,377.350,365.843,370.672,368.178,364.009,380.046,368.380,375.378,368.654
19,374.650,369.801,388.176,374.594,371.361,385.090,377.938,366.040,371.709,368.654,363.321,380.194,368.101,374.000,368.285
20,372.895,370.037,387.810,375.565,369.708,386.481,377.514,367.637,371.862,368.657,362.418,379.958,366.326,373.203,369.463
21,372.953,371.937,387.600,375.586,368.653,386.961,376.741,368.128,370.623,368.146,362.534,379.211,365.289,373.467,370.612
22,373.036,372.749,387.315,375.118,368.137,387.048,375.687,366.915,370.172,366.719,362.778,379.190,366.363,374.264,369.726
23,372.661,372.649,387.191,374.530,367.452,386.783,375.416,365.456,369.696,365.659,361.003,379.761,367.743,374.797,368.643
24,371.603,372.382,387.337,374.344,366.913,386.464,375.823,365.101,369.988,366.065,359.438,380.975,368.437,373.987,368.712
25,370.805,373.885,387.577,374.197,366.032,386.488,375.860,365.293,371.040,367.316,360.736,381.585,367.867,372.629,369.385
26,372.357,374.654,387.735,374.444,365.954,386.706,375.395,366.200,370.077,367.786,361.983,379.813,366.242,371.599,370.571
27,374.632,374.079,387.625,375.075,367.548,387.035,374.251,368.176,368.000,368.119,362.432,378.201,365.138,370.650,371.922
28,375.354,373.257,387.364,375.182,368.648,387.259,373.535,368.803,367.383,368.730,363.395,377.923,365.277,370.140,371.089
29,374.715,372.330,387.340,374.582,369.840,387.209,373.346,367.955,368.046,369.024,364.114,377.849,365.533,370.464,368.526
30,373.473,372.236,387.675,373.675,370.950,386.970,373.230,367.467,369.117,367.332,364.287,378.489,366.207,371.053,365.994
31,371.910,372.665,388.008,372.870,370.772,386.482,373.807,367.229,369.641,365.276,363.602,380.102,367.484,371.726,365.006
32,371.617,372.869,388.222,373.081,371.005,386.426,374.329,366.499,369.712,365.773,362.597,380.849,367.235,371.937,365.573
33,373.455,372.147,388.106,374.119,371.950,386.699,373.807,365.421,369.690,368.492,362.466,379.134,365.990,371.561,365.906
34,373.632,371.194,387.766,374.962,371.151,386.666,373.551,364.315,370.380,369.519,363.673,376.493,365.598,371.292,367.302
35,372.632,370.764,387.650,375.096,369.219,386.867,373.481,363.093,371.997,368.043,364.909,376.056,366.736,370.901,369.144
36,372.516,372.461,387.529,374.652,369.251,386.647,373.992,362.957,372.773,366.800,365.148,376.915,368.096,370.365,369.753
37,372.469,375.764,387.707,374.179,370.009,386.064,375.193,364.544,371.724,366.973,364.784,376.373,368.074,371.104,369.269
38,373.809,376.576,387.911,374.253,369.694,385.833,375.222,365.939,371.028,366.273,365.611,375.377,366.299,372.997,368.784
39,375.639,375.429,387.699,374.860,369.037,385.798,374.654,366.824,370.294,365.176,367.261,375.285,365.010,374.439,368.676
40,375.773,374.838,387.402,375.353,369.032,386.357,374.802,367.397,369.417,365.227,368.469,375.504,364.291,374.419,367.928
41,375.213,374.885,387.248,375.682,369.635,387.190,374.959,367.568,369.460,364.862,368.693,375.310,364.756,373.279,367.781
42,374.043,375.304,387.214,374.951,369.146,387.357,375.132,368.029,369.718,362.832,367.793,375.764,367.284,372.739,369.241
43,374.155,375.346,387.247,373.850,367.183,386.760,375.737,366.893,369.653,362.092,367.085,376.933,369.017,373.530,369.848
