 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
35,269.871,277.400,271.613,271.103,280.332,260.995,255.583,256.926,262.556,248.575,251.082,259.305,377.491,260.122,250.397,257.330,254.264,251.864,256.432,256.063,252.785,257.058
36,270.424,276.912,271.415,270.991,280.330,259.948,255.650,256.461,262.577,247.833,250.771,259.673,376.248,260.074,250.683,257.746,254.687,251.803,256.646,255.458,252.557,256.988
37,271.115,276.700,271.132,270.927,280.534,259.232,255.281,256.430,261.949,247.624,250.653,260.099,375.336,259.365,250.871,258.442,255.103,251.643,256.236,255.349,252.775,257.129
38,271.429,277.142,271.240,270.915,280.682,259.284,254.608,256.785,261.314,248.247,250.902,260.184,374.807,258.691,250.920,259.178,255.133,251.242,255.564,255.646,253.316,257.112
39,271.230,277.756,271.909,270.526,280.487,260.000,253.984,257.023,261.075,249.140,251.147,260.049,374.283,258.131,251.067,259.622,254.949,250.569,255.086,256.123,253.783,256.576
40,270.691,277.830,272.422,269.688,280.147,260.563,253.756,256.941,260.884,249.989,251.159,259.915,373.392,257.538,251.236,259.605,254.806,250.121,254.789,256.694,253.988,255.890
41,270.240,277.240,272.233,268.949,279.829,260.320,253.903,256.625,260.461,250.263,250.878,260.260,372.120,257.054,251.302,259.053,254.808,250.139,254.621,257.222,254.052,255.825
42,269.991,276.461,271.470,268.799,279.548,259.426,254.196,256.105,260.068,250.102,250.673,260.740,370.758,257.088,250.958,258.241,254.783,250.604,254.814,257.648,254.165,256.466
43,269.724,275.686,270.551,268.821,279.238,258.672,254.212,255.531,260.123,249.656,250.902,260.843,369.595,257.394,250.430,257.539,254.495,251.201,255.425,257.923,254.547,256.968
44,269.576,275.057,270.063,268.359,278.939,258.355,253.991,255.070,260.266,249.188,251.494,260.318,368.751,257.614,250.038,257.042,253.771,251.716,255.732,258.077,254.642,256.735
45,269.668,274.569,270.070,267.462,278.713,258.448,253.742,254.871,260.328,248.941,252.041,259.614,367.933,257.560,250.002,256.693,252.876,252.056,255.246,258.046,254.169,255.932
46,270.000,274.247,270.352,266.543,278.495,258.803,253.447,254.668,260.225,248.839,252.355,259.368,367.216,257.528,250.420,256.015,252.152,252.444,254.325,258.024,253.382,255.229
47,270.166,274.029,270.641,265.842,278.343,259.284,252.993,254.238,259.881,248.919,252.392,259.901,366.838,257.649,250.962,254.918,251.944,253.097,253.436,258.120,252.922,254.916
48,270.097,273.971,270.624,265.543,278.295,259.746,252.541,253.699,259.686,249.215,252.180,260.870,366.852,257.886,251.359,253.918,252.341,253.673,252.704,258.060,252.827,254.960
49,269.871,274.044,270.150,265.799,278.355,259.891,252.318,253.352,259.764,249.511,251.771,261.668,366.630,258.165,251.367,253.552,253.208,253.751,252.182,257.364,252.797,254.992
50,269.272,274.170,269.380,266.470,278.146,259.530,252.205,253.258,260.044,249.489,251.065,261.807,365.796,258.371,250.952,253.922,254.026,253.108,251.921,256.357,252.577,254.871
51,267.959,274.049,268.620,266.970,277.473,258.795,252.090,253.473,260.294,249.204,250.257,261.045,364.545,258.271,250.357,254.461,254.203,252.186,251.814,255.516,252.247,254.817
52,266.438,273.619,267.997,266.803,276.689,258.249,251.984,253.922,260.215,249.032,249.490,259.735,363.468,257.990,249.764,254.894,253.820,251.418,251.854,255.043,252.070,255.205
53,265.558,273.245,267.523,266.316,276.351,258.451,251.917,254.332,259.826,249.194,248.820,258.722,362.775,257.749,249.245,255.214,253.264,250.734,251.886,254.752,252.050,255.920
54,265.382,273.182,267.237,266.376,276.394,258.984,251.855,255.016,258.983,249.511,248.294,258.489,362.285,257.837,249.019,255.520,253.016,249.874,252.071,254.793,252.245,256.404
55,265.101,273.331,267.289,267.026,276.497,259.167,251.797,255.898,257.997,249.957,247.861,258.740,361.523,258.034,249.300,255.609,252.939,249.054,252.625,255.022,252.610,256.339
56,264.576,273.477,267.645,267.175,276.578,258.806,251.876,256.438,257.471,250.258,247.820,258.870,360.307,258.193,249.806,255.338,252.998,248.758,253.189,255.354,252.889,255.916
57,264.318,273.562,267.875,266.278,276.499,258.139,252.152,256.273,257.590,249.979,247.967,258.368,359.073,258.307,250.127,254.953,252.972,249.171,253.389,255.636,252.720,255.402
58,264.982,273.530,267.711,265.047,276.213,257.519,252.509,255.715,257.904,249.091,248.139,257.332,358.127,258.255,250.118,255.044,252.731,249.877,253.207,255.747,252.215,255.173
59,266.124,273.191,267.289,264.342,275.676,257.265,252.703,255.102,257.925,248.597,248.355,256.413,357.414,258.084,250.010,255.393,252.252,250.240,253.000,255.841,251.998,255.301
