 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
59,311.280,321.819,307.848,302.255,318.336,315.080,307.824,323.649,319.292,327.573,308.920,315.392,313.228
60,311.102,321.950,308.157,302.638,318.486,315.040,307.816,323.810,318.834,327.692,308.719,315.709,313.576
61,311.040,322.243,308.300,302.635,318.701,315.033,307.861,323.688,318.520,327.790,308.314,315.778,313.313
62,311.352,322.724,308.215,302.594,319.007,315.071,307.809,323.427,318.395,327.801,308.007,315.466,312.784
63,311.742,323.181,307.955,302.752,319.161,315.132,307.700,323.083,318.330,327.930,307.986,314.831,312.329
64,311.742,323.382,308.016,302.959,319.273,315.145,307.596,322.740,318.198,328.210,308.171,314.331,311.962
65,311.523,323.189,308.340,302.979,319.471,315.117,307.497,322.486,318.021,328.408,308.419,314.209,311.564
66,311.394,322.877,308.563,302.904,319.972,315.099,307.397,322.407,317.860,328.364,308.578,314.241,311.279
67,311.208,322.753,308.353,302.837,320.452,315.101,307.348,322.388,317.836,328.059,308.741,314.307,311.226
68,310.877,322.748,308.014,302.690,320.426,314.990,307.346,322.264,317.884,327.657,308.981,314.510,311.170
69,310.506,322.662,307.814,302.362,319.841,314.814,307.420,321.961,317.893,327.401,309.241,314.723,311.087
70,310.415,322.402,307.767,301.897,319.434,314.636,307.464,321.608,317.874,327.408,309.460,314.865,311.063
71,310.669,322.191,307.748,301.372,319.398,314.521,307.433,321.561,317.920,327.486,309.516,314.870,311.196
72,310.945,322.030,307.571,301.041,319.520,314.521,307.421,321.804,318.031,327.499,309.295,314.916,311.188
73,311.097,321.928,307.270,301.119,319.546,314.666,307.408,322.074,318.134,327.424,308.947,314.865,310.972
74,311.273,321.720,307.101,301.546,319.593,314.737,307.424,322.194,318.028,327.157,308.703,314.550,310.667
75,311.714,321.451,307.446,301.897,319.557,314.595,307.395,322.165,317.729,326.835,308.751,314.013,310.685
76,312.205,320.944,307.997,301.853,319.323,314.336,307.333,322.288,317.464,326.715,308.977,313.504,310.873
77,312.326,320.461,308.271,301.589,319.060,314.072,307.246,322.828,317.335,326.786,309.207,313.362,311.224
78,311.966,320.239,308.297,301.333,318.944,313.768,307.277,323.503,317.354,326.923,309.282,313.508,311.440
79,311.394,320.306,308.291,301.220,318.892,313.387,307.348,323.736,317.405,326.868,309.178,313.480,311.396
80,311.072,320.588,308.302,301.193,318.815,312.976,307.524,323.320,317.397,326.587,308.792,313.205,311.238
81,311.125,320.592,308.058,301.211,318.843,312.678,307.821,322.578,317.436,326.176,308.380,312.900,311.008
82,311.197,320.326,307.533,301.149,319.075,312.536,308.028,321.892,317.501,325.830,308.164,312.664,310.790
83,311.129,320.032,306.965,301.011,319.424,312.461,307.941,321.494,317.664,325.750,308.182,312.491,310.590
