 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
83,223.073,242.779,269.082,216.609,227.905,222.560,208.037,221.793,227.476
84,223.118,243.013,268.692,216.314,228.023,222.528,208.207,222.043,227.384
85,223.507,243.382,268.229,216.042,228.229,222.050,208.904,222.591,227.325
86,224.011,243.675,268.128,215.822,228.419,221.656,209.802,223.101,227.318
87,224.502,243.585,268.448,215.810,228.665,221.826,210.370,223.379,227.407
88,224.789,243.240,268.642,215.686,229.064,222.550,210.459,223.431,227.474
89,224.784,243.047,268.030,215.618,229.551,223.294,210.377,223.373,227.474
90,224.565,243.170,266.840,215.504,230.127,224.142,210.352,223.383,227.310
91,224.146,243.392,265.785,215.504,230.728,225.069,210.394,223.686,227.349
92,223.573,243.650,265.567,215.768,231.306,225.867,210.429,224.259,227.545
93,222.800,243.940,265.939,216.116,231.665,226.257,210.259,224.785,227.751
94,222.007,244.106,266.378,216.167,231.793,226.440,209.811,225.127,227.913
95,221.565,244.211,266.456,215.907,232.030,226.605,209.391,225.427,228.189
96,221.560,244.288,266.256,215.739,232.490,226.748,209.159,225.761,228.493
97,222.084,244.310,265.884,215.788,232.952,226.528,209.077,226.076,228.727
98,222.746,244.276,265.582,216.031,233.016,225.945,209.350,226.291,228.858
99,223.123,243.985,265.419,216.283,232.679,224.757,209.902,226.344,228.806
100,222.998,243.564,265.459,216.510,232.242,223.679,210.450,226.231,228.516
101,222.724,243.379,265.639,216.762,232.195,223.339,210.708,226.226,228.318
102,222.567,243.391,266.026,216.975,232.560,223.917,210.580,226.214,228.275
103,222.539,243.248,266.425,216.960,232.776,224.826,210.212,225.936,228.215
104,222.666,242.789,266.697,216.720,232.366,225.523,209.947,225.367,227.922
105,222.746,242.314,266.787,216.312,231.343,225.908,209.898,224.833,227.528
106,222.757,242.227,266.771,215.958,230.302,225.775,209.792,224.606,227.445
107,222.765,242.299,266.727,215.592,229.715,225.083,209.415,224.606,227.760
108,222.955,242.466,266.854,215.252,229.591,224.353,208.879,224.615,228.092
109,223.091,242.609,267.280,214.952,229.577,223.835,208.462,224.569,228.076
110,222.836,242.605,267.973,214.666,229.269,223.216,208.485,224.440,227.803
