 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
54,309.665,292.989,285.117,286.010,286.876,292.832,295.447,321.301,304.187,293.526,313.720,299.926,298.332,308.834
55,309.368,293.144,285.513,285.639,286.663,293.301,295.825,321.451,304.695,294.589,313.480,300.053,299.067,309.048
56,309.051,292.963,285.405,285.205,286.475,293.864,296.424,321.495,305.173,295.286,313.291,300.184,299.644,308.901
57,308.711,292.625,284.851,284.801,286.147,294.374,296.868,321.555,305.514,295.734,313.151,300.251,299.858,308.402
58,308.258,292.131,284.448,284.833,285.677,294.592,297.098,321.493,305.840,296.332,313.020,300.248,299.784,307.661
59,307.622,291.468,284.518,285.235,285.291,294.728,297.113,321.289,306.175,296.984,312.883,300.008,299.681,307.025
60,307.034,290.773,284.801,285.778,285.314,294.953,296.981,321.023,306.404,297.151,312.823,299.432,299.647,306.806
61,306.526,290.595,285.036,285.808,285.888,295.018,296.983,320.778,306.443,296.876,312.803,298.872,299.566,307.046
62,306.034,291.098,285.041,285.242,286.597,294.825,297.109,320.384,306.263,296.518,312.792,298.585,299.374,307.381
63,305.609,291.623,284.717,284.442,286.671,294.636,297.311,319.790,305.967,296.321,312.523,298.573,299.307,307.328
64,305.255,291.688,284.125,283.518,286.029,294.435,297.543,319.125,305.561,295.995,311.902,298.763,299.304,306.901
65,304.761,291.270,283.552,282.669,285.130,294.202,297.704,318.654,305.030,295.547,311.017,298.915,299.230,306.628
66,304.028,290.708,283.089,282.111,284.340,293.916,297.589,318.493,304.623,295.310,310.243,298.675,299.242,306.908
67,303.377,290.183,282.710,282.053,283.594,294.031,297.198,318.389,304.524,295.294,309.896,297.802,299.389,307.487
68,302.890,289.510,282.336,282.056,283.112,294.654,296.889,318.120,304.648,295.339,310.015,296.713,299.632,307.612
69,302.502,288.767,282.012,281.768,283.115,295.463,297.347,317.766,304.811,295.327,310.249,295.950,299.652,306.954
70,302.352,288.268,281.930,281.394,283.582,295.885,298.376,317.327,304.783,295.341,310.397,295.754,299.226,306.014
71,302.439,287.902,281.820,281.376,284.055,295.584,298.969,316.821,304.470,295.462,310.593,295.763,298.319,305.464
72,302.442,287.662,281.391,281.578,284.135,294.846,298.608,316.305,303.785,295.462,310.952,295.829,297.097,305.275
73,302.342,287.678,280.691,281.558,283.839,294.076,297.597,315.781,303.153,295.157,311.346,295.961,295.962,304.857
74,302.304,287.915,280.173,281.275,283.599,293.754,296.670,315.213,302.880,294.734,311.530,295.857,295.319,304.259
75,302.337,288.046,280.257,280.755,283.222,293.932,296.081,314.699,302.915,294.239,311.494,295.246,295.196,303.788
76,302.117,287.802,280.748,280.227,282.720,294.291,295.743,314.428,302.833,293.754,311.510,294.307,295.151,303.522
77,301.489,287.209,281.264,280.025,282.412,294.330,295.526,314.437,302.550,293.434,311.613,293.355,294.773,303.194
78,300.662,286.586,281.556,280.164,282.363,293.869,295.438,314.460,302.038,293.146,311.739,292.473,294.130,302.628
79,299.940,286.035,281.566,280.396,282.357,292.890,295.530,314.306,301.347,292.327,311.678,291.619,293.703,301.965
80,299.301,285.540,281.374,280.508,282.277,291.908,295.476,313.864,300.877,291.046,311.276,291.063,293.608,301.478
81,298.600,285.170,281.259,280.682,281.988,291.152,294.896,313.251,300.679,289.832,310.626,291.063,293.396,301.164
82,297.940,285.203,281.134,280.982,281.481,290.880,293.875,312.632,300.597,289.026,310.025,291.266,292.733,301.088
83,297.275,285.357,280.799,281.131,280.988,291.005,292.889,312.314,300.263,288.584,309.652,291.122,291.823,301.229
84,296.685,285.320,280.134,280.937,280.744,291.348,292.384,312.235,299.462,288.303,309.378,290.329,291.337,301.222
85,296.409,285.144,279.127,280.508,280.611,291.558,292.161,312.138,298.671,288.102,309.186,289.310,291.510,300.794
86,296.381,285.105,278.120,279.982,280.501,291.270,291.900,311.866,298.261,287.962,308.989,288.708,291.918,300.171
87,296.194,284.996,277.645,279.540,280.311,290.479,291.614,311.555,298.347,287.681,308.701,288.810,292.159,299.751
88,295.796,284.603,277.664,279.096,279.957,289.599,291.511,311.285,298.645,287.398,308.400,289.264,292.114,299.746
89,295.489,283.702,277.854,278.833,279.513,289.071,291.403,311.001,298.808,287.266,308.346,289.619,291.774,300.155
90,295.462,282.621,278.005,278.886,279.026,288.906,291.013,310.590,298.814,287.188,308.529,289.715,291.118,300.658
91,295.338,281.586,278.048,279.030,278.631,288.620,290.568,310.029,298.558,286.876,308.525,289.607,290.460,300.744
92,294.969,280.865,278.165,278.879,278.256,288.079,290.478,309.365,298.145,286.432,308.067,289.195,290.174,300.247
93,294.487,280.508,278.393,278.265,277.761,287.783,290.818,308.963,297.687,286.153,307.382,288.417,290.270,299.617
94,294.082,280.312,278.859,277.540,277.329,287.602,291.301,308.956,297.436,286.053,306.714,287.538,290.308,299.363
95,293.538,280.227,279.187,277.187,277.403,287.105,291.555,309.048,297.371,285.903,306.184,286.897,289.971,299.430
96,292.682,280.288,279.187,277.258,277.758,286.563,291.288,309.044,297.371,285.717,305.778,286.532,289.425,299.476
97,291.840,280.497,279.077,277.523,277.787,286.521,290.825,309.004,297.458,285.630,305.565,286.088,288.900,299.166
98,291.378,280.477,279.122,277.447,277.599,286.793,290.651,308.881,297.575,285.724,305.466,285.331,288.479,298.587
99,291.414,280.285,279.434,277.056,277.790,286.686,290.931,308.414,297.538,285.845,305.379,284.582,288.055,298.051
100,291.599,280.218,279.633,276.705,278.366,286.010,291.198,307.734,297.354,285.812,305.081,284.172,287.495,297.654
101,291.695,280.294,279.396,276.674,278.697,285.513,290.808,307.112,296.989,285.593,304.605,284.156,286.949,297.490
102,291.562,280.214,278.683,276.848,278.383,285.783,289.935,306.619,296.448,285.219,304.173,284.243,286.638,297.487
103,291.310,279.848,277.981,277.172,277.634,286.584,288.956,306.200,295.835,284.664,303.996,284.290,286.563,297.494
104,291.097,279.242,277.729,277.442,276.968,287.335,288.288,305.996,295.346,284.046,304.021,284.276,286.505,297.473
105,290.893,278.780,278.079,277.636,276.507,287.610,287.942,306.184,295.242,283.414,304.243,284.121,286.378,297.388
106,290.623,278.597,278.432,277.540,276.219,287.194,287.793,306.577,295.480,282.659,304.463,283.976,286.092,297.305
107,290.421,278.619,278.475,277.098,276.029,286.165,287.681,306.738,295.714,281.783,304.565,283.915,285.677,297.058
108,290.427,278.627,278.360,276.495,276.245,285.042,287.789,306.381,295.646,281.153,304.407,283.725,285.045,296.949
109,290.511,278.641,278.233,276.245,276.888,284.275,288.019,305.788,295.280,280.801,303.841,283.329,284.285,297.120
110,290.378,278.869,278.161,276.705,277.605,283.830,288.138,305.346,294.920,280.635,303.007,282.891,283.670,297.552
111,289.978,279.011,277.993,277.497,278.012,283.495,288.046,304.990,294.786,280.664,302.187,282.503,283.416,297.952
112,289.446,278.656,277.743,277.780,278.135,283.099,287.762,304.589,294.706,281.007,301.554,282.139,283.510,297.979
113,288.920,277.882,277.403,277.106,277.752,282.696,287.230,304.186,294.376,281.383,301.118,281.773,283.693,297.383
114,288.554,277.105,277.082,275.927,276.735,282.304,286.489,304.082,293.829,281.449,300.778,281.450,283.855,296.557
115,288.542,276.462,276.947,275.048,275.582,282.013,285.841,304.382,293.607,281.203,300.555,281.334,283.812,295.961
116,288.612,276.179,276.827,274.992,275.014,282.037,285.814,304.755,293.882,280.889,300.539,281.492,283.637,295.691
117,288.442,276.564,276.547,275.364,275.121,282.233,286.305,304.951,294.049,280.783,300.701,281.751,283.416,295.393
118,288.093,277.172,276.321,275.730,275.556,282.277,286.555,304.901,293.885,280.858,300.779,281.885,283.244,295.109
119,287.679,277.510,276.367,275.654,276.078,281.856,286.048,304.595,293.425,280.845,300.667,281.663,282.905,295.053
120,287.329,277.320,276.612,275.346,276.401,281.202,285.344,304.093,293.173,280.635,300.349,281.311,282.449,295.182
121,287.049,276.828,276.736,275.134,276.481,280.770,284.975,303.469,293.170,280.341,299.796,280.841,282.164,295.238
122,286.794,276.200,276.626,275.096,276.285,280.699,284.741,302.986,293.274,280.170,299.145,280.287,282.318,295.152
123,286.493,275.649,276.475,275.076,276.121,280.971,284.213,302.759,293.357,279.940,298.525,279.577,282.688,294.998
124,286.170,275.301,276.448,275.098,275.902,281.126,283.305,302.659,293.380,279.403,298.090,278.844,282.825,294.841
125,285.973,275.022,276.501,275.273,275.646,280.982,282.549,302.515,293.248,278.651,297.805,278.355,282.673,294.406
