 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
2507,208.404,251.000,241.868,217.951,203.511,208.114,198.456,213.114,227.944,218.631,191.788,213.607,217.183,215.041,230.284
2508,207.969,251.535,242.451,217.943,202.886,208.123,198.645,213.398,228.225,218.690,191.715,214.727,217.027,215.126,229.896
2509,208.191,252.140,243.069,218.471,202.672,208.307,198.433,213.629,228.701,219.076,191.378,215.714,217.047,215.369,230.156
2510,208.867,252.798,243.757,219.102,202.939,208.889,198.055,214.061,229.231,219.626,190.967,216.189,217.388,215.473,231.028
2511,209.515,253.359,244.056,219.619,203.122,209.475,197.710,214.534,229.655,219.978,190.684,216.295,217.826,215.090,231.853
2512,209.836,253.537,243.625,220.020,203.236,209.411,197.645,214.721,229.909,219.704,190.466,216.148,218.105,214.362,232.336
2513,209.571,253.530,242.632,220.270,203.498,208.636,197.687,214.459,229.898,219.126,190.191,215.684,218.192,213.728,232.180
2514,208.963,253.623,241.632,220.451,203.860,207.813,198.124,214.041,229.639,218.653,189.883,215.178,218.196,213.840,231.498
2515,208.414,253.933,241.083,220.492,204.039,207.396,198.641,213.684,229.203,218.276,189.860,214.894,218.256,214.568,230.754
2516,208.275,254.142,240.993,220.402,203.926,207.513,198.797,213.415,228.768,217.808,190.288,214.842,218.394,215.461,230.659
2517,208.398,254.036,240.847,219.939,203.834,208.063,198.594,213.257,228.541,217.340,190.865,214.626,218.465,216.085,231.379
2518,208.571,253.429,240.417,218.951,204.026,208.744,198.484,213.044,228.740,217.108,191.326,214.268,218.416,216.308,232.327
2519,208.809,252.504,239.958,217.967,204.214,208.962,198.700,212.713,229.229,217.148,191.407,214.175,218.234,215.995,232.953
2520,209.188,251.773,240.042,217.459,203.917,208.665,198.714,212.321,229.575,217.278,191.083,214.118,217.971,215.417,232.915
2521,209.617,251.359,240.979,217.730,203.288,208.402,198.313,212.009,229.476,217.397,190.818,214.007,217.688,214.903,232.640
2522,209.809,251.057,241.910,218.344,202.808,208.519,198.009,211.932,229.024,217.591,191.144,213.811,217.503,214.466,232.630
2523,209.460,250.731,241.993,218.566,202.878,208.880,198.327,212.142,228.539,217.751,191.970,213.743,217.430,214.063,232.626
2524,208.747,250.297,241.431,218.209,203.376,209.225,199.171,212.454,228.056,217.845,192.712,213.605,217.105,213.978,232.213
2525,208.086,249.695,241.035,217.520,203.843,209.443,199.885,212.698,227.558,218.037,192.789,213.412,216.443,214.316,231.493
2526,207.574,249.085,240.979,217.197,203.943,209.320,199.931,212.893,227.188,218.387,192.194,213.202,215.759,214.660,231.246
2527,207.278,249.016,240.993,217.246,203.961,208.797,199.456,213.026,227.004,218.603,191.413,213.105,215.410,214.694,231.659
2528,207.238,249.207,240.972,217.209,204.245,208.193,198.926,212.921,226.797,218.505,190.734,212.906,215.459,214.362,232.592
2529,207.346,249.253,241.201,216.955,204.629,207.880,198.567,212.529,226.610,218.172,190.143,212.624,215.824,213.871,233.355
2530,207.426,248.979,241.340,216.418,204.821,208.009,198.166,212.045,226.626,217.958,189.674,212.617,216.388,213.597,233.526
2531,207.293,248.734,240.785,215.840,204.904,208.098,197.793,211.812,226.924,217.835,189.486,213.082,216.869,213.680,232.934
2532,206.997,248.664,239.958,215.361,204.869,208.051,197.535,211.857,227.202,217.704,189.686,213.744,216.975,213.748,232.128
2533,206.747,248.680,239.771,215.230,204.703,207.747,197.498,212.067,227.436,217.347,189.998,214.326,216.871,213.745,231.464
2534,206.531,248.806,240.271,215.643,204.358,207.358,197.728,212.235,227.554,216.980,190.237,214.444,216.690,213.888,231.374
2535,206.556,249.052,240.479,216.545,203.742,207.272,198.263,212.465,227.494,216.749,190.344,214.086,216.428,214.235,231.607
2536,206.707,249.258,240.056,217.447,202.952,207.579,198.945,212.714,227.255,216.618,190.341,213.446,216.214,214.583,231.910
2537,207.037,249.411,239.299,217.717,202.432,208.000,199.622,212.740,227.035,216.924,190.381,212.828,216.285,214.808,232.374
2538,207.494,249.457,238.729,217.389,202.367,208.187,200.120,212.567,227.041,217.534,190.498,212.475,216.363,214.949,232.763
2539,207.985,249.096,238.556,217.414,202.498,208.377,200.350,212.457,227.276,218.118,190.666,212.511,216.185,215.056,232.891
2540,208.423,248.672,238.632,218.049,202.450,209.117,200.244,212.592,227.671,218.377,191.002,212.784,215.884,215.005,232.611
2541,208.657,248.584,238.924,218.623,202.358,210.101,199.705,212.789,227.962,218.182,191.422,212.859,215.735,214.857,231.938
2542,208.802,249.065,239.132,218.328,202.450,210.658,199.028,212.723,228.167,217.549,191.721,212.590,215.842,214.731,231.374
2543,208.762,249.775,239.236,217.512,202.511,210.620,198.659,212.310,228.357,216.823,191.836,212.372,215.996,214.718,231.227
2544,208.478,250.243,239.688,216.959,202.773,210.199,198.567,212.029,228.314,216.362,191.794,212.537,216.149,214.789,231.483
2545,207.910,250.421,240.507,216.873,203.157,209.772,198.553,212.254,227.962,216.360,191.656,212.974,216.218,214.905,231.882
2546,207.256,250.486,241.368,216.820,203.507,209.680,198.539,212.719,227.379,216.638,191.364,213.281,216.111,214.927,232.237
2547,206.895,250.579,241.938,216.242,203.467,210.111,198.723,212.942,226.868,216.894,191.176,213.499,215.788,214.765,232.209
2548,207.133,250.501,241.694,215.459,202.974,210.772,199.161,212.855,226.633,216.911,191.237,213.779,215.537,214.549,231.995
2549,207.775,250.295,241.132,215.246,202.279,211.329,199.949,212.699,226.628,217.131,191.464,214.175,215.470,214.466,231.886
2550,208.281,250.098,240.875,215.750,202.052,211.750,200.166,212.698,226.749,217.653,191.574,214.527,215.365,214.490,232.043
2551,208.216,250.238,241.299,216.389,202.406,212.047,199.512,212.901,226.821,218.222,191.499,214.652,215.031,214.476,232.360
2552,207.741,250.641,241.931,216.578,202.830,212.193,198.705,213.046,226.699,218.436,191.410,214.444,214.780,214.393,232.754
2553,207.188,251.331,242.215,216.377,202.790,211.940,198.604,213.012,226.398,218.103,191.470,214.058,214.909,214.420,232.891
2554,206.951,252.147,242.264,216.279,202.546,211.244,199.249,212.848,226.374,217.695,191.601,213.839,215.298,214.568,232.393
2555,207.052,252.788,242.472,216.816,202.712,210.190,200.249,212.750,226.887,217.522,191.590,213.889,215.650,214.604,231.682
2556,207.383,253.240,242.861,217.898,203.114,209.297,200.963,212.754,227.640,217.741,191.197,214.172,215.947,214.544,231.270
2557,207.951,253.943,243.076,218.955,203.384,209.047,200.977,212.806,228.192,218.229,190.695,214.441,216.394,214.386,231.308
2558,208.611,254.773,242.660,219.516,203.341,209.551,200.419,212.862,228.391,218.788,190.375,214.605,216.829,214.114,231.611
2559,208.852,255.235,242.056,219.557,203.389,210.275,199.959,212.853,228.413,219.217,190.408,214.852,217.100,213.937,231.905
2560,208.716,254.974,241.326,219.344,203.821,210.630,199.922,212.741,228.346,219.399,190.671,215.295,217.183,214.039,232.057
2561,208.500,254.207,240.681,219.213,204.245,210.481,200.184,212.682,228.234,219.273,190.821,215.600,216.998,214.325,232.294
2562,208.657,253.341,240.243,219.275,204.362,210.256,200.479,212.724,228.063,218.862,190.742,215.431,216.664,214.456,232.403
2563,208.920,252.519,240.382,219.193,204.031,210.177,200.834,212.764,227.879,218.135,190.607,214.923,216.321,214.306,232.123
2564,208.901,251.724,241.160,218.664,203.550,210.367,201.184,212.715,227.845,217.470,190.683,214.266,216.290,214.097,231.635
2565,208.664,250.902,242.333,218.303,203.170,210.655,201.415,212.633,228.069,217.419,190.930,213.686,216.441,214.002,231.502
2566,208.290,250.142,243.292,218.676,203.061,210.722,201.553,212.486,228.427,217.936,190.980,213.485,216.490,214.046,231.749
2567,207.793,249.866,243.840,219.406,202.987,210.408,201.627,212.215,228.649,218.507,190.722,213.683,216.383,214.357,231.858
2568,207.324,250.470,244.208,219.705,202.987,210.038,201.645,211.954,228.567,218.766,190.469,213.861,216.359,214.908,231.512
2569,207.185,251.390,244.278,219.283,203.297,210.035,201.705,211.959,228.329,218.734,190.566,213.780,216.483,215.303,231.213
2570,207.265,251.871,243.806,218.578,203.633,210.601,201.908,212.013,228.023,218.478,190.938,213.497,216.748,215.316,231.645
2571,207.497,251.530,242.951,218.090,203.847,211.206,201.816,211.788,227.722,217.978,191.108,213.124,216.891,214.993,232.739
2572,207.657,250.977,242.146,218.164,203.904,211.465,201.203,211.512,227.360,217.328,191.038,212.753,216.793,214.320,233.664
2573,207.799,250.788,241.861,218.779,204.197,211.424,200.277,211.654,226.924,216.648,190.913,212.554,216.343,213.621,233.664
2574,207.867,250.703,242.118,219.549,204.764,211.465,199.677,212.210,226.677,216.320,191.036,212.643,215.719,213.184,232.815
2575,207.781,250.328,242.403,219.848,205.253,211.968,199.387,212.618,226.788,216.495,191.504,213.113,215.243,213.078,232.213
2576,207.448,249.664,242.083,219.754,205.197,212.813,199.203,212.503,227.119,216.788,191.938,213.669,215.105,213.141,232.346
2577,206.873,248.938,241.417,219.357,204.825,213.332,199.332,212.096,227.368,216.618,192.185,213.923,215.212,213.417,232.739
2578,206.448,248.558,241.104,218.869,204.332,213.278,200.028,211.900,227.427,216.200,192.159,213.696,215.238,213.891,232.891
2579,206.574,248.964,241.257,218.492,203.996,212.880,200.857,212.132,227.421,216.131,192.024,213.261,215.071,214.333,232.882
2580,207.275,249.837,241.556,218.197,203.948,212.446,201.180,212.512,227.483,216.813,191.929,213.089,214.813,214.740,232.967
2581,207.957,250.341,241.576,217.988,203.996,212.168,200.751,212.688,227.591,217.855,191.982,213.187,214.657,215.049,232.910
2582,208.253,250.072,241.028,217.930,203.821,212.184,199.889,212.619,227.614,218.736,192.261,213.189,214.646,215.243,232.393
2583,208.235,249.411,240.292,217.955,203.314,213.089,198.857,212.401,227.552,219.278,192.566,212.998,214.791,215.165,231.308
2584,208.145,248.910,239.896,217.734,202.747,214.472,198.097,212.078,227.341,219.365,192.751,213.156,215.089,214.954,230.066
2585,208.123,248.987,239.833,217.258,202.611,215.364,197.935,211.774,227.174,219.128,192.791,213.738,215.334,214.799,229.332
2586,208.225,249.726,240.174,216.607,203.052,215.149,198.332,211.729,227.053,218.687,192.627,214.376,215.499,214.767,229.332
2587,208.488,250.519,240.833,216.094,203.725,214.503,199.147,211.987,226.858,218.167,192.156,214.527,215.506,214.913,229.872
2588,208.843,250.685,241.569,215.836,204.328,214.038,199.917,212.249,226.517,217.788,191.639,214.168,215.414,215.214,230.512
2589,209.099,250.057,241.764,215.779,204.747,213.902,200.253,212.329,226.137,217.468,191.578,213.667,215.134,215.585,230.882
2590,209.472,249.202,241.326,216.086,204.742,214.009,200.088,212.181,225.867,217.138,191.912,213.302,214.880,215.721,230.953
2591,209.747,248.680,240.910,217.049,204.376,214.256,199.691,211.838,225.717,216.857,192.278,213.166,214.777,215.277,230.829
2592,209.781,248.788,240.514,218.164,204.087,214.472,199.074,211.524,225.855,216.707,192.269,213.189,214.971,214.483,230.791
