 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15
51,374.170,373.534,387.080,373.679,369.100,384.515,376.247,368.984,369.540,364.500,367.159,375.458,366.835,375.310,368.152
52,374.495,372.728,387.097,374.227,370.142,384.644,375.840,368.336,369.917,364.138,367.077,374.912,366.323,375.114,367.269
53,374.798,371.571,387.060,374.867,370.813,384.749,375.609,367.693,370.380,364.081,366.685,375.190,365.960,374.840,366.842
54,374.906,370.838,386.991,375.180,370.621,384.589,375.506,367.571,370.396,364.286,366.741,375.905,365.802,374.657,366.994
55,374.830,370.555,386.976,375.191,370.105,384.237,375.531,367.683,369.770,364.508,366.943,376.447,365.909,374.487,367.452
56,374.888,370.157,387.054,375.136,369.776,383.724,375.601,367.475,369.049,364.695,366.759,376.683,366.180,374.112,367.535
57,375.224,369.534,387.094,374.956,369.703,383.175,375.379,366.704,368.752,365.003,366.270,376.725,366.822,373.728,367.197
58,375.780,369.257,387.116,374.505,369.890,382.722,374.922,366.045,368.798,365.684,365.903,376.560,367.805,373.624,366.828
59,375.986,369.335,387.178,373.847,369.900,382.461,374.313,365.952,369.064,366.589,365.716,375.817,368.701,373.881,367.058
60,376.004,369.597,387.215,373.182,369.489,382.327,373.811,366.317,369.479,367.127,365.543,374.757,369.183,374.381,367.693
61,376.379,369.921,387.192,372.898,368.726,382.058,373.597,366.643,370.340,366.997,365.057,373.996,369.533,375.332,368.064
62,377.794,370.492,387.185,373.111,367.941,381.650,373.654,366.739,371.227,366.535,364.497,374.060,369.647,376.832,367.898
63,380.531,371.225,387.237,373.293,367.447,381.235,373.807,366.469,371.690,366.359,364.213,374.651,369.091,378.292,367.504
64,383.949,371.890,387.267,373.014,367.374,380.897,373.984,365.955,371.319,366.230,364.290,375.120,368.032,379.079,367.465
65,387.105,372.476,387.245,372.464,367.945,380.492,373.807,365.683,370.439,365.989,364.443,375.056,367.296,379.000,367.964
66,389.097,372.775,387.258,372.223,369.183,380.196,373.078,365.912,369.736,365.654,364.619,374.539,367.393,378.652,368.945
67,389.848,372.497,387.255,372.473,370.699,380.142,372.436,366.165,369.420,365.197,364.884,373.827,368.175,378.919,370.006
68,389.921,371.251,387.255,373.092,371.425,380.141,372.284,366.008,369.166,364.659,365.284,373.458,368.835,379.510,371.022
69,390.058,369.529,387.302,373.685,371.014,380.131,372.490,365.704,368.788,364.214,365.724,373.310,368.896,379.393,371.673
70,390.516,368.660,387.324,374.101,369.909,380.144,372.572,365.680,368.635,363.932,365.989,373.218,368.365,378.426,371.709
71,391.123,369.209,387.278,374.463,368.826,380.132,372.671,366.187,368.764,364.043,366.224,373.391,367.701,377.310,371.100
72,391.152,370.330,387.211,374.820,368.498,380.116,372.934,366.925,368.739,364.476,366.594,373.951,367.274,376.505,370.047
