 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
63,471.707,532.569,473.385,463.966,441.716,456.732,457.700,454.959,448.285,444.955,452.796,440.027
64,470.792,531.490,473.216,464.319,441.514,456.359,457.341,453.673,447.832,444.761,451.822,439.417
65,469.734,530.135,472.688,464.297,441.041,456.127,457.065,452.052,447.500,444.654,451.893,439.692
66,468.716,528.827,471.996,463.353,440.705,456.201,456.865,451.041,447.394,444.642,452.599,440.447
67,467.898,528.015,471.508,461.992,440.439,456.884,456.733,450.773,447.830,444.528,453.242,441.077
68,467.339,527.802,471.314,461.000,440.236,458.120,456.382,451.030,448.300,444.251,453.079,441.204
69,467.328,528.080,471.397,460.546,439.995,458.951,455.873,451.204,448.396,443.785,452.260,440.814
70,467.880,528.565,471.338,460.314,439.827,458.507,455.195,450.851,448.060,443.087,451.474,440.154
71,468.324,528.790,471.013,460.213,439.811,457.127,454.536,449.896,447.794,442.442,451.135,439.710
72,467.913,528.614,470.425,460.319,439.856,455.729,454.098,449.063,447.487,442.209,450.944,439.728
73,466.477,528.079,469.588,460.022,439.779,454.877,454.086,449.268,446.921,442.349,450.397,440.035
74,464.690,527.425,468.729,459.087,439.577,454.493,454.388,450.283,446.377,442.499,449.541,440.391
75,463.550,526.805,468.083,457.723,439.507,454.194,454.520,451.428,446.255,442.397,448.942,440.506
76,463.251,526.176,467.797,456.944,439.782,453.528,454.127,452.275,446.366,441.770,448.845,440.479
77,463.490,525.231,467.737,457.048,440.468,452.687,453.330,452.535,446.274,440.731,449.182,440.133
78,463.761,523.983,467.521,457.457,441.358,452.504,452.665,452.439,445.928,439.922,449.661,439.846
79,464.027,522.764,467.083,457.513,442.158,453.401,452.536,452.164,445.470,439.734,449.867,440.044
80,464.488,521.943,466.818,457.241,442.342,454.775,452.759,451.740,445.211,439.970,449.730,440.639
81,464.760,521.388,467.047,456.888,441.876,455.930,452.935,451.268,444.974,440.075,449.442,441.175
82,464.328,520.831,467.538,456.468,441.329,456.743,452.798,450.792,444.800,439.704,449.249,441.441
83,463.417,520.112,467.429,455.541,441.173,457.204,452.656,449.978,444.781,439.188,449.307,441.778
