 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6
1,394.446,373.888,388.474,379.772,394.131,386.370
2,394.782,373.842,387.694,380.266,394.015,385.783
3,395.088,373.743,387.081,380.522,393.723,385.395
4,395.346,373.654,386.915,380.560,393.471,385.199
5,395.632,373.601,387.033,380.415,393.724,385.140
6,395.916,373.539,387.175,380.236,394.249,385.024
7,396.031,373.437,387.149,380.059,394.484,384.745
8,395.880,373.336,387.044,379.820,394.260,384.295
9,395.492,373.235,386.883,379.685,393.911,383.882
10,395.097,373.274,386.609,379.713,393.824,383.584
11,394.962,373.628,386.292,379.895,393.888,383.566
12,395.121,374.094,386.119,380.090,393.887,383.887
13,395.188,374.456,386.279,380.081,393.737,384.323
14,395.126,374.457,386.787,379.779,393.634,384.424
15,395.087,374.324,387.352,379.388,393.833,384.249
16,395.351,374.241,387.843,379.214,394.456,384.196
17,395.668,374.270,388.150,379.312,395.057,384.282
18,395.655,374.233,388.149,379.529,395.371,384.246
19,395.271,374.110,387.949,379.538,395.359,384.064
20,394.783,374.089,387.757,379.299,395.151,384.050
21,394.486,374.239,387.828,379.071,394.772,384.303
22,394.348,374.279,388.119,379.102,394.426,384.631
23,394.432,374.023,388.400,379.309,394.323,384.858
24,394.647,373.737,388.617,379.446,394.621,385.018
25,394.778,373.577,388.802,379.456,395.001,385.138
26,394.715,373.628,388.952,379.589,395.287,385.189
27,394.500,373.884,389.007,379.928,395.389,385.043
28,394.136,374.271,388.929,380.139,395.378,384.728
29,393.761,374.473,388.816,379.974,395.273,384.479
30,393.469,374.378,388.732,379.492,395.172,384.486
31,393.544,374.073,388.720,378.978,395.176,384.562
32,393.783,373.723,388.736,378.760,395.202,384.495
33,393.749,373.465,388.851,378.912,395.248,384.239
34,393.476,373.486,389.100,379.326,395.316,384.052
35,393.382,373.672,389.240,379.762,395.413,384.020
36,393.680,373.653,389.078,380.034,395.440,384.302
37,394.098,373.347,388.556,380.127,395.328,384.783
38,394.199,373.143,387.958,380.111,395.207,385.223
39,393.969,373.282,387.611,380.117,395.131,385.441
40,393.705,373.638,387.571,380.213,394.982,385.450
41,393.757,373.938,387.705,380.441,394.597,385.471
42,394.097,374.044,387.811,380.775,394.337,385.665
43,394.251,374.063,387.801,381.180,394.326,385.944
44,394.091,373.994,387.943,381.484,394.524,386.027
45,393.759,373.903,388.352,381.639,394.845,385.746
46,393.494,373.771,388.803,381.659,395.271,385.301
47,393.196,373.731,388.926,381.611,395.538,385.101
48,392.835,373.823,388.642,381.439,395.538,385.361
49,392.373,373.957,388.342,381.148,395.415,385.802
50,392.135,374.066,388.163,380.809,395.322,385.856
51,392.171,373.920,388.067,380.703,395.213,385.308
52,392.281,373.560,388.042,380.758,395.055,384.533
53,392.306,373.351,388.003,380.603,394.956,384.035
54,392.170,373.686,387.884,380.173,395.051,384.017
