 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
45,510.220,498.304,514.298,513.105,538.445,524.264,501.429,504.327,539.274,537.730,524.228,506.969,497.697,484.071,502.442,512.478,509.385
46,510.415,497.943,514.063,513.589,537.960,523.622,501.499,504.440,539.214,537.813,524.041,506.641,497.404,484.475,502.377,512.791,509.443
47,510.017,497.414,513.751,513.942,537.401,522.945,501.447,504.558,539.099,537.796,523.580,506.421,496.864,484.961,502.185,513.098,509.656
48,509.000,497.052,513.411,514.364,536.717,522.604,501.485,504.607,538.777,537.874,523.221,506.530,495.937,485.733,501.868,513.276,509.721
49,508.100,496.963,513.109,514.892,535.875,522.640,501.707,504.439,538.398,537.906,523.066,506.991,495.206,486.561,501.658,513.358,509.705
50,508.002,497.020,512.919,515.521,534.980,522.973,502.187,504.127,538.183,537.711,523.062,507.670,495.247,487.221,501.614,513.358,509.820
51,508.711,497.253,512.912,516.305,534.186,523.227,502.817,503.771,538.332,537.302,523.232,508.073,495.860,487.875,501.616,513.321,509.883
52,509.680,497.674,512.874,517.118,533.770,523.228,503.236,503.666,538.664,536.838,523.511,508.020,496.165,488.534,501.719,513.437,509.771
53,510.551,498.098,512.842,517.649,533.730,523.158,503.373,503.873,538.910,536.387,523.681,507.871,495.906,489.270,501.955,513.803,509.596
54,511.222,498.220,512.993,517.689,533.779,523.008,503.207,504.273,538.950,535.894,523.398,507.984,495.218,489.939,501.866,514.268,509.393
55,511.362,497.989,513.305,517.435,533.676,522.690,502.928,504.565,538.789,535.070,522.586,508.114,494.552,490.480,501.342,514.555,508.955
56,510.822,497.544,513.470,517.229,533.142,522.301,502.590,504.670,538.346,533.881,521.654,507.853,494.136,490.877,500.556,514.616,508.324
57,509.913,497.214,513.477,517.024,532.120,522.196,502.128,504.666,537.572,532.906,520.973,507.220,494.029,491.078,500.036,514.380,508.074
58,509.053,497.095,513.400,516.710,530.965,522.265,501.528,504.554,536.697,532.536,520.708,506.753,494.259,490.958,500.027,513.734,508.357
59,508.404,497.037,513.484,516.351,530.044,522.037,500.925,504.426,536.125,532.796,520.551,506.628,494.571,490.355,500.429,512.880,508.814
60,507.849,497.076,513.614,516.036,529.660,521.387,500.506,504.171,535.758,533.336,520.251,506.633,494.794,489.853,501.060,512.315,508.992
61,507.385,497.367,513.291,516.033,529.664,520.497,500.231,503.650,535.436,533.602,519.733,506.592,494.818,489.787,501.732,512.026,508.680
62,507.282,497.794,512.561,516.193,529.840,519.521,499.931,502.961,535.112,533.289,518.969,506.452,494.625,490.137,502.219,511.791,508.008
63,507.778,498.229,511.751,516.437,529.930,518.725,499.628,502.514,534.887,532.719,518.427,506.474,494.460,490.377,502.275,511.459,507.350
64,508.969,498.606,511.309,516.575,529.710,518.241,499.448,502.783,534.589,532.438,518.313,506.682,494.593,490.270,501.542,511.380,507.109
65,510.574,498.853,511.144,516.466,529.154,518.047,499.399,503.363,534.144,532.543,518.588,507.167,494.891,490.066,500.246,511.713,507.281
66,512.033,498.816,510.982,516.033,528.608,517.830,499.305,503.607,533.777,532.421,518.861,507.635,495.065,490.208,499.136,512.319,507.537
67,512.891,498.469,510.611,515.272,528.428,517.514,499.169,503.270,533.737,531.921,518.909,507.762,494.852,490.983,498.717,512.742,507.820
68,513.209,497.995,510.295,514.648,528.454,517.281,499.268,502.879,534.029,531.368,518.675,507.550,494.518,492.150,498.777,512.734,508.137
69,513.504,497.499,510.095,514.428,528.370,517.236,499.539,502.721,534.346,531.004,518.116,507.307,494.123,492.968,498.987,512.583,508.145
70,514.167,497.180,510.025,514.599,527.936,517.228,499.758,502.873,534.472,530.745,517.557,507.314,493.816,492.998,499.217,512.772,507.373
71,515.120,497.026,510.077,514.786,527.210,517.122,499.533,503.121,534.281,530.636,517.298,507.461,493.712,492.544,499.328,513.193,506.197
72,516.097,497.010,510.284,514.970,526.329,516.797,498.920,503.325,533.856,530.674,517.522,507.675,493.690,492.179,499.230,513.575,505.389
73,516.739,497.180,510.372,515.222,525.221,516.260,498.419,503.371,533.589,530.715,517.870,507.679,493.738,491.978,498.924,513.817,505.355
74,516.881,497.478,510.372,515.525,524.140,515.883,498.343,503.235,533.595,530.538,517.880,507.212,493.605,491.792,498.562,513.878,505.562
75,516.583,497.845,510.775,515.490,523.463,515.826,498.651,503.048,533.450,530.264,517.656,506.343,493.186,491.738,498.743,513.783,505.516
76,516.267,498.040,511.632,515.134,523.246,516.141,498.963,503.005,532.942,530.079,517.335,505.617,492.884,491.968,499.636,513.699,505.242
77,516.050,497.855,512.319,514.618,523.142,516.207,499.148,503.281,532.419,530.013,516.909,505.134,493.278,492.100,500.844,513.982,505.096
78,515.846,497.309,512.232,514.149,522.800,515.815,499.129,503.708,532.402,530.013,516.273,504.686,494.153,491.902,501.473,514.484,505.064
79,515.560,496.778,511.435,513.698,522.489,515.154,498.864,504.026,532.723,529.764,515.520,504.265,494.806,491.471,501.163,514.866,504.957
80,515.167,496.602,510.600,512.938,522.324,514.648,498.327,504.128,532.876,529.113,514.758,503.898,495.010,490.919,500.292,515.071,504.775
81,514.674,496.746,510.221,512.033,522.333,514.305,497.734,504.202,532.590,528.164,514.389,503.617,495.189,490.586,499.723,515.051,504.602
82,514.187,497.026,510.340,511.432,522.246,513.995,497.230,504.255,532.064,527.349,514.588,503.530,495.429,490.547,499.705,514.819,504.406
83,513.920,497.188,510.446,511.458,521.936,513.677,496.793,504.176,531.538,526.828,515.044,503.612,495.380,490.757,499.911,514.508,504.123
84,514.162,497.098,510.316,511.750,521.489,513.481,496.362,503.910,530.951,526.536,515.319,503.927,495.143,490.806,499.781,514.337,503.734
85,514.836,496.742,510.225,511.692,521.228,513.190,496.035,503.477,530.226,526.330,515.391,504.506,494.809,490.350,499.230,514.390,503.162
86,515.607,496.412,510.446,511.161,521.379,512.916,495.781,503.090,529.576,526.021,515.352,505.143,494.254,489.542,498.763,514.606,502.547
87,516.226,496.246,510.586,510.766,521.875,512.826,495.772,502.980,529.511,525.300,515.242,505.354,493.400,488.828,498.893,514.852,502.299
88,516.973,496.185,509.996,510.848,522.449,513.011,496.115,503.339,529.959,524.379,515.108,504.862,492.542,488.625,499.377,514.967,502.723
89,517.702,496.170,508.979,511.407,522.682,513.241,496.646,503.976,530.427,524.034,515.135,503.931,492.201,488.831,499.926,514.967,503.467
90,517.844,496.316,508.088,512.080,522.401,513.338,496.933,504.582,530.576,524.323,515.329,503.327,492.324,489.265,500.350,515.026,503.979
91,517.022,496.603,507.744,512.508,521.607,513.047,496.799,504.903,530.469,524.736,515.373,503.065,492.559,489.699,500.567,515.276,504.150
92,515.596,496.928,508.161,512.580,520.662,512.426,496.507,504.894,530.193,525.040,515.563,503.033,492.719,490.181,500.538,515.453,504.064
93,514.275,497.102,509.028,512.284,519.770,511.569,496.337,504.569,529.817,525.047,516.155,503.076,492.993,490.529,500.482,515.587,503.738
94,513.593,497.145,509.575,511.593,518.893,511.085,496.295,504.213,529.327,524.445,517.016,503.270,493.201,490.669,500.545,515.911,503.299
95,513.368,497.142,509.270,510.628,518.053,511.232,496.187,503.950,528.775,523.415,517.282,503.408,493.119,490.630,500.670,516.498,502.939
96,513.602,496.927,508.330,509.710,517.465,511.733,495.777,503.839,528.095,522.870,516.779,503.655,492.937,490.402,500.587,517.191,502.689
97,514.254,496.622,507.533,508.994,517.210,512.048,494.994,504.062,527.448,523.089,516.219,503.958,492.780,489.846,500.362,517.632,502.504
