 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7
106,423.044,420.820,422.143,425.657,425.594,422.410,421.794
107,423.065,421.055,422.012,425.575,425.637,422.770,421.540
108,423.312,421.305,422.022,425.563,425.839,422.818,421.500
109,423.424,421.500,422.075,425.727,426.001,422.677,421.679
110,423.212,421.765,421.917,425.942,426.062,422.619,421.919
111,422.616,422.076,421.547,425.928,425.972,422.707,421.970
112,421.782,422.212,421.224,425.658,425.921,422.787,421.857
113,421.218,422.143,421.136,425.353,425.813,422.670,421.836
114,421.371,422.054,421.323,425.175,425.697,422.424,422.109
115,422.138,422.002,421.668,425.198,425.599,422.299,422.534
116,422.948,421.890,421.829,425.338,425.521,422.246,422.962
117,423.277,421.723,421.709,425.457,425.390,422.213,423.138
118,423.119,421.494,421.566,425.625,425.283,422.277,422.939
119,422.721,421.151,421.660,425.775,425.224,422.475,422.543
120,422.255,420.886,421.798,425.763,425.193,422.613,422.187
121,421.699,420.812,421.674,425.549,425.114,422.525,422.069
122,421.112,420.825,421.321,425.371,425.134,422.212,422.093
123,420.762,420.677,421.041,425.388,425.202,421.860,422.017
124,421.000,420.594,420.901,425.469,425.295,421.712,421.648
125,421.851,420.811,420.884,425.571,425.580,421.821,421.262
126,422.728,421.200,420.903,425.663,426.009,422.052,421.159
127,423.080,421.305,420.928,425.646,426.304,422.206,421.354
128,422.917,421.072,421.020,425.400,426.268,422.355,421.666
129,422.581,420.937,421.223,425.156,426.114,422.679,422.000
130,422.277,421.191,421.637,425.171,426.087,423.176,422.343
131,422.252,421.724,422.045,425.530,426.156,423.545,422.537
132,422.513,422.189,422.073,425.995,426.176,423.502,422.354
133,422.761,422.416,421.768,426.355,426.157,423.274,421.939
134,422.844,422.495,421.495,426.572,426.242,423.078,421.670
135,422.866,422.685,421.722,426.711,426.496,423.152,421.597
136,423.080,422.921,422.316,426.992,426.650,423.543,421.717
137,423.433,422.957,422.853,427.388,426.571,423.995,421.976
138,423.698,422.800,423.246,427.731,426.466,424.231,422.236
139,423.694,422.616,423.510,427.908,426.392,424.380,422.236
140,423.379,422.522,423.631,427.973,426.399,424.508,422.010
141,422.900,422.452,423.565,427.829,426.447,424.561,421.710
142,422.589,422.239,423.293,427.448,426.552,424.306,421.610
143,422.469,421.883,422.917,427.004,426.651,423.958,421.692
144,422.444,421.505,422.644,426.787,426.666,423.911,421.917
145,422.450,421.378,422.437,426.696,426.531,424.201,422.132
146,422.611,421.453,422.287,426.616,426.431,424.474,422.217
147,422.917,421.620,422.146,426.450,426.518,424.451,422.102
148,423.044,421.766,422.002,426.370,426.663,424.252,421.895
149,422.878,421.849,421.742,426.424,426.627,424.053,421.721
150,422.659,421.760,421.509,426.514,426.396,423.960,421.688
151,422.667,421.598,421.498,426.453,426.282,424.054,421.765
152,422.889,421.515,421.762,426.304,426.307,424.191,421.939
153,423.245,421.555,422.086,426.337,426.227,424.172,422.244
154,423.435,421.625,422.260,426.607,426.064,423.937,422.471
155,423.232,421.632,422.224,426.688,426.097,423.532,422.565
156,422.795,421.579,421.951,426.276,426.491,423.270,422.437
157,422.292,421.560,421.583,425.590,426.892,423.346,422.105
158,421.970,421.616,421.383,425.024,427.076,423.716,421.677
159,421.849,421.702,421.512,424.740,427.146,424.116,421.404
160,421.883,421.765,421.724,424.796,427.142,424.188,421.383
161,422.156,421.785,421.636,425.263,427.062,423.876,421.456
162,422.548,421.832,421.241,426.084,426.844,423.431,421.415
163,422.843,421.830,420.788,426.706,426.560,423.122,421.164
164,422.886,421.523,420.609,426.867,426.223,422.990,420.933
165,422.722,421.013,420.827,426.786,425.973,423.031,420.950
166,422.493,420.657,421.256,426.807,425.916,423.019,421.278
167,422.416,420.609,421.579,426.928,426.118,422.905,421.868
168,422.383,420.831,421.603,426.957,426.231,422.790,422.576
169,422.315,421.145,421.528,426.701,425.926,422.692,423.080
170,422.254,421.600,421.685,426.148,425.358,422.737,423.110
171,422.128,422.066,422.162,425.488,425.013,422.795,422.841
172,421.905,422.281,422.666,425.033,425.036,422.828,422.566
173,421.668,422.022,422.651,424.954,425.198,422.701,422.295
174,421.696,421.516,422.139,425.062,425.089,422.549,421.908
175,421.923,421.194,421.514,425.186,424.591,422.623,421.553
176,422.150,421.215,421.081,425.229,424.157,422.778,421.419
177,422.353,421.339,420.864,425.188,424.158,422.828,421.514
178,422.677,421.437,420.713,425.104,424.718,422.701,421.758
179,423.073,421.485,420.577,425.065,425.510,422.467,422.090
180,423.162,421.629,420.405,425.027,426.211,422.290,422.552
181,422.772,421.889,420.319,424.837,426.570,422.314,422.864
182,422.206,422.025,420.422,424.619,426.738,422.425,423.020
183,421.968,421.862,420.528,424.620,426.904,422.548,422.873
184,421.986,421.563,420.517,424.701,427.065,422.461,422.456
185,422.000,421.385,420.426,424.728,427.054,422.235,422.114
186,421.950,421.297,420.330,424.605,426.750,421.995,422.090
187,421.957,421.370,420.258,424.617,426.372,421.944,422.325
188,422.131,421.522,420.356,424.772,426.156,422.082,422.549
189,422.211,421.700,420.641,424.913,426.155,422.352,422.528
190,421.897,421.826,420.962,424.917,426.170,422.584,422.280
191,421.330,421.907,421.155,424.776,426.027,422.678,422.080
192,420.937,422.090,421.203,424.593,425.581,422.744,422.165
193,421.095,422.209,421.242,424.554,425.021,422.871,422.343
194,421.585,422.006,421.341,424.745,424.861,422.867,422.240
195,421.991,421.516,421.462,424.934,425.335,422.627,421.913
196,422.060,421.125,421.500,425.084,425.939,422.423,421.714
197,422.053,421.061,421.227,425.182,426.171,422.335,421.892
198,422.117,421.209,420.724,425.297,425.904,422.374,422.369
199,422.200,421.351,420.256,425.361,425.507,422.327,422.756
200,422.270,421.323,420.072,425.313,425.316,422.157,422.846
201,422.289,421.341,420.248,425.157,425.364,421.909,422.777
202,422.239,421.529,420.524,425.094,425.482,421.734,422.721
203,421.990,421.721,420.633,425.205,425.508,421.779,422.659
204,421.628,421.639,420.483,425.353,425.446,421.930,422.488
205,421.462,421.352,420.127,425.310,425.332,422.049,422.378
206,421.564,421.118,419.772,424.923,425.258,421.937,422.361
207,421.649,421.119,419.717,424.350,425.213,421.660,422.444
208,421.545,421.148,420.172,423.921,425.247,421.492,422.509
209,421.504,421.002,420.856,423.834,425.303,421.641,422.604
210,421.815,420.796,421.402,424.089,425.355,421.870,422.610
211,422.296,420.733,421.566,424.441,425.346,421.863,422.470
212,422.610,420.756,421.601,424.810,425.263,421.555,422.182
213,422.584,420.852,421.691,425.078,425.128,421.230,421.935
214,422.448,420.995,421.757,424.990,425.109,421.275,421.728
215,422.466,421.129,421.599,424.655,425.275,421.622,421.483
216,422.683,421.159,421.399,424.422,425.419,422.096,421.280
217,422.815,421.192,421.214,424.323,425.261,422.366,421.318
218,422.675,421.411,420.892,424.311,424.884,422.309,421.635
219,422.532,421.632,420.448,424.540,424.701,421.933,421.899
220,422.600,421.435,420.171,424.877,424.831,421.618,421.960
221,422.611,420.948,420.229,425.009,425.269,421.599,421.787
222,422.279,420.698,420.408,424.865,425.712,421.764,421.684
223,421.740,421.050,420.418,424.839,425.953,421.858,421.809
224,421.355,421.576,420.282,425.065,425.872,421.774,422.100
225,421.264,421.612,420.180,425.235,425.612,421.614,422.406
226,421.232,421.238,420.043,424.986,425.325,421.376,422.697
227,421.238,420.905,419.742,424.512,425.223,421.116,422.790
228,421.240,420.810,419.513,424.227,425.279,421.070,422.538
229,421.166,420.760,419.675,424.106,425.267,421.391,422.065
230,420.970,420.725,420.197,424.217,425.282,421.850,421.688
231,420.810,420.763,420.655,424.530,425.386,422.201,421.668
232,420.946,420.780,420.832,424.871,425.565,422.349,421.854
233,421.256,420.677,420.654,425.056,425.734,422.387,421.886
234,421.618,420.438,420.411,425.246,425.755,422.209,421.645
235,421.856,420.237,420.363,425.527,425.612,421.944,421.478
236,421.873,420.198,420.432,425.626,425.412,421.670,421.656
237,421.775,420.399,420.437,425.473,425.350,421.550,422.000
238,421.757,420.634,420.307,425.193,425.352,421.565,422.285
239,421.843,420.686,420.174,425.028,425.280,421.702,422.477
240,421.918,420.617,420.118,425.054,425.095,421.901,422.553
241,421.869,420.553,420.284,425.251,425.074,422.159,422.572
242,421.757,420.513,420.580,425.339,425.342,422.414,422.510
243,421.763,420.567,420.897,425.289,425.835,422.484,422.465
244,421.979,420.825,421.043,425.208,426.197,422.343,422.462
245,422.334,421.291,420.940,425.089,426.249,422.167,422.403
246,422.606,421.719,420.804,424.773,426.234,422.121,422.343
247,422.664,421.910,420.771,424.421,426.178,422.245,422.238
248,422.586,421.815,420.793,424.199,425.936,422.342,422.157
249,422.673,421.574,420.766,424.197,425.652,422.266,422.081
250,422.914,421.332,420.671,424.293,425.530,422.063,421.965
251,422.948,421.172,420.617,424.448,425.547,422.004,421.776
252,422.515,421.189,420.676,424.652,425.525,422.167,421.648
253,421.843,421.356,420.835,424.815,425.452,422.384,421.657
254,421.373,421.453,420.964,424.825,425.484,422.593,421.697
255,421.336,421.412,421.079,424.566,425.718,422.882,421.760
256,421.597,421.384,421.122,424.196,425.865,423.162,421.809
257,421.775,421.432,421.144,424.058,425.748,423.061,421.951
258,421.906,421.463,421.125,424.356,425.329,422.653,422.228
259,422.030,421.492,421.026,424.981,424.858,422.247,422.672
260,422.109,421.536,420.807,425.574,424.627,422.037,423.093
261,422.050,421.653,420.551,425.856,424.800,422.011,423.280
262,421.987,421.865,420.308,425.800,425.245,422.004,423.016
263,422.143,422.065,420.128,425.701,425.542,421.903,422.505
264,422.498,422.094,420.171,425.695,425.545,421.765,422.065
265,422.729,421.971,420.444,425.791,425.498,421.736,421.895
266,422.741,421.900,420.772,425.920,425.642,421.817,421.892
267,422.798,421.934,420.920,425.880,426.019,421.800,421.891
268,422.991,421.922,420.837,425.631,426.354,421.761,422.005
269,423.244,421.779,420.660,425.370,426.421,421.771,422.136
270,423.238,421.591,420.612,425.447,426.210,421.785,422.187
271,422.956,421.393,420.677,425.918,425.973,421.690,422.105
272,422.589,421.124,420.715,426.495,425.822,421.431,422.007
273,422.486,420.980,420.672,426.854,425.731,421.081,421.912
274,422.513,421.054,420.673,426.832,425.651,420.993,421.798
275,422.593,421.159,420.778,426.440,425.593,421.362,421.532
276,422.683,421.178,421.028,425.742,425.566,421.968,421.172
277,422.922,421.192,421.315,424.894,425.531,422.560,420.823
278,423.213,421.295,421.461,424.250,425.484,422.919,420.740
279,423.232,421.424,421.415,423.993,425.553,423.069,421.030
280,422.795,421.548,421.204,424.237,425.683,423.003,421.588
281,422.169,421.651,420.943,424.666,425.891,422.934,422.093
282,421.806,421.684,420.773,424.955,426.065,423.035,422.294
283,421.886,421.680,420.707,424.971,426.038,423.238,422.228
284,422.186,421.698,420.737,424.959,425.928,423.323,422.115
285,422.465,421.708,420.967,424.993,425.868,423.180,422.167
286,422.728,421.666,421.374,425.104,425.842,422.902,422.248
287,423.156,421.634,421.578,425.152,425.721,422.623,422.253
288,423.613,421.679,421.284,425.169,425.595,422.547,422.262
289,423.824,421.752,420.665,425.315,425.529,422.836,422.371
290,423.518,421.739,420.267,425.622,425.647,423.239,422.511
291,422.904,421.596,420.166,425.797,425.706,423.443,422.535
292,422.364,421.291,420.250,425.895,425.492,423.331,422.394
293,422.193,420.835,420.420,425.959,425.158,423.202,422.094
294,422.304,420.404,420.397,426.018,425.092,423.256,421.738
295,422.336,420.207,420.140,425.915,425.269,423.280,421.487
296,422.155,420.289,419.989,425.622,425.569,422.976,421.535
297,421.801,420.495,420.291,425.174,425.698,422.512,421.778
298,421.421,420.647,420.932,424.858,425.554,422.299,421.866
299,421.392,420.773,421.494,424.856,425.232,422.436,421.735
300,421.724,421.027,421.679,424.979,425.192,422.603,421.599
301,422.132,421.455,421.436,425.068,425.456,422.452,421.708
302,422.301,421.809,421.036,425.047,425.832,422.045,421.960
303,422.197,421.706,420.716,424.858,426.028,421.668,422.212
304,421.919,421.062,420.634,424.679,425.817,421.612,422.289
305,421.719,420.344,420.774,424.700,425.308,421.921,422.257
306,421.824,420.046,420.806,424.884,424.903,422.289,422.111
307,422.051,420.292,420.575,425.062,424.861,422.310,421.796
308,422.034,420.704,420.146,425.153,425.031,422.036,421.275
309,421.717,420.995,419.922,425.263,425.202,421.786,420.781
310,421.443,421.142,420.081,425.345,425.290,421.717,420.460
311,421.373,421.300,420.548,425.321,425.295,421.842,420.454
312,421.420,421.285,420.953,425.360,425.292,421.997,420.742
313,421.474,420.992,421.121,425.535,425.427,422.084,421.191
314,421.594,420.719,421.175,425.561,425.672,422.049,421.629
315,421.921,420.675,421.242,425.219,425.869,421.898,421.900
316,422.289,420.828,421.267,424.669,425.910,421.667,421.874
317,422.556,421.152,421.137,424.169,425.749,421.495,421.643
318,422.601,421.478,420.924,423.959,425.484,421.489,421.522
319,422.564,421.546,420.788,424.040,425.267,421.699,421.744
320,422.568,421.326,420.793,424.259,425.172,421.898,422.066
321,422.684,420.978,420.827,424.489,425.281,421.851,422.163
322,422.936,420.775,420.748,424.810,425.497,421.564,421.928
323,423.081,420.666,420.457,425.186,425.662,421.250,421.444
324,423.050,420.496,420.086,425.335,425.555,421.180,420.845
325,422.941,420.175,419.883,425.059,425.229,421.281,420.487
326,422.914,419.953,419.994,424.427,425.029,421.616,420.633
327,422.970,420.130,420.368,423.830,425.199,422.061,421.174
328,423.091,420.633,420.756,423.629,425.420,422.438,421.652
329,423.281,421.162,420.899,423.928,425.413,422.577,421.683
330,423.378,421.386,420.820,424.379,425.366,422.534,421.366
331,423.276,421.229,420.749,424.663,425.519,422.477,421.051
332,423.032,420.765,420.779,424.731,425.656,422.376,421.030
333,422.829,420.323,420.975,424.747,425.470,422.210,421.249
334,422.791,420.220,421.086,424.656,425.072,422.102,421.597
335,422.950,420.434,421.021,424.374,424.893,422.067,421.874
336,423.146,420.788,420.857,424.100,425.000,422.024,421.940
337,423.312,421.204,420.766,424.112,425.222,421.904,421.792
338,423.438,421.522,420.735,424.324,425.290,421.857,421.642
339,423.482,421.635,420.716,424.413,425.227,422.155,421.669
340,423.556,421.625,420.646,424.353,425.112,422.651,421.844
341,423.849,421.659,420.676,424.328,425.108,423.054,422.025
342,424.194,421.716,420.805,424.272,425.132,423.212,422.204
343,424.276,421.634,420.869,424.106,425.093,423.073,422.249
344,423.982,421.535,420.711,424.026,424.991,422.711,422.189
345,423.502,421.397,420.487,424.227,424.970,422.236,422.109
346,423.137,421.152,420.431,424.566,425.056,421.916,421.998
347,422.857,420.928,420.424,424.809,425.326,421.850,421.870
348,422.547,420.890,420.395,424.809,425.791,421.986,421.747
349,422.427,421.102,420.441,424.576,426.314,422.073,421.642
350,422.740,421.366,420.634,424.237,426.627,422.065,421.527
351,423.251,421.545,420.745,424.009,426.605,422.017,421.363
