 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
36,495.864,497.603,491.678,508.353,507.030,496.823,510.360,484.897,498.670,499.832,527.556,512.109,498.863,512.231,527.140,523.114,503.017,499.154,494.776,497.428,504.554
37,492.557,501.150,491.857,509.141,507.845,502.820,508.430,481.629,497.349,501.839,532.411,510.697,498.043,511.198,528.445,524.970,505.072,499.245,493.583,498.091,506.234
38,495.425,501.067,492.163,504.705,506.717,496.539,506.532,483.974,497.290,499.640,528.992,515.876,497.794,516.027,527.069,520.858,507.699,501.672,490.921,497.663,505.415
39,495.996,501.137,492.719,503.637,508.377,496.423,507.978,482.737,497.526,498.998,527.473,514.536,499.376,513.963,528.276,526.552,502.544,497.752,491.737,498.219,505.900
40,501.125,500.296,494.428,504.029,512.616,496.771,508.326,482.188,498.106,502.515,529.119,511.064,496.675,515.744,528.171,525.378,503.819,496.434,490.931,496.099,506.199
41,495.319,502.987,493.536,508.305,507.633,500.351,509.776,484.678,497.692,501.939,528.125,512.598,501.937,512.687,530.048,521.955,503.286,496.404,488.992,498.996,505.430
42,494.879,499.762,492.023,506.840,505.485,498.856,509.441,485.979,503.290,498.853,527.735,511.379,497.352,512.847,530.826,522.850,502.880,500.728,492.053,498.996,500.651
43,491.832,506.388,493.537,506.147,510.525,496.660,505.841,484.936,497.922,499.709,529.339,512.293,498.475,511.566,529.088,518.998,505.796,499.492,493.171,498.357,503.013
44,497.190,500.288,491.108,507.936,504.653,498.616,509.096,484.497,496.040,500.835,528.410,510.169,501.616,514.632,527.912,526.369,503.890,496.548,494.418,498.803,505.113
45,499.692,501.719,493.047,504.600,509.929,499.983,511.656,485.737,496.931,504.510,527.052,511.222,495.250,510.863,527.455,525.026,506.218,497.651,491.739,499.594,502.493
46,498.462,507.019,490.440,504.436,504.397,499.688,504.834,485.884,500.682,503.540,524.945,512.663,498.157,513.016,529.638,527.446,506.678,497.036,492.953,501.176,501.528
47,492.652,499.818,491.832,503.859,512.697,500.483,507.107,483.474,498.713,502.382,526.288,512.489,496.673,510.714,529.279,526.448,506.439,493.831,489.980,500.592,504.782
48,496.136,500.155,495.067,507.382,505.956,501.550,509.302,486.920,498.698,505.356,526.094,510.233,495.352,511.571,531.198,527.388,507.446,495.424,494.750,500.430,503.223
49,497.388,502.204,493.819,506.075,503.808,500.461,505.410,486.260,499.234,506.089,524.534,511.005,498.195,508.867,527.054,531.764,508.529,494.407,490.564,497.556,505.682
50,492.513,501.002,494.104,505.745,507.909,497.420,509.394,485.997,497.146,506.881,525.214,511.002,495.632,510.824,530.626,523.906,508.505,495.712,496.959,502.211,502.955
51,494.989,501.071,491.208,502.344,502.980,497.055,507.796,488.773,497.720,507.506,525.854,511.793,495.455,512.297,527.842,531.071,508.258,491.930,490.389,499.653,505.084
52,496.568,503.622,494.185,503.195,500.983,497.580,509.139,483.265,500.826,505.060,522.908,509.901,495.960,515.932,530.179,529.185,508.734,493.811,491.090,500.708,501.798
53,499.081,500.075,493.928,504.166,507.010,499.113,506.007,489.853,500.290,506.394,523.831,512.028,496.146,517.333,530.632,528.592,508.027,496.786,495.000,503.785,504.381
54,494.370,501.015,493.288,504.811,506.943,496.036,508.353,486.670,502.583,507.112,525.031,510.721,498.626,512.519,530.772,527.436,509.575,496.142,494.255,502.992,504.058
55,497.733,499.515,491.788,508.305,502.650,501.972,510.893,492.193,502.249,506.232,524.224,509.898,499.915,513.476,528.384,527.833,508.505,494.917,492.935,499.761,506.667
56,498.637,502.914,493.892,506.083,501.603,496.218,507.260,486.925,496.589,506.654,523.361,509.814,498.348,512.088,527.937,524.255,509.673,497.076,494.878,503.471,507.029
57,497.630,501.485,491.409,502.346,504.242,497.102,508.423,485.982,503.919,506.171,523.767,509.913,497.082,513.282,528.158,523.685,509.334,496.043,493.328,501.286,508.289
58,497.810,499.925,493.095,506.674,509.593,499.586,506.957,489.954,497.642,506.740,522.986,511.125,495.911,510.153,527.262,525.032,507.420,495.084,491.688,502.296,509.396
59,497.549,500.200,494.597,506.631,502.202,491.403,505.114,483.936,497.178,505.105,521.195,507.222,496.279,510.595,527.828,524.665,511.414,494.800,493.316,499.951,507.656
60,499.352,499.781,490.719,504.205,503.616,500.030,507.072,486.232,499.246,504.159,522.610,510.590,496.906,511.270,528.730,525.758,509.283,495.058,489.401,501.444,504.094
61,493.916,499.361,491.813,502.693,501.027,497.478,507.222,490.013,498.623,505.490,521.303,507.290,497.646,511.188,524.165,522.365,508.221,496.275,492.403,498.633,500.640
62,498.322,499.547,495.691,508.010,503.178,493.655,509.611,485.500,497.424,505.239,520.992,507.797,496.048,505.826,526.741,524.916,507.983,494.258,492.762,498.783,500.310
63,498.132,497.691,490.341,504.255,503.848,501.044,507.939,488.691,500.427,507.369,519.242,509.922,495.773,507.078,526.611,523.088,509.777,494.983,491.108,500.363,505.024
64,496.110,500.202,494.066,506.894,507.128,496.111,507.193,490.371,494.262,506.677,521.431,506.280,493.593,508.736,525.117,523.880,509.390,496.316,492.198,498.580,505.685
65,496.026,499.766,491.435,506.786,507.229,498.663,507.454,491.737,502.081,505.076,520.261,507.043,497.642,511.843,524.580,525.204,506.090,492.528,490.104,500.339,506.039
66,499.853,501.903,493.385,504.068,503.936,495.398,510.519,489.544,493.757,505.878,520.722,505.796,495.146,507.035,525.614,526.298,507.410,495.651,493.851,498.272,503.651
67,500.531,500.663,491.555,505.384,499.673,501.420,509.199,486.740,499.044,506.859,516.884,506.284,494.758,509.068,524.693,517.798,505.108,495.531,492.143,498.393,503.446
68,501.579,498.815,492.279,502.257,502.384,495.790,507.105,486.559,495.090,505.768,519.672,508.020,496.612,511.270,524.877,517.998,505.027,495.919,489.204,498.665,502.031
69,500.538,499.569,492.556,503.803,499.714,497.564,508.215,488.549,496.196,501.732,518.911,505.463,497.555,510.491,525.023,521.118,507.771,494.286,490.507,499.110,505.415
70,499.011,496.906,494.915,502.259,504.798,495.185,506.852,491.930,496.685,506.790,518.385,509.367,494.982,509.131,525.971,523.092,508.655,494.147,493.153,500.876,504.858
71,501.564,495.545,492.140,503.037,497.818,493.196,510.286,489.771,496.421,503.508,518.659,504.334,494.747,509.207,524.437,521.976,509.862,494.243,491.786,500.211,505.530
72,507.179,494.315,492.820,503.983,504.808,494.818,506.040,489.941,492.667,503.853,518.184,506.029,491.008,504.853,522.127,524.127,506.661,495.457,490.788,502.095,505.097
73,501.982,497.839,492.843,505.909,505.054,497.591,509.165,489.639,491.692,503.412,519.441,506.406,495.048,509.442,523.990,520.730,506.131,492.601,491.857,501.890,508.388
74,501.601,499.536,490.587,503.342,500.354,494.080,504.414,490.691,501.620,505.527,513.904,507.201,496.864,508.963,524.624,517.217,506.874,491.353,492.183,497.815,500.297
75,498.282,498.908,492.035,503.174,499.633,492.644,507.360,484.294,496.810,506.930,517.382,505.613,494.452,502.589,524.547,522.356,507.456,497.495,494.646,496.986,502.706
76,499.890,500.768,492.539,504.844,498.593,500.577,509.881,489.691,500.386,503.587,515.445,505.567,493.807,505.509,522.374,519.376,511.012,494.025,497.552,499.594,502.974
77,507.249,501.401,494.185,503.114,504.263,493.876,507.222,484.956,494.283,503.399,517.252,508.266,495.432,507.816,521.662,522.498,507.772,494.000,489.988,502.199,503.654
78,499.190,495.777,493.392,503.205,501.845,499.528,511.872,491.673,500.340,503.695,514.620,505.258,496.040,505.186,523.967,519.498,504.445,491.834,494.141,493.519,503.903
79,497.370,497.751,492.813,505.525,505.020,500.177,507.322,490.634,494.928,503.069,515.196,506.567,498.264,503.939,521.987,519.511,507.292,495.437,498.405,495.416,509.176
80,502.033,495.519,491.447,503.517,503.067,494.436,508.857,486.624,496.209,503.314,514.577,507.503,494.541,508.916,523.345,519.408,504.833,493.288,493.784,498.653,503.596
81,499.996,498.526,491.449,503.863,504.522,493.528,507.192,487.214,492.773,501.463,513.881,506.204,494.015,501.642,523.759,514.783,503.946,492.985,494.536,496.037,502.425
82,498.908,500.783,491.988,503.216,503.040,494.986,511.418,484.802,497.732,500.865,514.998,504.659,493.563,500.652,521.731,517.326,501.791,494.252,493.542,497.649,502.297
83,497.996,498.277,493.648,500.948,501.603,499.671,511.230,490.258,494.589,502.253,515.962,505.750,494.250,508.491,522.089,517.032,505.446,491.114,494.004,497.621,499.811
84,491.564,498.586,492.338,499.639,498.680,496.066,508.624,487.284,492.371,503.472,512.037,504.056,494.746,505.618,521.959,515.309,505.721,492.417,493.312,493.617,498.551
85,500.531,499.382,492.639,499.110,504.330,493.873,504.942,487.363,493.660,503.136,512.864,504.473,494.568,504.667,521.440,517.858,504.699,495.623,495.544,498.114,505.538
86,503.040,497.689,489.734,503.326,503.017,494.892,511.190,486.948,492.302,501.020,513.158,506.959,494.917,506.634,519.331,517.650,505.185,492.475,495.185,497.844,508.430
87,506.095,497.530,492.074,502.782,509.886,495.461,511.613,482.807,491.916,501.989,512.554,505.585,491.117,509.113,520.560,518.461,505.751,492.962,490.515,494.521,504.483
88,504.128,495.249,491.226,506.923,503.869,492.818,511.052,487.874,494.601,500.912,515.610,504.571,494.619,507.744,519.270,515.088,505.176,491.687,495.108,498.250,503.635
89,502.729,499.573,493.155,499.017,500.256,496.889,511.286,485.874,493.614,503.502,513.669,504.821,495.892,507.164,520.585,518.425,504.479,496.154,493.974,497.067,503.575
90,502.582,500.045,493.738,501.639,496.721,496.856,510.937,484.585,497.040,500.883,512.700,503.524,497.187,507.067,522.595,518.416,506.744,496.210,491.695,495.708,502.940
91,503.176,495.363,492.098,499.737,502.646,498.635,511.691,485.912,496.542,503.648,513.733,505.468,494.333,507.258,521.629,515.461,505.082,494.566,494.464,494.629,508.984
92,502.879,495.163,492.604,502.212,500.057,504.666,511.210,487.131,496.542,500.608,514.086,505.064,493.705,509.196,517.730,516.511,503.918,493.368,490.173,495.724,506.593
93,503.436,499.878,493.742,500.255,500.741,500.348,508.647,484.840,493.801,503.599,509.342,504.000,493.139,508.057,522.166,518.764,502.011,492.310,495.037,497.921,507.961
94,503.718,496.487,490.576,503.151,504.411,500.699,510.476,482.683,493.629,499.657,511.046,503.613,492.118,510.262,517.303,515.275,503.519,491.220,494.974,495.239,500.690
95,498.890,496.708,493.244,500.859,498.778,499.478,510.286,490.216,494.922,503.099,513.918,504.102,492.279,507.182,518.527,515.202,502.525,492.031,495.888,498.207,507.459
96,497.077,495.856,490.974,502.357,500.047,498.409,511.056,480.972,497.704,499.393,512.905,504.552,494.166,508.900,518.677,513.371,503.618,493.694,496.925,496.815,505.693
97,504.418,495.418,492.180,500.178,501.593,500.193,511.542,487.410,494.539,502.111,512.488,502.692,494.422,509.229,518.259,517.474,500.781,496.283,497.827,495.164,503.425
98,503.209,493.416,490.899,500.915,503.195,499.586,508.344,486.477,487.726,498.917,510.868,501.087,494.785,510.562,517.245,514.376,505.862,494.816,495.212,498.286,506.402
99,501.300,493.043,494.009,502.075,505.529,502.417,512.418,487.392,487.436,498.706,511.737,505.653,494.932,511.290,516.891,515.045,500.107,495.430,495.754,493.748,502.354
100,502.963,496.996,495.559,501.614,504.875,497.655,514.085,480.861,492.748,503.128,510.187,503.325,493.045,511.057,518.762,513.762,501.728,497.290,493.823,496.525,504.669
101,497.451,493.041,494.945,498.670,507.933,501.583,512.244,483.758,494.726,498.537,509.367,506.163,492.956,510.796,519.281,515.036,502.915,493.483,496.027,495.990,500.234
102,499.934,499.004,491.502,501.185,504.949,503.481,512.826,484.889,489.427,499.911,510.808,503.981,494.874,511.411,515.073,512.479,498.304,493.268,496.727,497.063,502.462
103,499.850,494.105,492.415,499.763,499.990,502.298,514.723,483.799,489.162,501.801,509.712,503.625,494.224,512.556,515.704,512.219,501.470,490.998,489.861,490.586,505.412
104,500.033,496.251,493.499,501.458,501.559,500.793,515.855,485.250,489.065,502.079,511.283,502.533,491.818,509.867,514.852,518.017,501.966,494.877,496.519,494.227,506.659
105,498.564,496.373,493.049,499.813,496.859,501.022,514.631,489.031,486.860,498.805,510.729,503.341,496.188,510.618,514.919,515.680,503.183,492.702,496.387,494.892,501.719
106,498.172,497.987,493.878,499.606,499.370,497.091,515.297,485.255,488.573,500.459,507.698,503.638,495.131,511.086,517.104,509.060,501.920,492.108,493.939,494.122,501.365
107,500.582,493.279,494.203,502.002,500.778,499.597,510.783,479.121,494.919,498.777,510.012,505.036,494.305,511.591,516.055,515.290,501.497,489.724,489.749,494.436,504.084
108,496.989,495.371,494.373,502.290,500.805,503.072,516.854,483.773,488.601,500.319,508.928,502.767,490.440,511.812,517.052,512.549,502.685,494.051,494.743,491.507,505.827
109,502.297,494.629,490.533,499.649,503.569,499.511,510.790,488.183,494.636,501.571,509.620,501.970,491.623,508.671,516.214,507.534,500.111,493.096,494.356,494.095,502.192
